dataID	context	indices_target_token	indices_target_sentence	lemma
2532889X_1959-03-13_01_104.tcf.xml-29-34	Eine große, noch nicht erschlossene Re-; serve in der Verbesserung des Berufsverkehrs besteht daher in einer sinnvollen Arbeitszeitstaffelung aller Betriebe in einem Industriegebiet Oft reichen schon wenige Minuten aus, um Verkehrsspitzen abzubauen.	239:248	0:249	abbauen
2532889X_1963-03-05_01_016.tcf.xml-3-16	Das im Januar entstandene Minus bei nahtlosen Rohren wurde durch Übererfüllung im Februar um 470 Tonnen abgebaut.	104:112	0:113	abbauen
2532889X_1964-01-31_01_179.tcf.xml-239-7	Kämpft Ihr darum, daß der Revanchismus abgebaut wird und normale Beziehungen zwischen unseren Staaten entstehen, dann brauchen wir auch keine Minen mehr zu legen.	39:47	0:162	abbauen
2532889X_1964-09-02_01_107.tcf.xml-102-33	Wie der Vorsitzende des Staatsrates^ Genosse Walter Ulbricht, in seiner heutigen Erklärung nachdrücklich unterstrich. ist es notwendig, die Beziehungen zwischen beiden deutschen Staaten zu normalisieren und den kalten Krieg endlich abzubauen.	232:241	0:242	abbauen
2532889X_1965-03-07_01_234.tcf.xml-32-9	"Statt die Hallstein-Doktrin so unauffällig und rasch wie möglich abzubauen, will"" dieser sture Flügel im Bundeskabinett sie verschärfen."	65:74	0:136	abbauen
2532889X_1968-04-03_01_171.tcf.xml-21-18	Es handelt sich um einen Schritt, der die wenigen dem westdeutschen Volk noch verbliebenen demokratischen Rechte rigoros abbaut.	121:127	0:128	abbauen
2532889X_1969-09-07_01_200.tcf.xml-37-16	Neue Konzernstrukturen werden genutzt, um bereits errungene Mltbestimmungsrechte der Betriebsräte und der Gewerkschaften auszuhöhlen oder abzubauen.	138:147	0:148	abbauen
2532889X_1972-11-27_01_085.tcf.xml-12-5	So müßten noch bestehende Disproportionen abgebaut, die Arbeitsproduktivität erhöht und die Kosten gesenkt werden.	42:50	0:114	abbauen
2532889X_1976-11-18_01_091.tcf.xml-47-20	Wie hier berichtet wurde, mischt Walterscheid im Gegenteil kräftig mit, wenn es darum geht, Arbeitsplätze für Jugendliche abzubauen.	122:131	0:132	abbauen
2532889X_1977-08-26_01_087.tcf.xml-25-45	Allein 17 neue Industriewerke sind geplant, darunter mehrere Zementwerke, eine Schiffswerft, ein Stahlwerk und vor allem mehrere chemische Unternehmen Nicht zuletzt soll durch die damit verbundene Bereitstellung von etwa 164000 neuen Arbeitsplätzen dazu beigetragen werden, die immer noch vorhandene Arbeitslosigkeit weiter abzubauen.	324:333	0:334	abbauen
2532889X_1978-06-09_01_083.tcf.xml-2-32	Der BRD-Bundestag verabschiedete am Donnerstag in Bonn einen Gesetzentwurf, mit dem das zu erwartende Defizit in den Kassen der Rentenversicherung in Höhe von über 32 Milliarden DM zu Lasten der Rentner abgebaut werden soll.	203:211	0:224	abbauen
2532889X_1978-07-21_01_096.tcf.xml-14-30	Vor allem aber sieht sich die Großbourgeoisie jedoch mit dem wachsenden Unmut der Werktätigen konfrontiert, die sich nicht länger damit abfinden wallen, daß ihr Lebensstandard Stück für Stück abgebaut wird.	192:200	0:206	abbauen
2532889X_1979-12-15_01_109.tcf.xml-18-28	Die komplexe Anwendung wird möglich, weil wir uns seit Jahren der Prozeßsteuerung von solchen großen Anlagen intensiv widmen, wissenschaftlichen Vorlauf haben und das Risiko der Anwendung abgebaut haben.	188:196	0:203	abbauen
2532889X_1986-01-14_01_031.tcf.xml-60-15	Seit 1981 wurden 16700 Arbeitsplätze neu gestaltet und damit für 2900 Werktätige die Arbeitserschwerr nisse abgebaut.	108:116	0:117	abbauen
2532889X_1989-04-04_01_114.tcf.xml-33-25	Die Realitäten des Nuklearzeitalters veranlaßten real denkende Politiker des Westens, nach Wegen zu suchen, die die wachsenden Gefahren aus dem selbst initiierten Wettrüsten abgebaut werden können.	174:182	0:197	abbauen
2532889X_1990-04-28_01_305.tcf.xml-4-29	Gerade dieser Wirtschaftszweig ist einer der wenigen, in denen die DDR eine führende Rolle in der Welt spielt, und nichts wäre falscher, als das einmal Erreichte abzubauen.	162:171	0:172	abbauen
