instanceID	dataIDs	label_set	non_label
sense0-26120215_1978_03_18_01_155.tcf.xml-9-13	sense0,26120215_1978_03_18_01_155.tcf.xml-9-13	0,1	-
sense1-26120215_1978_03_18_01_155.tcf.xml-9-13	sense1,26120215_1978_03_18_01_155.tcf.xml-9-13	0,1	-
sense2-26120215_1978_03_18_01_155.tcf.xml-9-13	sense2,26120215_1978_03_18_01_155.tcf.xml-9-13	0,1	-
sense3-26120215_1978_03_18_01_155.tcf.xml-9-13	sense3,26120215_1978_03_18_01_155.tcf.xml-9-13	0,1	-
sense4-26120215_1978_03_18_01_155.tcf.xml-9-13	sense4,26120215_1978_03_18_01_155.tcf.xml-9-13	0,1	-
sense5-26120215_1978_03_18_01_155.tcf.xml-9-13	sense5,26120215_1978_03_18_01_155.tcf.xml-9-13	0,1	-
sense0-26120215_1948_10_07_01_023.tcf.xml-7-19	sense0,26120215_1948_10_07_01_023.tcf.xml-7-19	0,1	-
sense1-26120215_1948_10_07_01_023.tcf.xml-7-19	sense1,26120215_1948_10_07_01_023.tcf.xml-7-19	0,1	-
sense2-26120215_1948_10_07_01_023.tcf.xml-7-19	sense2,26120215_1948_10_07_01_023.tcf.xml-7-19	0,1	-
sense3-26120215_1948_10_07_01_023.tcf.xml-7-19	sense3,26120215_1948_10_07_01_023.tcf.xml-7-19	0,1	-
sense4-26120215_1948_10_07_01_023.tcf.xml-7-19	sense4,26120215_1948_10_07_01_023.tcf.xml-7-19	0,1	-
sense5-26120215_1948_10_07_01_023.tcf.xml-7-19	sense5,26120215_1948_10_07_01_023.tcf.xml-7-19	0,1	-
sense0-26120215_1959_04_01_01_224.tcf.xml-5-11	sense0,26120215_1959_04_01_01_224.tcf.xml-5-11	0,1	-
sense1-26120215_1959_04_01_01_224.tcf.xml-5-11	sense1,26120215_1959_04_01_01_224.tcf.xml-5-11	0,1	-
sense2-26120215_1959_04_01_01_224.tcf.xml-5-11	sense2,26120215_1959_04_01_01_224.tcf.xml-5-11	0,1	-
sense3-26120215_1959_04_01_01_224.tcf.xml-5-11	sense3,26120215_1959_04_01_01_224.tcf.xml-5-11	0,1	-
sense4-26120215_1959_04_01_01_224.tcf.xml-5-11	sense4,26120215_1959_04_01_01_224.tcf.xml-5-11	0,1	-
sense5-26120215_1959_04_01_01_224.tcf.xml-5-11	sense5,26120215_1959_04_01_01_224.tcf.xml-5-11	0,1	-
sense0-wanderley_bauconstructionslehre01_1877-2488-7	sense0,wanderley_bauconstructionslehre01_1877-2488-7	0,1	-
sense1-wanderley_bauconstructionslehre01_1877-2488-7	sense1,wanderley_bauconstructionslehre01_1877-2488-7	0,1	-
sense2-wanderley_bauconstructionslehre01_1877-2488-7	sense2,wanderley_bauconstructionslehre01_1877-2488-7	0,1	-
sense3-wanderley_bauconstructionslehre01_1877-2488-7	sense3,wanderley_bauconstructionslehre01_1877-2488-7	0,1	-
sense4-wanderley_bauconstructionslehre01_1877-2488-7	sense4,wanderley_bauconstructionslehre01_1877-2488-7	0,1	-
sense5-wanderley_bauconstructionslehre01_1877-2488-7	sense5,wanderley_bauconstructionslehre01_1877-2488-7	0,1	-
sense0-hauptmann_henschel_1899-268-9	sense0,hauptmann_henschel_1899-268-9	0,1	-
sense1-hauptmann_henschel_1899-268-9	sense1,hauptmann_henschel_1899-268-9	0,1	-
sense2-hauptmann_henschel_1899-268-9	sense2,hauptmann_henschel_1899-268-9	0,1	-
sense3-hauptmann_henschel_1899-268-9	sense3,hauptmann_henschel_1899-268-9	0,1	-
sense4-hauptmann_henschel_1899-268-9	sense4,hauptmann_henschel_1899-268-9	0,1	-
sense5-hauptmann_henschel_1899-268-9	sense5,hauptmann_henschel_1899-268-9	0,1	-
sense0-ledebur_eisenhuettenkunde_1884-5998-32	sense0,ledebur_eisenhuettenkunde_1884-5998-32	0,1	-
sense1-ledebur_eisenhuettenkunde_1884-5998-32	sense1,ledebur_eisenhuettenkunde_1884-5998-32	0,1	-
sense2-ledebur_eisenhuettenkunde_1884-5998-32	sense2,ledebur_eisenhuettenkunde_1884-5998-32	0,1	-
sense3-ledebur_eisenhuettenkunde_1884-5998-32	sense3,ledebur_eisenhuettenkunde_1884-5998-32	0,1	-
sense4-ledebur_eisenhuettenkunde_1884-5998-32	sense4,ledebur_eisenhuettenkunde_1884-5998-32	0,1	-
sense5-ledebur_eisenhuettenkunde_1884-5998-32	sense5,ledebur_eisenhuettenkunde_1884-5998-32	0,1	-
sense0-2532889X_1974-07-30_01_113.tcf.xml-14-25	sense0,2532889X_1974-07-30_01_113.tcf.xml-14-25	0,1	-
sense1-2532889X_1974-07-30_01_113.tcf.xml-14-25	sense1,2532889X_1974-07-30_01_113.tcf.xml-14-25	0,1	-
sense2-2532889X_1974-07-30_01_113.tcf.xml-14-25	sense2,2532889X_1974-07-30_01_113.tcf.xml-14-25	0,1	-
sense3-2532889X_1974-07-30_01_113.tcf.xml-14-25	sense3,2532889X_1974-07-30_01_113.tcf.xml-14-25	0,1	-
sense4-2532889X_1974-07-30_01_113.tcf.xml-14-25	sense4,2532889X_1974-07-30_01_113.tcf.xml-14-25	0,1	-
sense5-2532889X_1974-07-30_01_113.tcf.xml-14-25	sense5,2532889X_1974-07-30_01_113.tcf.xml-14-25	0,1	-
sense0-26120215_1967_06_17_01_056.tcf.xml-9-32	sense0,26120215_1967_06_17_01_056.tcf.xml-9-32	0,1	-
sense1-26120215_1967_06_17_01_056.tcf.xml-9-32	sense1,26120215_1967_06_17_01_056.tcf.xml-9-32	0,1	-
sense2-26120215_1967_06_17_01_056.tcf.xml-9-32	sense2,26120215_1967_06_17_01_056.tcf.xml-9-32	0,1	-
sense3-26120215_1967_06_17_01_056.tcf.xml-9-32	sense3,26120215_1967_06_17_01_056.tcf.xml-9-32	0,1	-
sense4-26120215_1967_06_17_01_056.tcf.xml-9-32	sense4,26120215_1967_06_17_01_056.tcf.xml-9-32	0,1	-
sense5-26120215_1967_06_17_01_056.tcf.xml-9-32	sense5,26120215_1967_06_17_01_056.tcf.xml-9-32	0,1	-
sense0-2532889X_1975-10-25_01_181.tcf.xml-9-26	sense0,2532889X_1975-10-25_01_181.tcf.xml-9-26	0,1	-
sense1-2532889X_1975-10-25_01_181.tcf.xml-9-26	sense1,2532889X_1975-10-25_01_181.tcf.xml-9-26	0,1	-
sense2-2532889X_1975-10-25_01_181.tcf.xml-9-26	sense2,2532889X_1975-10-25_01_181.tcf.xml-9-26	0,1	-
sense3-2532889X_1975-10-25_01_181.tcf.xml-9-26	sense3,2532889X_1975-10-25_01_181.tcf.xml-9-26	0,1	-
sense4-2532889X_1975-10-25_01_181.tcf.xml-9-26	sense4,2532889X_1975-10-25_01_181.tcf.xml-9-26	0,1	-
sense5-2532889X_1975-10-25_01_181.tcf.xml-9-26	sense5,2532889X_1975-10-25_01_181.tcf.xml-9-26	0,1	-
sense0-ledebur_eisenhuettenkunde_1884-6299-15	sense0,ledebur_eisenhuettenkunde_1884-6299-15	0,1	-
sense1-ledebur_eisenhuettenkunde_1884-6299-15	sense1,ledebur_eisenhuettenkunde_1884-6299-15	0,1	-
sense2-ledebur_eisenhuettenkunde_1884-6299-15	sense2,ledebur_eisenhuettenkunde_1884-6299-15	0,1	-
sense3-ledebur_eisenhuettenkunde_1884-6299-15	sense3,ledebur_eisenhuettenkunde_1884-6299-15	0,1	-
sense4-ledebur_eisenhuettenkunde_1884-6299-15	sense4,ledebur_eisenhuettenkunde_1884-6299-15	0,1	-
sense5-ledebur_eisenhuettenkunde_1884-6299-15	sense5,ledebur_eisenhuettenkunde_1884-6299-15	0,1	-
sense0-26120215_1985_06_08_01_028.tcf.xml-6-31	sense0,26120215_1985_06_08_01_028.tcf.xml-6-31	0,1	-
sense1-26120215_1985_06_08_01_028.tcf.xml-6-31	sense1,26120215_1985_06_08_01_028.tcf.xml-6-31	0,1	-
sense2-26120215_1985_06_08_01_028.tcf.xml-6-31	sense2,26120215_1985_06_08_01_028.tcf.xml-6-31	0,1	-
sense3-26120215_1985_06_08_01_028.tcf.xml-6-31	sense3,26120215_1985_06_08_01_028.tcf.xml-6-31	0,1	-
sense4-26120215_1985_06_08_01_028.tcf.xml-6-31	sense4,26120215_1985_06_08_01_028.tcf.xml-6-31	0,1	-
sense5-26120215_1985_06_08_01_028.tcf.xml-6-31	sense5,26120215_1985_06_08_01_028.tcf.xml-6-31	0,1	-
sense0-grimm_maerchen02_1857-3091-35	sense0,grimm_maerchen02_1857-3091-35	0,1	-
sense1-grimm_maerchen02_1857-3091-35	sense1,grimm_maerchen02_1857-3091-35	0,1	-
sense2-grimm_maerchen02_1857-3091-35	sense2,grimm_maerchen02_1857-3091-35	0,1	-
sense3-grimm_maerchen02_1857-3091-35	sense3,grimm_maerchen02_1857-3091-35	0,1	-
sense4-grimm_maerchen02_1857-3091-35	sense4,grimm_maerchen02_1857-3091-35	0,1	-
sense5-grimm_maerchen02_1857-3091-35	sense5,grimm_maerchen02_1857-3091-35	0,1	-
sense0-ledebur_eisenhuettenkunde_1884-6302-29	sense0,ledebur_eisenhuettenkunde_1884-6302-29	0,1	-
sense1-ledebur_eisenhuettenkunde_1884-6302-29	sense1,ledebur_eisenhuettenkunde_1884-6302-29	0,1	-
sense2-ledebur_eisenhuettenkunde_1884-6302-29	sense2,ledebur_eisenhuettenkunde_1884-6302-29	0,1	-
sense3-ledebur_eisenhuettenkunde_1884-6302-29	sense3,ledebur_eisenhuettenkunde_1884-6302-29	0,1	-
sense4-ledebur_eisenhuettenkunde_1884-6302-29	sense4,ledebur_eisenhuettenkunde_1884-6302-29	0,1	-
sense5-ledebur_eisenhuettenkunde_1884-6302-29	sense5,ledebur_eisenhuettenkunde_1884-6302-29	0,1	-
sense0-26120215_1960_07_17_01_533.tcf.xml-19-26	sense0,26120215_1960_07_17_01_533.tcf.xml-19-26	0,1	-
sense1-26120215_1960_07_17_01_533.tcf.xml-19-26	sense1,26120215_1960_07_17_01_533.tcf.xml-19-26	0,1	-
sense2-26120215_1960_07_17_01_533.tcf.xml-19-26	sense2,26120215_1960_07_17_01_533.tcf.xml-19-26	0,1	-
sense3-26120215_1960_07_17_01_533.tcf.xml-19-26	sense3,26120215_1960_07_17_01_533.tcf.xml-19-26	0,1	-
sense4-26120215_1960_07_17_01_533.tcf.xml-19-26	sense4,26120215_1960_07_17_01_533.tcf.xml-19-26	0,1	-
sense5-26120215_1960_07_17_01_533.tcf.xml-19-26	sense5,26120215_1960_07_17_01_533.tcf.xml-19-26	0,1	-
sense0-2532889X_1980-12-03_01_045.tcf.xml-3-41	sense0,2532889X_1980-12-03_01_045.tcf.xml-3-41	0,1	-
sense1-2532889X_1980-12-03_01_045.tcf.xml-3-41	sense1,2532889X_1980-12-03_01_045.tcf.xml-3-41	0,1	-
sense2-2532889X_1980-12-03_01_045.tcf.xml-3-41	sense2,2532889X_1980-12-03_01_045.tcf.xml-3-41	0,1	-
sense3-2532889X_1980-12-03_01_045.tcf.xml-3-41	sense3,2532889X_1980-12-03_01_045.tcf.xml-3-41	0,1	-
sense4-2532889X_1980-12-03_01_045.tcf.xml-3-41	sense4,2532889X_1980-12-03_01_045.tcf.xml-3-41	0,1	-
sense5-2532889X_1980-12-03_01_045.tcf.xml-3-41	sense5,2532889X_1980-12-03_01_045.tcf.xml-3-41	0,1	-
sense0-wanderley_bauconstructionslehre01_1877-3217-23	sense0,wanderley_bauconstructionslehre01_1877-3217-23	0,1	-
sense1-wanderley_bauconstructionslehre01_1877-3217-23	sense1,wanderley_bauconstructionslehre01_1877-3217-23	0,1	-
sense2-wanderley_bauconstructionslehre01_1877-3217-23	sense2,wanderley_bauconstructionslehre01_1877-3217-23	0,1	-
sense3-wanderley_bauconstructionslehre01_1877-3217-23	sense3,wanderley_bauconstructionslehre01_1877-3217-23	0,1	-
sense4-wanderley_bauconstructionslehre01_1877-3217-23	sense4,wanderley_bauconstructionslehre01_1877-3217-23	0,1	-
sense5-wanderley_bauconstructionslehre01_1877-3217-23	sense5,wanderley_bauconstructionslehre01_1877-3217-23	0,1	-
sense0-grimm_maerchen02_1837-2514-36	sense0,grimm_maerchen02_1837-2514-36	0,1	-
sense1-grimm_maerchen02_1837-2514-36	sense1,grimm_maerchen02_1837-2514-36	0,1	-
sense2-grimm_maerchen02_1837-2514-36	sense2,grimm_maerchen02_1837-2514-36	0,1	-
sense3-grimm_maerchen02_1837-2514-36	sense3,grimm_maerchen02_1837-2514-36	0,1	-
sense4-grimm_maerchen02_1837-2514-36	sense4,grimm_maerchen02_1837-2514-36	0,1	-
sense5-grimm_maerchen02_1837-2514-36	sense5,grimm_maerchen02_1837-2514-36	0,1	-
sense0-2532889X_1984-01-05_01_103.tcf.xml-24-11	sense0,2532889X_1984-01-05_01_103.tcf.xml-24-11	0,1	-
sense1-2532889X_1984-01-05_01_103.tcf.xml-24-11	sense1,2532889X_1984-01-05_01_103.tcf.xml-24-11	0,1	-
sense2-2532889X_1984-01-05_01_103.tcf.xml-24-11	sense2,2532889X_1984-01-05_01_103.tcf.xml-24-11	0,1	-
sense3-2532889X_1984-01-05_01_103.tcf.xml-24-11	sense3,2532889X_1984-01-05_01_103.tcf.xml-24-11	0,1	-
sense4-2532889X_1984-01-05_01_103.tcf.xml-24-11	sense4,2532889X_1984-01-05_01_103.tcf.xml-24-11	0,1	-
sense5-2532889X_1984-01-05_01_103.tcf.xml-24-11	sense5,2532889X_1984-01-05_01_103.tcf.xml-24-11	0,1	-
sense0-grimm_maerchen02_1843-2690-36	sense0,grimm_maerchen02_1843-2690-36	0,1	-
sense1-grimm_maerchen02_1843-2690-36	sense1,grimm_maerchen02_1843-2690-36	0,1	-
sense2-grimm_maerchen02_1843-2690-36	sense2,grimm_maerchen02_1843-2690-36	0,1	-
sense3-grimm_maerchen02_1843-2690-36	sense3,grimm_maerchen02_1843-2690-36	0,1	-
sense4-grimm_maerchen02_1843-2690-36	sense4,grimm_maerchen02_1843-2690-36	0,1	-
sense5-grimm_maerchen02_1843-2690-36	sense5,grimm_maerchen02_1843-2690-36	0,1	-
sense0-munzinger_japaner_1898-448-4	sense0,munzinger_japaner_1898-448-4	0,1	-
sense1-munzinger_japaner_1898-448-4	sense1,munzinger_japaner_1898-448-4	0,1	-
sense2-munzinger_japaner_1898-448-4	sense2,munzinger_japaner_1898-448-4	0,1	-
sense3-munzinger_japaner_1898-448-4	sense3,munzinger_japaner_1898-448-4	0,1	-
sense4-munzinger_japaner_1898-448-4	sense4,munzinger_japaner_1898-448-4	0,1	-
sense5-munzinger_japaner_1898-448-4	sense5,munzinger_japaner_1898-448-4	0,1	-
sense0-26120215_1990_05_03_01_342.tcf.xml-390-28	sense0,26120215_1990_05_03_01_342.tcf.xml-390-28	0,1	-
sense1-26120215_1990_05_03_01_342.tcf.xml-390-28	sense1,26120215_1990_05_03_01_342.tcf.xml-390-28	0,1	-
sense2-26120215_1990_05_03_01_342.tcf.xml-390-28	sense2,26120215_1990_05_03_01_342.tcf.xml-390-28	0,1	-
sense3-26120215_1990_05_03_01_342.tcf.xml-390-28	sense3,26120215_1990_05_03_01_342.tcf.xml-390-28	0,1	-
sense4-26120215_1990_05_03_01_342.tcf.xml-390-28	sense4,26120215_1990_05_03_01_342.tcf.xml-390-28	0,1	-
sense5-26120215_1990_05_03_01_342.tcf.xml-390-28	sense5,26120215_1990_05_03_01_342.tcf.xml-390-28	0,1	-
sense0-2532889X_1967-09-06_01_168.tcf.xml-11-39	sense0,2532889X_1967-09-06_01_168.tcf.xml-11-39	0,1	-
sense1-2532889X_1967-09-06_01_168.tcf.xml-11-39	sense1,2532889X_1967-09-06_01_168.tcf.xml-11-39	0,1	-
sense2-2532889X_1967-09-06_01_168.tcf.xml-11-39	sense2,2532889X_1967-09-06_01_168.tcf.xml-11-39	0,1	-
sense3-2532889X_1967-09-06_01_168.tcf.xml-11-39	sense3,2532889X_1967-09-06_01_168.tcf.xml-11-39	0,1	-
sense4-2532889X_1967-09-06_01_168.tcf.xml-11-39	sense4,2532889X_1967-09-06_01_168.tcf.xml-11-39	0,1	-
sense5-2532889X_1967-09-06_01_168.tcf.xml-11-39	sense5,2532889X_1967-09-06_01_168.tcf.xml-11-39	0,1	-
sense0-polenz_buettnerbauer_1895-6066-22	sense0,polenz_buettnerbauer_1895-6066-22	0,1	-
sense1-polenz_buettnerbauer_1895-6066-22	sense1,polenz_buettnerbauer_1895-6066-22	0,1	-
sense2-polenz_buettnerbauer_1895-6066-22	sense2,polenz_buettnerbauer_1895-6066-22	0,1	-
sense3-polenz_buettnerbauer_1895-6066-22	sense3,polenz_buettnerbauer_1895-6066-22	0,1	-
sense4-polenz_buettnerbauer_1895-6066-22	sense4,polenz_buettnerbauer_1895-6066-22	0,1	-
sense5-polenz_buettnerbauer_1895-6066-22	sense5,polenz_buettnerbauer_1895-6066-22	0,1	-
sense0-2532889X_1962-01-24_01_024.tcf.xml-27-17	sense0,2532889X_1962-01-24_01_024.tcf.xml-27-17	0,1	-
sense1-2532889X_1962-01-24_01_024.tcf.xml-27-17	sense1,2532889X_1962-01-24_01_024.tcf.xml-27-17	0,1	-
sense2-2532889X_1962-01-24_01_024.tcf.xml-27-17	sense2,2532889X_1962-01-24_01_024.tcf.xml-27-17	0,1	-
sense3-2532889X_1962-01-24_01_024.tcf.xml-27-17	sense3,2532889X_1962-01-24_01_024.tcf.xml-27-17	0,1	-
sense4-2532889X_1962-01-24_01_024.tcf.xml-27-17	sense4,2532889X_1962-01-24_01_024.tcf.xml-27-17	0,1	-
sense5-2532889X_1962-01-24_01_024.tcf.xml-27-17	sense5,2532889X_1962-01-24_01_024.tcf.xml-27-17	0,1	-
sense0-beck_eisen03_1897-10544-29	sense0,beck_eisen03_1897-10544-29	0,1	-
sense1-beck_eisen03_1897-10544-29	sense1,beck_eisen03_1897-10544-29	0,1	-
sense2-beck_eisen03_1897-10544-29	sense2,beck_eisen03_1897-10544-29	0,1	-
sense3-beck_eisen03_1897-10544-29	sense3,beck_eisen03_1897-10544-29	0,1	-
sense4-beck_eisen03_1897-10544-29	sense4,beck_eisen03_1897-10544-29	0,1	-
sense5-beck_eisen03_1897-10544-29	sense5,beck_eisen03_1897-10544-29	0,1	-
sense0-goethe_leben01_1811-2459-6	sense0,goethe_leben01_1811-2459-6	0,1	-
sense1-goethe_leben01_1811-2459-6	sense1,goethe_leben01_1811-2459-6	0,1	-
sense2-goethe_leben01_1811-2459-6	sense2,goethe_leben01_1811-2459-6	0,1	-
sense3-goethe_leben01_1811-2459-6	sense3,goethe_leben01_1811-2459-6	0,1	-
sense4-goethe_leben01_1811-2459-6	sense4,goethe_leben01_1811-2459-6	0,1	-
sense5-goethe_leben01_1811-2459-6	sense5,goethe_leben01_1811-2459-6	0,1	-
sense0-nn_maehrisches71_1886-490-16	sense0,nn_maehrisches71_1886-490-16	0,1	-
sense1-nn_maehrisches71_1886-490-16	sense1,nn_maehrisches71_1886-490-16	0,1	-
sense2-nn_maehrisches71_1886-490-16	sense2,nn_maehrisches71_1886-490-16	0,1	-
sense3-nn_maehrisches71_1886-490-16	sense3,nn_maehrisches71_1886-490-16	0,1	-
sense4-nn_maehrisches71_1886-490-16	sense4,nn_maehrisches71_1886-490-16	0,1	-
sense5-nn_maehrisches71_1886-490-16	sense5,nn_maehrisches71_1886-490-16	0,1	-
sense0-wanderley_bauconstructionslehre02_1878-1492-27	sense0,wanderley_bauconstructionslehre02_1878-1492-27	0,1	-
sense1-wanderley_bauconstructionslehre02_1878-1492-27	sense1,wanderley_bauconstructionslehre02_1878-1492-27	0,1	-
sense2-wanderley_bauconstructionslehre02_1878-1492-27	sense2,wanderley_bauconstructionslehre02_1878-1492-27	0,1	-
sense3-wanderley_bauconstructionslehre02_1878-1492-27	sense3,wanderley_bauconstructionslehre02_1878-1492-27	0,1	-
sense4-wanderley_bauconstructionslehre02_1878-1492-27	sense4,wanderley_bauconstructionslehre02_1878-1492-27	0,1	-
sense5-wanderley_bauconstructionslehre02_1878-1492-27	sense5,wanderley_bauconstructionslehre02_1878-1492-27	0,1	-
sense0-2532889X_1955-01-08_01_051.tcf.xml-8-26	sense0,2532889X_1955-01-08_01_051.tcf.xml-8-26	0,1	-
sense1-2532889X_1955-01-08_01_051.tcf.xml-8-26	sense1,2532889X_1955-01-08_01_051.tcf.xml-8-26	0,1	-
sense2-2532889X_1955-01-08_01_051.tcf.xml-8-26	sense2,2532889X_1955-01-08_01_051.tcf.xml-8-26	0,1	-
sense3-2532889X_1955-01-08_01_051.tcf.xml-8-26	sense3,2532889X_1955-01-08_01_051.tcf.xml-8-26	0,1	-
sense4-2532889X_1955-01-08_01_051.tcf.xml-8-26	sense4,2532889X_1955-01-08_01_051.tcf.xml-8-26	0,1	-
sense5-2532889X_1955-01-08_01_051.tcf.xml-8-26	sense5,2532889X_1955-01-08_01_051.tcf.xml-8-26	0,1	-
sense0-grimm_maerchen02_1850-3047-35	sense0,grimm_maerchen02_1850-3047-35	0,1	-
