instanceID	label	comment	annotator
sense0,26120215_1978_03_18_01_155.tcf.xml-9-13	0	-	annotatorA
sense1,26120215_1978_03_18_01_155.tcf.xml-9-13	0	-	annotatorA
sense2,26120215_1978_03_18_01_155.tcf.xml-9-13	0	-	annotatorA
sense3,26120215_1978_03_18_01_155.tcf.xml-9-13	1	-	annotatorA
sense4,26120215_1978_03_18_01_155.tcf.xml-9-13	0	-	annotatorA
sense5,26120215_1978_03_18_01_155.tcf.xml-9-13	0	-	annotatorA
sense0,26120215_1948_10_07_01_023.tcf.xml-7-19	0	-	annotatorA
sense1,26120215_1948_10_07_01_023.tcf.xml-7-19	0	-	annotatorA
sense2,26120215_1948_10_07_01_023.tcf.xml-7-19	0	-	annotatorA
sense3,26120215_1948_10_07_01_023.tcf.xml-7-19	1	-	annotatorA
sense4,26120215_1948_10_07_01_023.tcf.xml-7-19	0	-	annotatorA
sense5,26120215_1948_10_07_01_023.tcf.xml-7-19	0	-	annotatorA
sense0,26120215_1959_04_01_01_224.tcf.xml-5-11	0	-	annotatorA
sense1,26120215_1959_04_01_01_224.tcf.xml-5-11	1	-	annotatorA
sense2,26120215_1959_04_01_01_224.tcf.xml-5-11	0	-	annotatorA
sense3,26120215_1959_04_01_01_224.tcf.xml-5-11	0	-	annotatorA
sense4,26120215_1959_04_01_01_224.tcf.xml-5-11	0	-	annotatorA
sense5,26120215_1959_04_01_01_224.tcf.xml-5-11	0	-	annotatorA
sense0,wanderley_bauconstructionslehre01_1877-2488-7	0	-	annotatorA
sense1,wanderley_bauconstructionslehre01_1877-2488-7	0	-	annotatorA
sense2,wanderley_bauconstructionslehre01_1877-2488-7	0	-	annotatorA
sense3,wanderley_bauconstructionslehre01_1877-2488-7	0	-	annotatorA
sense4,wanderley_bauconstructionslehre01_1877-2488-7	1	-	annotatorA
sense5,wanderley_bauconstructionslehre01_1877-2488-7	0	-	annotatorA
sense0,hauptmann_henschel_1899-268-9	1	-	annotatorA
sense1,hauptmann_henschel_1899-268-9	0	-	annotatorA
sense2,hauptmann_henschel_1899-268-9	0	-	annotatorA
sense3,hauptmann_henschel_1899-268-9	0	-	annotatorA
sense4,hauptmann_henschel_1899-268-9	0	-	annotatorA
sense5,hauptmann_henschel_1899-268-9	0	-	annotatorA
sense0,ledebur_eisenhuettenkunde_1884-5998-32	0	-	annotatorA
sense1,ledebur_eisenhuettenkunde_1884-5998-32	0	-	annotatorA
sense2,ledebur_eisenhuettenkunde_1884-5998-32	0	-	annotatorA
sense3,ledebur_eisenhuettenkunde_1884-5998-32	0	-	annotatorA
sense4,ledebur_eisenhuettenkunde_1884-5998-32	1	-	annotatorA
sense5,ledebur_eisenhuettenkunde_1884-5998-32	0	-	annotatorA
sense0,2532889X_1974-07-30_01_113.tcf.xml-14-25	0	-	annotatorA
sense1,2532889X_1974-07-30_01_113.tcf.xml-14-25	0	-	annotatorA
sense2,2532889X_1974-07-30_01_113.tcf.xml-14-25	0	-	annotatorA
sense3,2532889X_1974-07-30_01_113.tcf.xml-14-25	1	-	annotatorA
sense4,2532889X_1974-07-30_01_113.tcf.xml-14-25	0	-	annotatorA
sense5,2532889X_1974-07-30_01_113.tcf.xml-14-25	0	-	annotatorA
sense0,26120215_1967_06_17_01_056.tcf.xml-9-32	0	-	annotatorA
sense1,26120215_1967_06_17_01_056.tcf.xml-9-32	0	-	annotatorA
sense2,26120215_1967_06_17_01_056.tcf.xml-9-32	0	-	annotatorA
sense3,26120215_1967_06_17_01_056.tcf.xml-9-32	1	-	annotatorA
sense4,26120215_1967_06_17_01_056.tcf.xml-9-32	0	-	annotatorA
sense5,26120215_1967_06_17_01_056.tcf.xml-9-32	0	-	annotatorA
sense0,2532889X_1975-10-25_01_181.tcf.xml-9-26	0	-	annotatorA
sense1,2532889X_1975-10-25_01_181.tcf.xml-9-26	0	-	annotatorA
sense2,2532889X_1975-10-25_01_181.tcf.xml-9-26	0	-	annotatorA
sense3,2532889X_1975-10-25_01_181.tcf.xml-9-26	0	-	annotatorA
sense4,2532889X_1975-10-25_01_181.tcf.xml-9-26	1	-	annotatorA
sense5,2532889X_1975-10-25_01_181.tcf.xml-9-26	0	-	annotatorA
sense0,ledebur_eisenhuettenkunde_1884-6299-15	0	-	annotatorA
sense1,ledebur_eisenhuettenkunde_1884-6299-15	0	-	annotatorA
sense2,ledebur_eisenhuettenkunde_1884-6299-15	0	-	annotatorA
sense3,ledebur_eisenhuettenkunde_1884-6299-15	0	-	annotatorA
sense4,ledebur_eisenhuettenkunde_1884-6299-15	1	-	annotatorA
sense5,ledebur_eisenhuettenkunde_1884-6299-15	0	-	annotatorA
sense0,26120215_1985_06_08_01_028.tcf.xml-6-31	0	-	annotatorA
sense1,26120215_1985_06_08_01_028.tcf.xml-6-31	0	-	annotatorA
sense2,26120215_1985_06_08_01_028.tcf.xml-6-31	0	-	annotatorA
sense3,26120215_1985_06_08_01_028.tcf.xml-6-31	1	-	annotatorA
sense4,26120215_1985_06_08_01_028.tcf.xml-6-31	0	-	annotatorA
sense5,26120215_1985_06_08_01_028.tcf.xml-6-31	0	-	annotatorA
sense0,grimm_maerchen02_1857-3091-35	1	kommt ziemlich oft vor	annotatorA
sense1,grimm_maerchen02_1857-3091-35	0	-	annotatorA
sense2,grimm_maerchen02_1857-3091-35	0	-	annotatorA
sense3,grimm_maerchen02_1857-3091-35	0	-	annotatorA
sense4,grimm_maerchen02_1857-3091-35	0	-	annotatorA
sense5,grimm_maerchen02_1857-3091-35	0	-	annotatorA
sense0,ledebur_eisenhuettenkunde_1884-6302-29	0	-	annotatorA
sense1,ledebur_eisenhuettenkunde_1884-6302-29	0	-	annotatorA
sense2,ledebur_eisenhuettenkunde_1884-6302-29	0	-	annotatorA
sense3,ledebur_eisenhuettenkunde_1884-6302-29	0	-	annotatorA
sense4,ledebur_eisenhuettenkunde_1884-6302-29	1	-	annotatorA
sense5,ledebur_eisenhuettenkunde_1884-6302-29	0	-	annotatorA
sense0,26120215_1960_07_17_01_533.tcf.xml-19-26	0	-	annotatorA
sense1,26120215_1960_07_17_01_533.tcf.xml-19-26	0	-	annotatorA
sense2,26120215_1960_07_17_01_533.tcf.xml-19-26	0	-	annotatorA
sense3,26120215_1960_07_17_01_533.tcf.xml-19-26	0	-	annotatorA
sense4,26120215_1960_07_17_01_533.tcf.xml-19-26	1	-	annotatorA
sense5,26120215_1960_07_17_01_533.tcf.xml-19-26	0	-	annotatorA
