dataID	context	indices_target_token	indices_target_sentence	lemma
2532889X_1947-07-06_01_083.tcf.xml-23-39	"Erwin Biegel als der fröhlich-melancholische Trinker, Franz Stein als Muriels Vater, Ilya Guenten als die um eigenes Familienglück 'betrogene „alte Jungfer"", Ulrich Hoffmann, der • smarte Studiosus, und Otto Matthies, der abgebrühte Kellner, schufen besonders lebensvolle Charakterstudlen."	222:232	0:289	abgebrüht
2532889X_1948-12-23_01_078.tcf.xml-2-92	"Unter -dem Motto „Eine Hand wäscht die andere krempelte ein unappetitlicher Schwarzmarktjunglinß sein ausgefranstes rechtes Hosenbein hoch und offerierte einem „Kollegen"", dem die Ware ausgegangen war. aus seinen „sauberen"" Socken zwei Camel-Päckchen und vier Schokoladenstreifen, -Sicher ist sicher"", aaste sich der andere Schncllgerichtsaspirant und praktizierte die Sachen, naeh dem Begebenen Beispiel zwischen Strumpf und Unterhose Bezahlte, ohne zu handeln, unter Brüdern mit Rabatt versteht sich, und verdrückte sich mit dein unschuldigsten Gesiehf, wie es nur ein abgebrühter Ganove aufsetzen kann."	571:582	0:605	abgebrüht
2532889X_1951-06-24_01_118.tcf.xml-11-23	Das Blatt schreibt, dah.daher in der nächsten Zeit Proteste der Sowjetunion und der Volksdemokratien gegen diese Einflüge laut werden dürften Die abgebrühte Kaltschnäuzigkeil derer, die gewohnt sind, aus Blut Dollar zu machen, bringt die Zeitung mit den Worten zum Ausdruck:. Es kann zwar nicht offiziell zugegeben werden, aber es wird sich hierbei um Flugzeuge handeln, die im Rahmen der psychologischen Kriegführung Agenten absetzen sowie Anweisungen und Geldmittel für Saboteure abwerfen.	146:156	0:491	abgebrüht
2532889X_1959-04-28_01_013.tcf.xml-1-26	Vielen einen Umfang muß der Sumpi * » der politischen Korruption und moralischen Degradation unter den herrschenden Kreisen Bonns angenommen haben, wenn er selbst den abgebrühtesten Journalisten der Westpresse in die keineswegs empfindlichen Nasen zu steigen beginnt?	167:181	0:267	abgebrüht
2532889X_1961-09-16_01_006.tcf.xml-7-11	"Es gibt die unterschiedlichsten Angaben iiber Startplatz und Flugroute, Besonders abgebrühte Lügner erzählen Märchen von einem ominösen Funkleitstrahl, auf dem die Maschinen „möglicherweise In den Osten gelockt"" wurden."	82:92	0:219	abgebrüht
2532889X_1963-03-21_01_008.tcf.xml-8-12	"Das Blatt schreibt, „die Montagsvorstellung im Bundestag mußte selbst die abgebrühtesten Beobachter erschüttern""."	74:88	0:113	abgebrüht
2532889X_1963-12-14_01_038.tcf.xml-22-3	Manche sind ganz abgebrüht, die machen dann montags frei.	17:26	0:57	abgebrüht
2532889X_1966-03-19_01_022.tcf.xml-20-14	"Feine Komplicen also: der Hitleranbeter Ky, „Freiheitsheld"" Johnson und dieser abgebrühte Held der westlichen Welt."	79:89	0:115	abgebrüht
2532889X_1990-08-03_01_044.tcf.xml-3-14	Was die Bonner Parteien und ihre ostlichen Ziehkinder gegenwärtig veranstalten, kann jedenfalls auch abgebrühten Naturen die Schamröte ins Gesicht treiben.	101:112	0:155	abgebrüht
26120215_1953_05_27_01_094.tcf.xml-4-9	Oft nkbt man es. daß die Betrüger mit abgebrühter Frechheit vor den Schranken des Gerichts stehen und höhnisch bi richten, wie sie in Saus und Braus Gelebt haben und in welche dunklen Kanäle der westlichen Schieberwelt sie das, was der fleißige Arbeiter an der Wcrkbink schuf, gebracht haben.	38:49	0:292	abgebrüht
26120215_1955_10_16_02_013.tcf.xml-13-4	Billy Hopp war genügend abgebrüht, um diesen feindseligen Blicken standzuhalten.	24:33	0:80	abgebrüht
26120215_1956_01_24_01_030.tcf.xml-11-4	Er hätte von dem abgebrühten Reporter zumindest ein bißchen Ironie bei diesen Worten erwartet.	17:28	0:94	abgebrüht
26120215_1956_04_22_02_105.tcf.xml-65-30	Aber der größte Teil der Arbeiter kam aus dem Binnenland, aus Sachsen, aus den verschiedensten Berufen, ganz unerfahren in der Hafen-und Fischarbeit; es waren allerlei abgebrühte Burschen darunter.	168:178	0:197	abgebrüht
26120215_1956_12_23_02_234.tcf.xml-27-2	Es sind abgebrühte Liebespärchen: Sie kurven ein wenig in der Luft umher, und dann füttern die natterhaften Wesen seelenruhig weiter.	8:18	0:133	abgebrüht
26120215_1957_03_12_01_174.tcf.xml-16-10	Falsche Kameradschaft bindet ihn anfänglich an die Gefährten und ihren abgebrühten Nazi-Zynismus.	71:82	0:97	abgebrüht
26120215_1957_05_19_02_149.tcf.xml-23-17	"In der menschlichen Mistgrube seiner „Beziehungen"" zu diesen Kindern zu graben, kotzt selbst den abgebrühtesten Gerichtsberichter an."	97:111	0:133	abgebrüht
26120215_1958_12_24_01_169.tcf.xml-28-12	Leistung Engels darin, daß eg ihm gelang, die trostlose Herde abgebrühter amerikanischer Flieger bei aller zweckbedingten Gleichförmigkeit aus Individuen bestehen zu lassen.	62:73	0:173	abgebrüht
26120215_1959_09_03_01_190.tcf.xml-12-7	"Krckodilslränen — dieses treffende Bild hätten die abgebrühten Kriegshetzer vielleicht noch „geschluckt""."	51:62	0:105	abgebrüht
26120215_1963_02_10_01_145.tcf.xml-31-23	Der da hinterm Lenkrad, das war nicht mehr der liebenswürdige Dagobert, das war ein finsterer Herr mit dem harten Blick eines abgebrühten Schellfisches.	126:137	0:152	abgebrüht
26120215_1966_05_25_01_169.tcf.xml-16-4	Die Bekanntschaft mit einem abgebrühten Ganoven, aufwendige Gaststättenbesuche und eine reizvolle Frau führen ihn auf einen Weg, der zu einem bösen Ende führen muß.	28:39	0:164	abgebrüht
26120215_1966_11_11_01_073.tcf.xml-81-3	Pickler war gewiß abgebrüht, er riskierte viel, aber so bodenlos frech?	18:27	0:71	abgebrüht
26120215_1977_10_20_01_265.tcf.xml-13-7	Vorher müssen alle Pilze mit heißem Wasser abgebrüht werden.	43:52	0:60	abgebrüht
26120215_1989_02_25_01_393.tcf.xml-29-31	Keiner von den Maus, natürlich nicht, die kämen ja im Auto. Endlich, man fahrt los, der Schreck läßt nach, der Spuk ist orbei Jack tut abgebrüht, er fingert am Schreibtisch, will eine Niete sein, doch Jenny hat genug, ihr reicht es.	135:144	0:232	abgebrüht
26120215_1989_04_28_01_171.tcf.xml-2-7	Nichts mehr von der Keckheit, dem abgebrühten Humor, der ihn in der ersten Nacht eils amüsiert, teils-befremdet hatte.	34:45	0:118	abgebrüht
26120215_1989_12_16_01_134.tcf.xml-25-23	Bogart gelang dann immer wieder das Kunststück, durch die verschiedenen Charaktere seine Persönlichkeit durchschimmern zu lassen und so die unverwechselbare Figur eines abgebrühten individualistischen Abenteurers zu formen, mit einem Anhauch von Idealismus hinter der rauhen Fassade, ein Philosoph im Trenchcoat.	169:180	0:312	abgebrüht
brehm_thierleben06_1869-15516-1	Die abgebrühten Gehäusschnecken kann man, indem der Spindelmuskel sich losgelöst hat, leicht aus dem Gewinde herausdrehen.	4:15	0:122	abgebrüht
davidis_kochbuch_1849-2062-61	Nachdem es gut gewaschen, mit Wasser und Salz rein ausgeschäumt, gibt man die Brühe nach Verlauf von einer starken halben Stunde durch ein Sieb, schwitzt wie in No. 2, Mehl in Butter, schüttet die Kalbfleischbrühe vom Bodensatz langsam hinzu, gibt eine Petersilien-und einige Scorzoner-Wurzeln dazu, so wie ½ Stunde vor dem Anrichten abgebrühten Reis, und kocht die Suppe langsam, fest zugedeckt, gahr.	334:345	0:402	abgebrüht
davidis_kochbuch_1849-2069-31	Es wird dazu ein gutes, fleischiges Stück genommen, wie oben mit etwas Salz ausgeschäumt, die Brühe durch ein Sieb geschüttet, mit Reis, der in kochendem Wasser abgebrüht ist, gahr gekocht.	161:170	0:189	abgebrüht
davidis_kochbuch_1849-2355-12	Ein Suppenteller voll klein geschnittener saurer Aepfel werden mit einer Obertasse voll abgebrühtem Reis in Wasser ganz weich gekocht, durch ein Sieb gerieben, mit Zucker, Zimmet, Zitronenschale und etwas Salz durchgekocht und mit 2 Eidottern abgerührt.	88:99	0:253	abgebrüht
davidis_kochbuch_1849-3482-6	Drei Viertel Pfund Reis wird gut abgebrüht, in Wasser gahr gekocht, doch müssen die Körner ganz bleiben.	33:42	0:104	abgebrüht
davidis_kochbuch_1849-3498-5	Unterdeß wird 1 Pfund Reis abgebrüht, in einem irdenen Geschirr mit reichlich 4 Maß Wasser und dem Pfunde Zucker 3 Stunden gekocht.	27:36	0:131	abgebrüht
davidis_kochbuch_1849-3584-11	Man kocht nach der Größe der Form ½ — ¾ Pfund abgebrühten Reis mit Milch und einem Stück frischer Butter gahr, aber nicht zu weich, rührt den nöthigen Zucker, sowie das von 4—6 Eiern zu steifem Schaum geschlagene Weiße durch.	46:57	0:225	abgebrüht
davidis_kochbuch_1849-3745-3	Ist der Reis abgebrüht, setze man ihn nach vorhergehender Angabe zu Feuer, gebe, wenn er eine kleine Weile gekocht hat, ausgesuchte und gewaschene Rosinen dazu, so wie auch später Zucker und wenig Salz und lasse ihn gahr werden, aber nicht zerkochen.	13:22	0:250	abgebrüht
davidis_kochbuch_1849-4049-4	Ein Pfund Reis wird abgebrüht, in Wasser mit einem Stückchen Butter halb gahr gekocht, auf einen Durchschlag geschüttet und mit Jus, die man zurückgestellt hat, und einer Tasse Madeira gahr gekocht.	20:29	0:198	abgebrüht
davidis_kochbuch_1849-4053-7	Auch kocht man ¾ — 1 Pfund abgebrühten Reis in Milch ganz steif und gibt etwas Salz dazu.	27:38	0:89	abgebrüht
