dataID	context	indices_target_token	indices_target_sentence	lemma
2532889X_1966-07-09_01_121.tcf.xml-18-14	Menschen erscheinen reduziert auf simple Ansprüche und Überlegungen, selbst Ihr Widerspruch ist kaum artikuliert:	101:112	0:113	artikulieren
2532889X_1978-12-20_01_052.tcf.xml-23-1	Mitunter artikuliert sich in ihnen auch etwas von einer Bereitschaft zur aktiven Verteidigung des	9:20	0:97	artikulieren
2532889X_1980-03-05_01_060.tcf.xml-18-5	Autoren und Regisseure dieser Werke artikulieren hier etwas von der bedrückenden Last, der sich Millionen Menschen im kapitalistischen Allitag ausgesetzt sehen, der sozialen Unsicherheit, der Sorge um das Morgen.	36:48	0:212	artikulieren
2532889X_1981-03-21_01_043.tcf.xml-24-31	Als Wegbereiter der sowjetischen Reportagefotografie erklären sie sich in einer den sozialen Inhalt der neuen Epoche erschließenden Fotografie, die sich in nüchterner wie fotoästhetisch verdichteter Bildsprache zum Zwecke öffentlicher Mitteilung artikuliert.	246:257	0:258	artikulieren
2532889X_1981-06-09_01_110.tcf.xml-14-1	Hier artikulierte sich ein zeitgemäßer, sozialistischer deutscher Patriotismus, Keime eines neuen sozialistischen deutschen nationalen Selbstbewußtseins begannen sich zu regen.	5:17	0:176	artikulieren
2532889X_1982-11-11_01_053.tcf.xml-14-7	Das Geschieh ts-Verständnis der jungen Generation artikuliert sich unter anderem in der Darstellung von Stätten der Revolution.	50:61	0:127	artikulieren
2532889X_1985-12-07_01_368.tcf.xml-21-8	Wosnessenski weiß sich in diesem gesellschaftlichen Bezug und artikuliert seine politische Verantwortung als Dichter.	62:73	0:117	artikulieren
2532889X_1987-01-26_01_063.tcf.xml-22-22	So bekamen wir ein kurzes mystisches Kultspiel zu -sehen, in dem lendengeschürzte Gestalten in Trance schreitend, kriechend, gestikulierend und artikulierend ein weihevolles Ritual zelebrieren.	144:157	0:193	artikulieren
2532889X_1987-08-21_01_113.tcf.xml-26-18	Der Wille des Volkes und die Frage.Warum können wir nicht alle miteinander in Frieden leben? ' artikuliert sich heute mit größerem Nachdruck, und die Politiker reagieren darauf mit größerer Bereitschaft.	95:106	0:203	artikulieren
2532889X_1987-09-18_01_055.tcf.xml-5-5	"Und zugleich wird der Wunsch artikuliert „daß die Kritiker Spaß verstehen""."	29:40	0:75	artikulieren
2532889X_1988-08-20_01_267.tcf.xml-12-30	Ob Huhn gekocht, gegrillt, paniert, weiße Bohnen mit Speck, Powideldatschkerln oder Moussaka... man wundert sich, was für verrückte Ideen sich hier zu artikulieren wußten.	151:163	0:171	artikulieren
2532889X_1990-01-17_01_045.tcf.xml-71-15	Notwendig ist aber darüber hinaus, die spezifischen Fraueninteressen ' und -bedürfnisse öffentlich wirksamer zu artikulieren, sie in den politischen Entscheidungsprozeß einzubringen und einzufordern.	112:124	0:199	artikulieren
2532889X_1990-06-05_01_087.tcf.xml-33-37	Dieser Beschluß richte sich „kaum verhüllt gegen einen Teil der linken Opposition, die vielleicht den sozialen Protest, der sich spätestens im Herbst, gegen die jetzige Form der Vereinigung Deutschlands erheben wird, mit artikulieren wird.	221:233	0:239	artikulieren
26120215_1972_08_21_01_116.tcf.xml-14-27	1956. in Melbourne — ■ Australien, war ich schon nicht mehr überrascht, höchstens von der Zusatzplage, wegen des zigtausendkilometerweiten Funkwellenweqes die Reportagen besonders artikuliert und langsam zu sprechen.	180:191	0:216	artikulieren
26120215_1973_04_10_01_136.tcf.xml-13-5	Schon im Frühwerk des Künstlers artikulierte sich ein soziales und politisches Gewissen.	32:44	0:88	artikulieren
26120215_1973_08_31_01_082.tcf.xml-4-24	"Das im Minsker Funktechnischen Institut entwickelte Gerät vermag aus einem Bestand von 64 In seinem „Gedächtnis"" gespeicherten Lauten jeden beliebigen Satz zu artikulieren."	159:171	0:172	artikulieren
26120215_1976_12_07_01_188.tcf.xml-12-11	"Im „Unbedeutenden"" von 1846 ist dieser Gegensatz am deutlichsten artikuliert."	65:76	0:77	artikulieren
26120215_1982_11_29_01_097.tcf.xml-47-17	Löwenthals Stimme war schwach und heiser, so als fehle ihm die Kraft, sich hörbarer zu artikulieren.	87:99	0:100	artikulieren
26120215_1988_07_30_01_137.tcf.xml-5-23	Zwischen profanen Haushaltsdingen und Betrachtungen zur engeren Umwelt, deren Atmosphäre oft auf die hauptstädtischen Neubaugebiete verweist oder auf die grüneren Randgebiete, artikuliert sich eine starke Sehnsucht nach Leben, danach.	176:187	0:234	artikulieren
26120215_1988_08_20_01_052.tcf.xml-20-32	"Recht genau entsprach der Konvent den Vorstellungen jenei Gruppierung der amerikanischen Bourgeoisie, die sich am 10. August im Börsen-und Finanzblatt „Wall Street Journal"" zu ihren Vorstellungen eines Präsidenten artikuliert hatte."	214:225	0:232	artikulieren
26120215_1988_09_02_01_087.tcf.xml-15-1	Souverän artikulierte am Pult Gert Bahner diese durchsichtigspröde Musik.	9:21	0:73	artikulieren
26120215_1989_07_29_01_027.tcf.xml-44-1	Hier artikuliert sich der brutale Drang, ohne Rücksicht auf (menschliche) Verluste Kapitalinteressen durchzusetzen.	5:16	0:115	artikulieren
26120215_1989_12_09_01_378.tcf.xml-211-27	Wir sollten nicht zuletzt zuhören lernen, eine Kunst, die heute offenbar nicht zu hoch im Kurs steht, da viele politische Gruppen vor allem sich artikulieren und sich profilieren möchten Da ereifert sich manchmal einer und gewinnt mehr Aufmerksamkeit als eifrige, fleißige Arbeiter, die nicht so schnell mit dem Mund, aber vor allem mit dem Herzen für den Sozialismus sind.	145:157	0:373	artikulieren
26120215_1990_01_11_01_089.tcf.xml-68-1	Hunderttausende artikulierten sich auf der Berliner Demonstration am 4. 11.	16:29	0:75	artikulieren
26120215_1990_04_07_01_173.tcf.xml-55-0	Artikuliert hat sich der Konflikt als Gegensatz zweier Gesellschaftssysteme.	0:11	0:76	artikulieren
beyer_poetik01_1882-7479-21	Die ganze Wahrheit reduziert sich auf die Thatsache: daß die musikalischen Arsen und Thesen so sangbar als möglich vokalisiert und artikuliert waren.	131:142	0:149	artikulieren
blumenbach_anatomie2_1805-645-20	Und da die Vögel weder wahre Nebenröhre (sibula), noch auch Fusswurzel (tarsus) haben, so articulirt ihre Schienbeinröhre unmittelbar mit der gedachten Mittelfussröhre.	90:100	0:168	artikulieren
