instanceID	dataIDs	label_set	non_label
sense0-humboldt_aequinoktial04_1859-2016-1	sense0,humboldt_aequinoktial04_1859-2016-1	0,1	-
sense1-humboldt_aequinoktial04_1859-2016-1	sense1,humboldt_aequinoktial04_1859-2016-1	0,1	-
sense2-humboldt_aequinoktial04_1859-2016-1	sense2,humboldt_aequinoktial04_1859-2016-1	0,1	-
sense0-vischer_auch02_1879-1069-21	sense0,vischer_auch02_1879-1069-21	0,1	-
sense1-vischer_auch02_1879-1069-21	sense1,vischer_auch02_1879-1069-21	0,1	-
sense2-vischer_auch02_1879-1069-21	sense2,vischer_auch02_1879-1069-21	0,1	-
sense0-26120215_1976_03_02_01_025.tcf.xml-160-22	sense0,26120215_1976_03_02_01_025.tcf.xml-160-22	0,1	-
sense1-26120215_1976_03_02_01_025.tcf.xml-160-22	sense1,26120215_1976_03_02_01_025.tcf.xml-160-22	0,1	-
sense2-26120215_1976_03_02_01_025.tcf.xml-160-22	sense2,26120215_1976_03_02_01_025.tcf.xml-160-22	0,1	-
sense0-nn_nrhz300i_1849-169-15	sense0,nn_nrhz300i_1849-169-15	0,1	-
sense1-nn_nrhz300i_1849-169-15	sense1,nn_nrhz300i_1849-169-15	0,1	-
sense2-nn_nrhz300i_1849-169-15	sense2,nn_nrhz300i_1849-169-15	0,1	-
sense0-mommsen_roemische01_1854-5155-79	sense0,mommsen_roemische01_1854-5155-79	0,1	-
sense1-mommsen_roemische01_1854-5155-79	sense1,mommsen_roemische01_1854-5155-79	0,1	-
sense2-mommsen_roemische01_1854-5155-79	sense2,mommsen_roemische01_1854-5155-79	0,1	-
sense0-erbkam_tagebuch02_1843-2490-21	sense0,erbkam_tagebuch02_1843-2490-21	0,1	-
sense1-erbkam_tagebuch02_1843-2490-21	sense1,erbkam_tagebuch02_1843-2490-21	0,1	-
sense2-erbkam_tagebuch02_1843-2490-21	sense2,erbkam_tagebuch02_1843-2490-21	0,1	-
sense0-vischer_aesthetik030203_1854-1875-31	sense0,vischer_aesthetik030203_1854-1875-31	0,1	-
sense1-vischer_aesthetik030203_1854-1875-31	sense1,vischer_aesthetik030203_1854-1875-31	0,1	-
sense2-vischer_aesthetik030203_1854-1875-31	sense2,vischer_aesthetik030203_1854-1875-31	0,1	-
sense0-droysen_alexander_1833-2077-10	sense0,droysen_alexander_1833-2077-10	0,1	-
sense1-droysen_alexander_1833-2077-10	sense1,droysen_alexander_1833-2077-10	0,1	-
sense2-droysen_alexander_1833-2077-10	sense2,droysen_alexander_1833-2077-10	0,1	-
sense0-2532889X_1955-10-25_01_121.tcf.xml-58-16	sense0,2532889X_1955-10-25_01_121.tcf.xml-58-16	0,1	-
sense1-2532889X_1955-10-25_01_121.tcf.xml-58-16	sense1,2532889X_1955-10-25_01_121.tcf.xml-58-16	0,1	-
sense2-2532889X_1955-10-25_01_121.tcf.xml-58-16	sense2,2532889X_1955-10-25_01_121.tcf.xml-58-16	0,1	-
sense0-humboldt_aequinoktial04_1859-2007-29	sense0,humboldt_aequinoktial04_1859-2007-29	0,1	-
sense1-humboldt_aequinoktial04_1859-2007-29	sense1,humboldt_aequinoktial04_1859-2007-29	0,1	-
sense2-humboldt_aequinoktial04_1859-2007-29	sense2,humboldt_aequinoktial04_1859-2007-29	0,1	-
sense0-droysen_alexander_1833-2064-57	sense0,droysen_alexander_1833-2064-57	0,1	-
sense1-droysen_alexander_1833-2064-57	sense1,droysen_alexander_1833-2064-57	0,1	-
