instanceID	label	comment	annotator
sense0,humboldt_aequinoktial04_1859-2016-1	0	-	annotatorA
sense1,humboldt_aequinoktial04_1859-2016-1	1	-	annotatorA
sense2,humboldt_aequinoktial04_1859-2016-1	0	-	annotatorA
sense0,vischer_auch02_1879-1069-21	0	-	annotatorA
sense1,vischer_auch02_1879-1069-21	0	-	annotatorA
sense2,vischer_auch02_1879-1069-21	1	-	annotatorA
sense0,26120215_1976_03_02_01_025.tcf.xml-160-22	0	-	annotatorA
sense1,26120215_1976_03_02_01_025.tcf.xml-160-22	0	-	annotatorA
sense2,26120215_1976_03_02_01_025.tcf.xml-160-22	1	-	annotatorA
sense0,nn_nrhz300i_1849-169-15	0	-	annotatorA
sense1,nn_nrhz300i_1849-169-15	1	-	annotatorA
sense2,nn_nrhz300i_1849-169-15	0	-	annotatorA
sense0,mommsen_roemische01_1854-5155-79	0	-	annotatorA
sense1,mommsen_roemische01_1854-5155-79	1	-	annotatorA
sense2,mommsen_roemische01_1854-5155-79	0	-	annotatorA
sense0,erbkam_tagebuch02_1843-2490-21	0	-	annotatorA
sense1,erbkam_tagebuch02_1843-2490-21	1	-	annotatorA
sense2,erbkam_tagebuch02_1843-2490-21	0	-	annotatorA
sense0,vischer_aesthetik030203_1854-1875-31	0	-	annotatorA
sense1,vischer_aesthetik030203_1854-1875-31	1	-	annotatorA
sense2,vischer_aesthetik030203_1854-1875-31	0	-	annotatorA
sense0,droysen_alexander_1833-2077-10	0	-	annotatorA
sense1,droysen_alexander_1833-2077-10	1	-	annotatorA
sense2,droysen_alexander_1833-2077-10	0	-	annotatorA
sense0,2532889X_1955-10-25_01_121.tcf.xml-58-16	0	-	annotatorA
sense1,2532889X_1955-10-25_01_121.tcf.xml-58-16	0	-	annotatorA
sense2,2532889X_1955-10-25_01_121.tcf.xml-58-16	1	-	annotatorA
sense0,humboldt_aequinoktial04_1859-2007-29	0	-	annotatorA
sense1,humboldt_aequinoktial04_1859-2007-29	1	-	annotatorA
sense2,humboldt_aequinoktial04_1859-2007-29	0	-	annotatorA
sense0,droysen_alexander_1833-2064-57	0	-	annotatorA
sense1,droysen_alexander_1833-2064-57	1	-	annotatorA
sense2,droysen_alexander_1833-2064-57	0	-	annotatorA
sense0,2532889X_1948-02-05_01_130.tcf.xml-5-2	0	-	annotatorA
sense1,2532889X_1948-02-05_01_130.tcf.xml-5-2	0	-	annotatorA
sense2,2532889X_1948-02-05_01_130.tcf.xml-5-2	1	-	annotatorA
sense0,2532889X_1954-07-25_01_051.tcf.xml-19-14	0	-	annotatorA
sense1,2532889X_1954-07-25_01_051.tcf.xml-19-14	0	-	annotatorA
sense2,2532889X_1954-07-25_01_051.tcf.xml-19-14	1	-	annotatorA
sense0,lehnert_seehaefen01_1891-3266-10	0	-	annotatorA
sense1,lehnert_seehaefen01_1891-3266-10	1	-	annotatorA
sense2,lehnert_seehaefen01_1891-3266-10	0	-	annotatorA
