instanceID	label	comment	annotator
sense0,26120215_1956_02_29_01_004.tcf.xml-18-6	0	-	annotatorA
sense1,26120215_1956_02_29_01_004.tcf.xml-18-6	0	-	annotatorA
sense2,26120215_1956_02_29_01_004.tcf.xml-18-6	0	-	annotatorA
sense3,26120215_1956_02_29_01_004.tcf.xml-18-6	0	-	annotatorA
sense4,26120215_1956_02_29_01_004.tcf.xml-18-6	1	-	annotatorA
sense0,bauer_buehnenleben_1871-3550-8	0	-	annotatorA
sense1,bauer_buehnenleben_1871-3550-8	0	-	annotatorA
sense2,bauer_buehnenleben_1871-3550-8	0	-	annotatorA
sense3,bauer_buehnenleben_1871-3550-8	0	-	annotatorA
sense4,bauer_buehnenleben_1871-3550-8	1	-	annotatorA
sense0,26120215_1971_07_04_01_404.tcf.xml-16-15	0	-	annotatorA
sense1,26120215_1971_07_04_01_404.tcf.xml-16-15	1	-	annotatorA
sense2,26120215_1971_07_04_01_404.tcf.xml-16-15	0	-	annotatorA
sense3,26120215_1971_07_04_01_404.tcf.xml-16-15	0	-	annotatorA
sense4,26120215_1971_07_04_01_404.tcf.xml-16-15	0	-	annotatorA
sense0,2532889X_1970-09-19_01_372.tcf.xml-194-5	0	-	annotatorA
sense1,2532889X_1970-09-19_01_372.tcf.xml-194-5	0	-	annotatorA
sense2,2532889X_1970-09-19_01_372.tcf.xml-194-5	0	-	annotatorA
sense3,2532889X_1970-09-19_01_372.tcf.xml-194-5	0	-	annotatorA
sense4,2532889X_1970-09-19_01_372.tcf.xml-194-5	1	-	annotatorA
sense0,2532889X_1947-03-08_01_058.tcf.xml-22-1	0	-	annotatorA
sense1,2532889X_1947-03-08_01_058.tcf.xml-22-1	0	-	annotatorA
sense2,2532889X_1947-03-08_01_058.tcf.xml-22-1	0	-	annotatorA
sense3,2532889X_1947-03-08_01_058.tcf.xml-22-1	1	-	annotatorA
sense4,2532889X_1947-03-08_01_058.tcf.xml-22-1	0	-	annotatorA
sense0,2532889X_1980-09-06_01_222.tcf.xml-8-11	0	-	annotatorA
sense1,2532889X_1980-09-06_01_222.tcf.xml-8-11	1	-	annotatorA
sense2,2532889X_1980-09-06_01_222.tcf.xml-8-11	0	-	annotatorA
sense3,2532889X_1980-09-06_01_222.tcf.xml-8-11	0	-	annotatorA
sense4,2532889X_1980-09-06_01_222.tcf.xml-8-11	0	-	annotatorA
sense0,2532889X_1947-07-22_01_135.tcf.xml-13-2	-	das ist “auspacken”	annotatorA
sense1,2532889X_1947-07-22_01_135.tcf.xml-13-2	-	das ist “auspacken”	annotatorA
