senseID	definition	lemma
sense0	andere	Engpaß
sense1	schmale Durchfahrt	Engpaß
sense2	Schwierigkeit, Notlage	Engpaß
sense0	hinter der wirtschaftlichen Entwicklung zurückgebliebene Region	Armenhaus
sense1	andere	Armenhaus
sense2	Unterkunft für Arme	Armenhaus
sense0	andere	Titel
sense1	Buch	Titel
sense2	wirt. bezifferte Gruppe von Beträgen	Titel
sense3	jur. Abschnitt eines Gesetzes	Titel
sense4	Überschrift (z.B. eines Buches)	Titel
sense5	ehrenvoller, den Rang, Stand, die Würde seines Trägers kennzeichnender, erworbener oder verliehener Zusatz zum Namen, der dem Namen vorangestellt wird	Titel
sense6	jur. urkundlich fixierter Rechtsanspruch	Titel
sense4	Angst	Manschette
sense0	andere	Manschette
sense1	(steifer) zuknöpfbarer Abschluss eines langen Ärmels, besonders am Herrenhemd	Manschette
sense2	schmückende Papierhülle (um Blumentöpfe)	Manschette
sense3	steife Binde (an Gelenken, Dichtungsring)	Manschette
sense0	andere	Dynamik
sense1	Lehre vom Einfluß der Kräfte auf die Bewegungsvorgänge von Körpern	Dynamik
sense2	innere Bewegung, Triebkraft, auf Entwicklung gerichtete Kraft, Beweglichkeit	Dynamik
sense0	unerwartetes, außergewöhnliches, aufsehenerregendes Ereignis (und die Nachricht darüber)	Sensation
sense2	Empfindung	Sensation
sense1	andere	Sensation
sense0	andere	Knotenpunkt
sense1	Schnittpunkt verschiedener Verkehrswege	Knotenpunkt
sense2	Punkt bei Pflanzen, wo Triebe vom Wurzelsystem ausgehen	Knotenpunkt
sense3	zentraler Gegenstand einer Sache, Überlegung	Knotenpunkt
sense0	Schlußteil einer Strophe	Abgesang
sense1	Abschied, letztes Werk eines Künstlers	Abgesang
sense2	andere	Abgesang
sense0	andere	abbauen
sense1	im Bergbau ausbeuten	abbauen
sense4	körperlich nachlassen, schlappmachen von Menschen	abbauen
sense3	verringern, reduzieren	abbauen
sense2	etw. Aufgebautes (z.B. Krämerbude) zerlegen, abbrechen	abbauen
sense5	biochem. Zerlegen	abbauen
sense0	andere	Rezeption
sense2	Annahme, Aufnahme, Übernahme	Rezeption
sense1	Büro in einem Hotel, in dem sich die Gäste melden und eintragen lassen, Empfang	Rezeption
sense1	andere	Schmiere
sense7	Aufpasser	Schmiere
sense5	Theater	Schmiere
sense6	Schmiererei	Schmiere
sense3	Bestechungsgelder	Schmiere
sense0	Fett zum Schmieren	Schmiere
sense2	Schmutz	Schmiere
sense4	aufpassen (Schmiere stehen)	Schmiere
sense0	andere	ausspannen
sense1	etw. Eingespanntes lösen	ausspannen
sense4	längere Zeit von der Arbeit ausruhen, sich erholen	ausspannen
sense3	jdm. jdn./etw. wegnehmen	ausspannen
sense2	etw. zwischen zwei Punkten straff spannen	ausspannen
sense1	etw., sich auflösen	zersetzen
sense0	eine schädigende, zerstörende Wirkung auf den Bestand von etw. ausüben, etw. untergraben	zersetzen
sense2	andere	zersetzen
sense0	machtloses oder willenloses Werkzeug	Spielball
sense1	andere	Spielball
sense2	Ball zum Spielen	Spielball
sense0	etw. allzu stark, straff spannen	überspannen
sense1	andere	überspannen
sense2	in etw. zu weit gehen, etw. übertreiben	überspannen
sense4	etw. mit etw. bespannen, überziehen	überspannen
sense3	etw. führt (in weitem Bogen) über etw. hinweg, spannt sich (in weitem Bogen) über etw.	überspannen
sense0	andere	Ohrwurm
sense1	Insekt, dem der Volksglaube annimmt, daß es gerne Schläfern ins Ohr kriecht	Ohrwurm
sense2	eingängige Melodie	Ohrwurm
sense3	Zuträger, Schmeichler	Ohrwurm
sense2	andere	abdecken
sense5	wegnehmen	abdecken
sense0	die Haut abziehen	abdecken
sense3	Bedarf absichern	abdecken
sense1	abschirmen, absichern	abdecken
sense4	bedecken	abdecken
sense0	andere	Seminar
sense1	Bildungsanstalt	Seminar
sense2	Teilnehmer einer Lehrveranstaltung	Seminar
sense3	wissenschaftliches Institut an einer Hochschule, das mit einer Fachbibliothek ausgestattet ist und in dem Übungen abgehalten werden	Seminar
sense4	Form der Lehrveranstaltung, besonders an Hochschulen, bei der das Studium in einer Arbeitsgemeinschaft unter der Leitung eines Wissenschaftlers oder Fachmannes durchgeführt wird	Seminar
sense0	andere	Eintagsfliege
sense1	zarthäutiges, nach langem Larvenstadium nur einen oder wenige Tage als Vollkerf lebendes Flügelinsekt	Eintagsfliege
sense2	etw., was sich rasch überholt, ein nur vorübergehend erfolgreicher Mensch	Eintagsfliege
sense0	andere	Mißklang
sense1	Störung der Harmonie, Verstimmung, Unstimmigkeit	Mißklang
sense2	musikal. Dissonanz	Mißklang
sense0	andere	abgebrüht
sense1	mit kochendem Wasser übergoßen	abgebrüht
sense2	gefühllos, frech, dickfellig, abgehärtet gegen sittl. Eindrücke etc.	abgebrüht
sense0	andere	Fuß
sense1	unterster Teil des Beines	Fuß
sense2	sich ansiedeln	Fuß
sense3	Angst bekommen	Fuß
sense4	missachten	Fuß
sense5	Längenangabe	Fuß
sense6	unten am Sockel	Fuß
sense7	unten am Berg	Fuß
sense0	andere	artikulieren
sense1	deutlich aussprechen, in Worte fassen	artikulieren
sense2	gliedern, (in Artikel) einteilen	artikulieren
sense0	andere	packen
sense1	etw. erweckt ganz stark jmds. Interesse, Aufmerksamkeit	packen
sense3	nach jmdm., etw. derb fassen und ihn, es festhalten	packen
sense2	sich fortscheren	packen
sense4	etw. in etw. legen (und schichten)	packen
