dataID	context	indices_target_token	indices_target_sentence	lemma
2532889X_1947-06-10_01_049.tcf.xml-10-2	Ein weiterer Engpaß, den wir nur mit Mühe Oberwunden haben, war die schlechte Qualität ' unserer Zugkräfte.	13:19	0:107	Engpaß
2532889X_1948-02-05_01_130.tcf.xml-5-2	Als einen Engpaß der Demontage bezeichnete Minister Nölting das Problem der Verpackung der demontierten Maschinen.	10:16	0:114	Engpaß
2532889X_1949-02-06_01_163.tcf.xml-82-15	Es sei selbstverständlich, daß jeder im Betrieb alle Kräfte mobilisiere, um Schwierigkeiten und Engpässe ZU überwinden.	96:104	0:119	Engpaß
2532889X_1949-04-06_01_054.tcf.xml-62-14	Natürlich ist Uns dabei bewußt daß sowohl die Baustoff-als auch die Transportfrage erhebliche Engpässe sind.	94:102	0:108	Engpaß
2532889X_1949-07-16_01_087.tcf.xml-8-3	Um endlich diesen Engpaß zu überwinden, haben die Handwerker des Betriebes nach einer Produktionsbesprechune In zwei Tagen 250 Förderwagen überholt.	18:24	0:148	Engpaß
2532889X_1952-10-08_01_019.tcf.xml-357-9	"Viele Ministerien setzen die Betriebskapazitäten mit Ausrichtung auf „Engpässe"" in der Produktion fest; bei der Berechnung der Kapazitäten werden oft zu niedrige Normen für die Produktivität der Ausrüstung festgesetzt, es werden Arbeitsnormen für die Herstellung von Erzeugnissen ohne Berücksichtigung der fortschrittlichen Technologie und der vollkommneren Methoden der Arbeitsorganisation festgesetzt."	70:78	0:403	Engpaß
2532889X_1954-07-25_01_051.tcf.xml-19-14	"So wichtig es auch ist, eine gute Organisation des Produktionsprozesses aufzubauen — „Engpässe"" ein für allemal aus der Welt zu schaffen, dazu ist sie nicht in der Lage."	86:94	0:169	Engpaß
2532889X_1955-10-25_01_121.tcf.xml-58-16	Unsere Techniker versuchen immer wieder, neue, moderne Methoden anzuwenden und unsere Republik von bestimmten Engpässen	110:119	0:119	Engpaß
2532889X_1956-09-07_01_041.tcf.xml-18-6	"Die neue Secura-Kleinregistrierkasse überbrückt den „Engpaß"" in der Beschaffung von hochwertigen Kleinregistrierkassen, damit auch in den Ein-Mann-Verkaufsstellen, Kiosken und im ambulanten Handel eine Kontrolle durch die Registrierkassen erfolgen kann."	53:59	0:253	Engpaß
2532889X_1958-09-27_01_157.tcf.xml-14-13	Daß von dieser Seite nicht alle Möglichkeiten ausgeschöpft wurden, damit nirgends ein Engpaß eintritt, ersieht man schon daraus. daß nicht einmal für die diesjährigen Schulabgänger genügend Arbeitskleidung vorhanden war.	86:92	0:220	Engpaß
2532889X_1965-12-17_01_165.tcf.xml-376-25	Neben der weiteren vorrangigen Entwicklung der führenden Zweige auf dem Gebiet der Investitionen werden im Jahre 1966 gleichzeitig auch stärker als in den Vorjahren bestimmte Engpässe,	175:183	0:184	Engpaß
2532889X_1971-11-28_01_047.tcf.xml-25-13	Zehn Jugendfreunde aus dem Direktionsbereich Investitionen erklärten ihre Bereitschaft, an Wochenenden an Engpässen der Prodution bei Sonderschichten mitzuarbeiten.	106:115	0:164	Engpaß
2532889X_1972-04-14_01_342.tcf.xml-7-9	Auf der einen Seite ergeben sich da und dort Engpässe in der Materialversorgung, weil die Baustoffindustrie noch nicht richtig mitmarschiert.	45:53	0:141	Engpaß
2532889X_1973-09-22_01_089.tcf.xml-26-22	Betriebsfunk, Betriebszeitung, Vorträge von Fachleuten — alle erklären die notwendigen Schritte und werben um die besten Vorschläge zur Überwindung von Engpässen und Störfaktoren.	152:161	0:179	Engpaß
