instanceID	dataIDs	label_set	non_label
sense0-siemens_telegraphie_1866-270-10	sense0,siemens_telegraphie_1866-270-10	0,1	-
sense1-siemens_telegraphie_1866-270-10	sense1,siemens_telegraphie_1866-270-10	0,1	-
sense2-siemens_telegraphie_1866-270-10	sense2,siemens_telegraphie_1866-270-10	0,1	-
sense3-siemens_telegraphie_1866-270-10	sense3,siemens_telegraphie_1866-270-10	0,1	-
sense4-siemens_telegraphie_1866-270-10	sense4,siemens_telegraphie_1866-270-10	0,1	-
sense0-vischer_aesthetik030201_1852-537-25	sense0,vischer_aesthetik030201_1852-537-25	0,1	-
sense1-vischer_aesthetik030201_1852-537-25	sense1,vischer_aesthetik030201_1852-537-25	0,1	-
sense2-vischer_aesthetik030201_1852-537-25	sense2,vischer_aesthetik030201_1852-537-25	0,1	-
sense3-vischer_aesthetik030201_1852-537-25	sense3,vischer_aesthetik030201_1852-537-25	0,1	-
sense4-vischer_aesthetik030201_1852-537-25	sense4,vischer_aesthetik030201_1852-537-25	0,1	-
sense0-fouque_frauen_1826-1436-57	sense0,fouque_frauen_1826-1436-57	0,1	-
sense1-fouque_frauen_1826-1436-57	sense1,fouque_frauen_1826-1436-57	0,1	-
sense2-fouque_frauen_1826-1436-57	sense2,fouque_frauen_1826-1436-57	0,1	-
sense3-fouque_frauen_1826-1436-57	sense3,fouque_frauen_1826-1436-57	0,1	-
sense4-fouque_frauen_1826-1436-57	sense4,fouque_frauen_1826-1436-57	0,1	-
sense0-menzel_maurer_1847-3296-7	sense0,menzel_maurer_1847-3296-7	0,1	-
sense1-menzel_maurer_1847-3296-7	sense1,menzel_maurer_1847-3296-7	0,1	-
sense2-menzel_maurer_1847-3296-7	sense2,menzel_maurer_1847-3296-7	0,1	-
sense3-menzel_maurer_1847-3296-7	sense3,menzel_maurer_1847-3296-7	0,1	-
sense4-menzel_maurer_1847-3296-7	sense4,menzel_maurer_1847-3296-7	0,1	-
sense0-brehm_thierleben04_1867-8357-1	sense0,brehm_thierleben04_1867-8357-1	0,1	-
sense1-brehm_thierleben04_1867-8357-1	sense1,brehm_thierleben04_1867-8357-1	0,1	-
sense2-brehm_thierleben04_1867-8357-1	sense2,brehm_thierleben04_1867-8357-1	0,1	-
sense3-brehm_thierleben04_1867-8357-1	sense3,brehm_thierleben04_1867-8357-1	0,1	-
sense4-brehm_thierleben04_1867-8357-1	sense4,brehm_thierleben04_1867-8357-1	0,1	-
sense0-gutzkow_serapionsbrueder01_1877-96-45	sense0,gutzkow_serapionsbrueder01_1877-96-45	0,1	-
sense1-gutzkow_serapionsbrueder01_1877-96-45	sense1,gutzkow_serapionsbrueder01_1877-96-45	0,1	-
sense2-gutzkow_serapionsbrueder01_1877-96-45	sense2,gutzkow_serapionsbrueder01_1877-96-45	0,1	-
sense3-gutzkow_serapionsbrueder01_1877-96-45	sense3,gutzkow_serapionsbrueder01_1877-96-45	0,1	-
sense4-gutzkow_serapionsbrueder01_1877-96-45	sense4,gutzkow_serapionsbrueder01_1877-96-45	0,1	-
sense0-26120215_1979_01_09_01_052.tcf.xml-67-14	sense0,26120215_1979_01_09_01_052.tcf.xml-67-14	0,1	-
sense1-26120215_1979_01_09_01_052.tcf.xml-67-14	sense1,26120215_1979_01_09_01_052.tcf.xml-67-14	0,1	-
sense2-26120215_1979_01_09_01_052.tcf.xml-67-14	sense2,26120215_1979_01_09_01_052.tcf.xml-67-14	0,1	-
sense3-26120215_1979_01_09_01_052.tcf.xml-67-14	sense3,26120215_1979_01_09_01_052.tcf.xml-67-14	0,1	-
sense4-26120215_1979_01_09_01_052.tcf.xml-67-14	sense4,26120215_1979_01_09_01_052.tcf.xml-67-14	0,1	-
sense0-bluntschli_staatslehre_1875-4658-26	sense0,bluntschli_staatslehre_1875-4658-26	0,1	-
sense1-bluntschli_staatslehre_1875-4658-26	sense1,bluntschli_staatslehre_1875-4658-26	0,1	-
