instanceID	label	comment	annotator
sense0,siemens_telegraphie_1866-270-10	0	-	annotatorA
sense1,siemens_telegraphie_1866-270-10	0	-	annotatorA
sense2,siemens_telegraphie_1866-270-10	0	-	annotatorA
sense3,siemens_telegraphie_1866-270-10	1	-	annotatorA
sense4,siemens_telegraphie_1866-270-10	0	-	annotatorA
sense0,vischer_aesthetik030201_1852-537-25	0	-	annotatorA
sense1,vischer_aesthetik030201_1852-537-25	0	-	annotatorA
sense2,vischer_aesthetik030201_1852-537-25	0	-	annotatorA
sense3,vischer_aesthetik030201_1852-537-25	1	-	annotatorA
sense4,vischer_aesthetik030201_1852-537-25	0	-	annotatorA
sense0,fouque_frauen_1826-1436-57	1	-	annotatorA
sense1,fouque_frauen_1826-1436-57	0	-	annotatorA
sense2,fouque_frauen_1826-1436-57	0	-	annotatorA
sense3,fouque_frauen_1826-1436-57	0	-	annotatorA
sense4,fouque_frauen_1826-1436-57	0	-	annotatorA
sense0,menzel_maurer_1847-3296-7	0	-	annotatorA
sense1,menzel_maurer_1847-3296-7	0	-	annotatorA
sense2,menzel_maurer_1847-3296-7	0	-	annotatorA
sense3,menzel_maurer_1847-3296-7	1	-	annotatorA
sense4,menzel_maurer_1847-3296-7	0	-	annotatorA
sense0,brehm_thierleben04_1867-8357-1	0	-	annotatorA
sense1,brehm_thierleben04_1867-8357-1	0	-	annotatorA
sense2,brehm_thierleben04_1867-8357-1	0	-	annotatorA
sense3,brehm_thierleben04_1867-8357-1	1	-	annotatorA
sense4,brehm_thierleben04_1867-8357-1	0	-	annotatorA
sense0,gutzkow_serapionsbrueder01_1877-96-45	1	-	annotatorA
sense1,gutzkow_serapionsbrueder01_1877-96-45	0	-	annotatorA
sense2,gutzkow_serapionsbrueder01_1877-96-45	0	-	annotatorA
sense3,gutzkow_serapionsbrueder01_1877-96-45	0	-	annotatorA
sense4,gutzkow_serapionsbrueder01_1877-96-45	0	-	annotatorA
sense0,26120215_1979_01_09_01_052.tcf.xml-67-14	0	-	annotatorA
sense1,26120215_1979_01_09_01_052.tcf.xml-67-14	0	-	annotatorA
sense2,26120215_1979_01_09_01_052.tcf.xml-67-14	1	-	annotatorA
sense3,26120215_1979_01_09_01_052.tcf.xml-67-14	0	-	annotatorA
sense4,26120215_1979_01_09_01_052.tcf.xml-67-14	0	-	annotatorA
sense0,bluntschli_staatslehre_1875-4658-26	0	-	annotatorA
sense1,bluntschli_staatslehre_1875-4658-26	0	-	annotatorA
sense2,bluntschli_staatslehre_1875-4658-26	0	-	annotatorA
sense3,bluntschli_staatslehre_1875-4658-26	1	-	annotatorA
sense4,bluntschli_staatslehre_1875-4658-26	0	-	annotatorA
sense0,2532889X_1981-02-14_01_071.tcf.xml-7-20	0	-	annotatorA
sense1,2532889X_1981-02-14_01_071.tcf.xml-7-20	0	-	annotatorA
sense2,2532889X_1981-02-14_01_071.tcf.xml-7-20	0	-	annotatorA
sense3,2532889X_1981-02-14_01_071.tcf.xml-7-20	1	-	annotatorA
sense4,2532889X_1981-02-14_01_071.tcf.xml-7-20	0	-	annotatorA
sense0,2532889X_1981-03-17_01_086.tcf.xml-42-16	1	-	annotatorA
sense1,2532889X_1981-03-17_01_086.tcf.xml-42-16	0	-	annotatorA
sense2,2532889X_1981-03-17_01_086.tcf.xml-42-16	0	-	annotatorA
sense3,2532889X_1981-03-17_01_086.tcf.xml-42-16	0	-	annotatorA
sense4,2532889X_1981-03-17_01_086.tcf.xml-42-16	0	-	annotatorA
sense0,2532889X_1975-10-22_01_155.tcf.xml-2-23	0	-	annotatorA
sense1,2532889X_1975-10-22_01_155.tcf.xml-2-23	0	-	annotatorA
sense2,2532889X_1975-10-22_01_155.tcf.xml-2-23	0	-	annotatorA
sense3,2532889X_1975-10-22_01_155.tcf.xml-2-23	1	-	annotatorA
sense4,2532889X_1975-10-22_01_155.tcf.xml-2-23	0	-	annotatorA
sense0,26120215_1966_10_16_01_006.tcf.xml-38-16	0	-	annotatorA
sense1,26120215_1966_10_16_01_006.tcf.xml-38-16	0	-	annotatorA
sense2,26120215_1966_10_16_01_006.tcf.xml-38-16	0	-	annotatorA
sense3,26120215_1966_10_16_01_006.tcf.xml-38-16	1	-	annotatorA
sense4,26120215_1966_10_16_01_006.tcf.xml-38-16	0	-	annotatorA
sense0,herbart_psychologie02_1825-45-36	1	-	annotatorA
