instanceID	label	comment	annotator
1151-account%1:07:00::	1	-	A
1151-account%1:07:00::	1	-	C
1151-account%1:07:00::	1	-	D
1151-account%1:07:00::	1	-	F
1151-account%1:07:00::	1	-	G
1151-account%1:07:00::	1	-	H
1151-account%1:07:00::	1	-	I
1151-account%1:07:00::	1	-	J
1151-account%1:07:01::	1	-	A
1151-account%1:07:01::	1	-	C
1151-account%1:07:01::	1	-	D
1151-account%1:07:01::	1	-	F
1151-account%1:07:01::	1	-	G
1151-account%1:07:01::	1	-	H
1151-account%1:07:01::	1	-	I
1151-account%1:07:01::	1	-	J
1151-account%1:10:00::	3	-	D
1151-account%1:10:00::	3	-	I
1151-account%1:10:00::	4	-	G
1151-account%1:10:00::	4	-	J
1151-account%1:10:00::	5	-	A
1151-account%1:10:00::	5	-	C
1151-account%1:10:00::	5	-	F
1151-account%1:10:00::	5	-	H
1151-account%1:10:02::	1	-	A
1151-account%1:10:02::	1	-	C
1151-account%1:10:02::	1	-	D
1151-account%1:10:02::	1	-	F
1151-account%1:10:02::	1	-	H
1151-account%1:10:02::	1	-	I
1151-account%1:10:02::	2	-	G
1151-account%1:10:02::	2	-	J
1151-account%1:10:03::	3	-	J
1151-account%1:10:03::	4	-	D
1151-account%1:10:03::	4	-	G
1151-account%1:10:03::	5	-	A
1151-account%1:10:03::	5	-	C
1151-account%1:10:03::	5	-	F
1151-account%1:10:03::	5	-	H
1151-account%1:10:03::	5	-	I
1151-account%1:10:04::	1	-	F
1151-account%1:10:04::	3	-	D
1151-account%1:10:04::	4	-	H
1151-account%1:10:04::	4	-	I
1151-account%1:10:04::	4	-	J
1151-account%1:10:04::	5	-	A
1151-account%1:10:04::	5	-	C
1151-account%1:10:04::	5	-	G
1151-account%1:10:05::	1	-	C
1151-account%1:10:05::	1	-	F
1151-account%1:10:05::	2	-	D
1151-account%1:10:05::	2	-	H
1151-account%1:10:05::	3	-	I
1151-account%1:10:05::	4	-	G
1151-account%1:10:05::	5	-	A
1151-account%1:10:05::	5	-	J
1151-account%1:16:00::	1	-	A
1151-account%1:16:00::	1	-	C
1151-account%1:16:00::	1	-	D
1151-account%1:16:00::	1	-	F
1151-account%1:16:00::	1	-	H
1151-account%1:16:00::	1	-	I
1151-account%1:16:00::	3	-	G
1151-account%1:16:00::	3	-	J
1151-account%1:21:02::	1	-	A
1151-account%1:21:02::	1	-	C
1151-account%1:21:02::	1	-	D
1151-account%1:21:02::	1	-	F
1151-account%1:21:02::	1	-	H
1151-account%1:21:02::	1	-	I
1151-account%1:21:02::	2	-	G
1151-account%1:21:02::	2	-	J
1151-account%1:26:00::	1	-	A
1151-account%1:26:00::	1	-	C
1151-account%1:26:00::	1	-	D
1151-account%1:26:00::	1	-	F
1151-account%1:26:00::	1	-	G
1151-account%1:26:00::	1	-	H
1151-account%1:26:00::	1	-	I
1151-account%1:26:00::	1	-	J
1152-account%1:07:00::	1	-	A
1152-account%1:07:00::	1	-	C
1152-account%1:07:00::	1	-	D
1152-account%1:07:00::	1	-	F
1152-account%1:07:00::	1	-	G
1152-account%1:07:00::	1	-	H
1152-account%1:07:00::	1	-	I
1152-account%1:07:00::	2	-	J
1152-account%1:07:01::	1	-	A
1152-account%1:07:01::	1	-	C
1152-account%1:07:01::	1	-	D
1152-account%1:07:01::	1	-	F
1152-account%1:07:01::	1	-	G
1152-account%1:07:01::	1	-	H
1152-account%1:07:01::	1	-	I
1152-account%1:07:01::	1	-	J
1152-account%1:10:00::	1	-	A
1152-account%1:10:00::	1	-	C
1152-account%1:10:00::	1	-	D
1152-account%1:10:00::	1	-	F
1152-account%1:10:00::	1	-	G
1152-account%1:10:00::	1	-	H
1152-account%1:10:00::	1	-	I
1152-account%1:10:00::	1	-	J
1152-account%1:10:02::	1	-	F
1152-account%1:10:02::	1	-	I
