instanceID	dataIDs	label_set	non_label
1-bright%3:00:00::	1,bright%3:00:00::	5,4,3,2,1	-
1-bright%3:00:02::	1,bright%3:00:02::	5,4,3,2,1	-
1-bright%5:00:00:auspicious:00	1,bright%5:00:00:auspicious:00	5,4,3,2,1	-
1-bright%5:00:00:colorful:00	1,bright%5:00:00:colorful:00	5,4,3,2,1	-
1-bright%5:00:00:glorious:00	1,bright%5:00:00:glorious:00	5,4,3,2,1	-
1-bright%5:00:00:happy:00	1,bright%5:00:00:happy:00	5,4,3,2,1	-
1-bright%5:00:00:intelligent:00	1,bright%5:00:00:intelligent:00	5,4,3,2,1	-
1-bright%5:00:00:light:06	1,bright%5:00:00:light:06	5,4,3,2,1	-
1-bright%5:00:00:polished:00	1,bright%5:00:00:polished:00	5,4,3,2,1	-
1-bright%5:00:00:reverberant:00	1,bright%5:00:00:reverberant:00	5,4,3,2,1	-
2-bright%3:00:00::	2,bright%3:00:00::	5,4,3,2,1	-
2-bright%3:00:02::	2,bright%3:00:02::	5,4,3,2,1	-
2-bright%5:00:00:auspicious:00	2,bright%5:00:00:auspicious:00	5,4,3,2,1	-
2-bright%5:00:00:colorful:00	2,bright%5:00:00:colorful:00	5,4,3,2,1	-
2-bright%5:00:00:glorious:00	2,bright%5:00:00:glorious:00	5,4,3,2,1	-
2-bright%5:00:00:happy:00	2,bright%5:00:00:happy:00	5,4,3,2,1	-
2-bright%5:00:00:intelligent:00	2,bright%5:00:00:intelligent:00	5,4,3,2,1	-
2-bright%5:00:00:light:06	2,bright%5:00:00:light:06	5,4,3,2,1	-
2-bright%5:00:00:polished:00	2,bright%5:00:00:polished:00	5,4,3,2,1	-
2-bright%5:00:00:reverberant:00	2,bright%5:00:00:reverberant:00	5,4,3,2,1	-
3-bright%3:00:00::	3,bright%3:00:00::	5,4,3,2,1	-
3-bright%3:00:02::	3,bright%3:00:02::	5,4,3,2,1	-
3-bright%5:00:00:auspicious:00	3,bright%5:00:00:auspicious:00	5,4,3,2,1	-
3-bright%5:00:00:colorful:00	3,bright%5:00:00:colorful:00	5,4,3,2,1	-
3-bright%5:00:00:glorious:00	3,bright%5:00:00:glorious:00	5,4,3,2,1	-
3-bright%5:00:00:happy:00	3,bright%5:00:00:happy:00	5,4,3,2,1	-
3-bright%5:00:00:intelligent:00	3,bright%5:00:00:intelligent:00	5,4,3,2,1	-
3-bright%5:00:00:light:06	3,bright%5:00:00:light:06	5,4,3,2,1	-
3-bright%5:00:00:polished:00	3,bright%5:00:00:polished:00	5,4,3,2,1	-
3-bright%5:00:00:reverberant:00	3,bright%5:00:00:reverberant:00	5,4,3,2,1	-
4-bright%3:00:00::	4,bright%3:00:00::	5,4,3,2,1	-
4-bright%3:00:02::	4,bright%3:00:02::	5,4,3,2,1	-
4-bright%5:00:00:auspicious:00	4,bright%5:00:00:auspicious:00	5,4,3,2,1	-
4-bright%5:00:00:colorful:00	4,bright%5:00:00:colorful:00	5,4,3,2,1	-
4-bright%5:00:00:glorious:00	4,bright%5:00:00:glorious:00	5,4,3,2,1	-
4-bright%5:00:00:happy:00	4,bright%5:00:00:happy:00	5,4,3,2,1	-
4-bright%5:00:00:intelligent:00	4,bright%5:00:00:intelligent:00	5,4,3,2,1	-
4-bright%5:00:00:light:06	4,bright%5:00:00:light:06	5,4,3,2,1	-
4-bright%5:00:00:polished:00	4,bright%5:00:00:polished:00	5,4,3,2,1	-
4-bright%5:00:00:reverberant:00	4,bright%5:00:00:reverberant:00	5,4,3,2,1	-
5-bright%3:00:00::	5,bright%3:00:00::	5,4,3,2,1	-
5-bright%3:00:02::	5,bright%3:00:02::	5,4,3,2,1	-
5-bright%5:00:00:auspicious:00	5,bright%5:00:00:auspicious:00	5,4,3,2,1	-
