instanceID	label	comment	annotator
1-bright%3:00:00::	1	-	A
1-bright%3:00:00::	1	-	C
1-bright%3:00:00::	1	-	D
1-bright%3:00:00::	1	-	F
1-bright%3:00:00::	1	-	G
1-bright%3:00:00::	1	-	H
1-bright%3:00:00::	1	-	I
1-bright%3:00:00::	1	-	J
1-bright%3:00:02::	1	-	A
1-bright%3:00:02::	1	-	C
1-bright%3:00:02::	1	-	D
1-bright%3:00:02::	1	-	F
1-bright%3:00:02::	1	-	G
1-bright%3:00:02::	1	-	H
1-bright%3:00:02::	1	-	I
1-bright%3:00:02::	1	-	J
1-bright%5:00:00:auspicious:00	1	-	C
1-bright%5:00:00:auspicious:00	4	-	A
1-bright%5:00:00:auspicious:00	4	-	D
1-bright%5:00:00:auspicious:00	4	-	F
1-bright%5:00:00:auspicious:00	4	-	G
1-bright%5:00:00:auspicious:00	4	-	H
1-bright%5:00:00:auspicious:00	5	-	I
1-bright%5:00:00:auspicious:00	5	-	J
1-bright%5:00:00:colorful:00	1	-	C
1-bright%5:00:00:colorful:00	1	-	F
1-bright%5:00:00:colorful:00	1	-	H
1-bright%5:00:00:colorful:00	1	-	I
1-bright%5:00:00:colorful:00	2	-	A
1-bright%5:00:00:colorful:00	2	-	D
1-bright%5:00:00:colorful:00	2	-	G
1-bright%5:00:00:colorful:00	2	-	J
1-bright%5:00:00:glorious:00	1	-	A
1-bright%5:00:00:glorious:00	1	-	C
1-bright%5:00:00:glorious:00	2	-	D
1-bright%5:00:00:glorious:00	2	-	G
1-bright%5:00:00:glorious:00	2	-	J
1-bright%5:00:00:glorious:00	3	-	F
1-bright%5:00:00:glorious:00	3	-	H
1-bright%5:00:00:glorious:00	3	-	I
1-bright%5:00:00:happy:00	1	-	C
1-bright%5:00:00:happy:00	1	-	D
1-bright%5:00:00:happy:00	1	-	F
1-bright%5:00:00:happy:00	1	-	I
1-bright%5:00:00:happy:00	2	-	H
1-bright%5:00:00:happy:00	2	-	J
1-bright%5:00:00:happy:00	3	-	G
1-bright%5:00:00:happy:00	4	-	A
1-bright%5:00:00:intelligent:00	1	-	D
1-bright%5:00:00:intelligent:00	5	-	A
1-bright%5:00:00:intelligent:00	5	-	C
1-bright%5:00:00:intelligent:00	5	-	F
1-bright%5:00:00:intelligent:00	5	-	G
1-bright%5:00:00:intelligent:00	5	-	H
1-bright%5:00:00:intelligent:00	5	-	I
1-bright%5:00:00:intelligent:00	5	-	J
1-bright%5:00:00:light:06	1	-	A
1-bright%5:00:00:light:06	1	-	C
1-bright%5:00:00:light:06	1	-	D
1-bright%5:00:00:light:06	1	-	F
1-bright%5:00:00:light:06	1	-	G
1-bright%5:00:00:light:06	1	-	H
1-bright%5:00:00:light:06	1	-	I
1-bright%5:00:00:light:06	1	-	J
1-bright%5:00:00:polished:00	1	-	A
1-bright%5:00:00:polished:00	1	-	C
1-bright%5:00:00:polished:00	1	-	D
1-bright%5:00:00:polished:00	1	-	F
1-bright%5:00:00:polished:00	1	-	G
1-bright%5:00:00:polished:00	1	-	H
1-bright%5:00:00:polished:00	1	-	I
1-bright%5:00:00:polished:00	1	-	J
1-bright%5:00:00:reverberant:00	1	-	C
1-bright%5:00:00:reverberant:00	1	-	F
1-bright%5:00:00:reverberant:00	1	-	H
1-bright%5:00:00:reverberant:00	1	-	I
1-bright%5:00:00:reverberant:00	1	-	J
1-bright%5:00:00:reverberant:00	2	-	D
1-bright%5:00:00:reverberant:00	2	-	G
1-bright%5:00:00:reverberant:00	4	-	A
2-bright%3:00:00::	3	-	H
2-bright%3:00:00::	4	-	G
2-bright%3:00:00::	4	-	I
2-bright%3:00:00::	5	-	A
2-bright%3:00:00::	5	-	C
2-bright%3:00:00::	5	-	D
2-bright%3:00:00::	5	-	F
2-bright%3:00:00::	5	-	J
2-bright%3:00:02::	1	-	C
2-bright%3:00:02::	3	-	G
2-bright%3:00:02::	3	-	I
2-bright%3:00:02::	3	-	J
2-bright%3:00:02::	4	-	D
2-bright%3:00:02::	4	-	F
2-bright%3:00:02::	4	-	H
2-bright%3:00:02::	5	-	A
2-bright%5:00:00:auspicious:00	1	-	A
2-bright%5:00:00:auspicious:00	1	-	C
2-bright%5:00:00:auspicious:00	1	-	D
2-bright%5:00:00:auspicious:00	1	-	F
2-bright%5:00:00:auspicious:00	1	-	G
2-bright%5:00:00:auspicious:00	1	-	H
2-bright%5:00:00:auspicious:00	1	-	I
2-bright%5:00:00:auspicious:00	1	-	J
2-bright%5:00:00:colorful:00	1	-	C
2-bright%5:00:00:colorful:00	2	-	D
2-bright%5:00:00:colorful:00	2	-	I
2-bright%5:00:00:colorful:00	2	-	J
2-bright%5:00:00:colorful:00	3	-	F
2-bright%5:00:00:colorful:00	4	-	A
2-bright%5:00:00:colorful:00	4	-	G
2-bright%5:00:00:colorful:00	5	-	H
