instanceID	dataIDs	label_set	non_label
1211-call%2:29:05::	1211,call%2:29:05::	5,4,3,2,1	-
1211-call%2:31:00::	1211,call%2:31:00::	5,4,3,2,1	-
1211-call%2:31:05::	1211,call%2:31:05::	5,4,3,2,1	-
1211-call%2:31:13::	1211,call%2:31:13::	5,4,3,2,1	-
1211-call%2:32:00::	1211,call%2:32:00::	5,4,3,2,1	-
1211-call%2:32:01::	1211,call%2:32:01::	5,4,3,2,1	-
1211-call%2:32:02::	1211,call%2:32:02::	5,4,3,2,1	-
1211-call%2:32:03::	1211,call%2:32:03::	5,4,3,2,1	-
1211-call%2:32:04::	1211,call%2:32:04::	5,4,3,2,1	-
1211-call%2:32:05::	1211,call%2:32:05::	5,4,3,2,1	-
1211-call%2:32:06::	1211,call%2:32:06::	5,4,3,2,1	-
1211-call%2:32:07::	1211,call%2:32:07::	5,4,3,2,1	-
1211-call%2:32:08::	1211,call%2:32:08::	5,4,3,2,1	-
1211-call%2:32:09::	1211,call%2:32:09::	5,4,3,2,1	-
1211-call%2:32:10::	1211,call%2:32:10::	5,4,3,2,1	-
1211-call%2:32:11::	1211,call%2:32:11::	5,4,3,2,1	-
1211-call%2:32:12::	1211,call%2:32:12::	5,4,3,2,1	-
1211-call%2:32:13::	1211,call%2:32:13::	5,4,3,2,1	-
1211-call%2:32:14::	1211,call%2:32:14::	5,4,3,2,1	-
1211-call%2:32:15::	1211,call%2:32:15::	5,4,3,2,1	-
1211-call%2:38:00::	1211,call%2:38:00::	5,4,3,2,1	-
1211-call%2:40:05::	1211,call%2:40:05::	5,4,3,2,1	-
1211-call%2:40:09::	1211,call%2:40:09::	5,4,3,2,1	-
1211-call%2:41:00::	1211,call%2:41:00::	5,4,3,2,1	-
1211-call%2:41:04::	1211,call%2:41:04::	5,4,3,2,1	-
1211-call%2:41:12::	1211,call%2:41:12::	5,4,3,2,1	-
1211-call%2:41:14::	1211,call%2:41:14::	5,4,3,2,1	-
1211-call%2:42:09::	1211,call%2:42:09::	5,4,3,2,1	-
1212-call%2:29:05::	1212,call%2:29:05::	5,4,3,2,1	-
1212-call%2:31:00::	1212,call%2:31:00::	5,4,3,2,1	-
1212-call%2:31:05::	1212,call%2:31:05::	5,4,3,2,1	-
1212-call%2:31:13::	1212,call%2:31:13::	5,4,3,2,1	-
1212-call%2:32:00::	1212,call%2:32:00::	5,4,3,2,1	-
1212-call%2:32:01::	1212,call%2:32:01::	5,4,3,2,1	-
1212-call%2:32:02::	1212,call%2:32:02::	5,4,3,2,1	-
1212-call%2:32:03::	1212,call%2:32:03::	5,4,3,2,1	-
1212-call%2:32:04::	1212,call%2:32:04::	5,4,3,2,1	-
1212-call%2:32:05::	1212,call%2:32:05::	5,4,3,2,1	-
1212-call%2:32:06::	1212,call%2:32:06::	5,4,3,2,1	-
1212-call%2:32:07::	1212,call%2:32:07::	5,4,3,2,1	-
1212-call%2:32:08::	1212,call%2:32:08::	5,4,3,2,1	-
1212-call%2:32:09::	1212,call%2:32:09::	5,4,3,2,1	-
1212-call%2:32:10::	1212,call%2:32:10::	5,4,3,2,1	-
1212-call%2:32:11::	1212,call%2:32:11::	5,4,3,2,1	-
1212-call%2:32:12::	1212,call%2:32:12::	5,4,3,2,1	-
1212-call%2:32:13::	1212,call%2:32:13::	5,4,3,2,1	-
1212-call%2:32:14::	1212,call%2:32:14::	5,4,3,2,1	-
1212-call%2:32:15::	1212,call%2:32:15::	5,4,3,2,1	-
1212-call%2:38:00::	1212,call%2:38:00::	5,4,3,2,1	-
1212-call%2:40:05::	1212,call%2:40:05::	5,4,3,2,1	-
1212-call%2:40:09::	1212,call%2:40:09::	5,4,3,2,1	-
1212-call%2:41:00::	1212,call%2:41:00::	5,4,3,2,1	-
1212-call%2:41:04::	1212,call%2:41:04::	5,4,3,2,1	-
1212-call%2:41:12::	1212,call%2:41:12::	5,4,3,2,1	-
1212-call%2:41:14::	1212,call%2:41:14::	5,4,3,2,1	-
1212-call%2:42:09::	1212,call%2:42:09::	5,4,3,2,1	-
1213-call%2:29:05::	1213,call%2:29:05::	5,4,3,2,1	-
1213-call%2:31:00::	1213,call%2:31:00::	5,4,3,2,1	-
1213-call%2:31:05::	1213,call%2:31:05::	5,4,3,2,1	-
1213-call%2:31:13::	1213,call%2:31:13::	5,4,3,2,1	-
1213-call%2:32:00::	1213,call%2:32:00::	5,4,3,2,1	-
