instanceID	label	comment	annotator
1211-call%2:29:05::	1	-	A
1211-call%2:29:05::	1	-	C
1211-call%2:29:05::	1	-	D
1211-call%2:29:05::	1	-	F
1211-call%2:29:05::	1	-	G
1211-call%2:29:05::	1	-	H
1211-call%2:29:05::	1	-	I
1211-call%2:29:05::	1	-	J
1211-call%2:31:00::	1	-	A
1211-call%2:31:00::	1	-	C
1211-call%2:31:00::	1	-	D
1211-call%2:31:00::	1	-	F
1211-call%2:31:00::	1	-	G
1211-call%2:31:00::	1	-	H
1211-call%2:31:00::	1	-	I
1211-call%2:31:00::	1	-	J
1211-call%2:31:05::	1	-	C
1211-call%2:31:05::	1	-	G
1211-call%2:31:05::	1	-	I
1211-call%2:31:05::	2	-	A
1211-call%2:31:05::	2	-	D
1211-call%2:31:05::	2	-	H
1211-call%2:31:05::	3	-	F
1211-call%2:31:05::	3	-	J
1211-call%2:31:13::	1	-	A
1211-call%2:31:13::	1	-	C
1211-call%2:31:13::	1	-	D
1211-call%2:31:13::	1	-	F
1211-call%2:31:13::	1	-	G
1211-call%2:31:13::	1	-	I
1211-call%2:31:13::	1	-	J
1211-call%2:31:13::	2	-	H
1211-call%2:32:00::	1	-	C
1211-call%2:32:00::	3	-	D
1211-call%2:32:00::	3	-	I
1211-call%2:32:00::	3	-	J
1211-call%2:32:00::	4	-	F
1211-call%2:32:00::	4	-	G
1211-call%2:32:00::	5	-	A
1211-call%2:32:00::	5	-	H
1211-call%2:32:01::	1	-	A
1211-call%2:32:01::	1	-	C
1211-call%2:32:01::	1	-	D
1211-call%2:32:01::	1	-	F
1211-call%2:32:01::	1	-	G
1211-call%2:32:01::	1	-	H
1211-call%2:32:01::	1	-	I
1211-call%2:32:01::	1	-	J
1211-call%2:32:02::	4	-	H
1211-call%2:32:02::	5	-	A
1211-call%2:32:02::	5	-	C
1211-call%2:32:02::	5	-	D
1211-call%2:32:02::	5	-	F
1211-call%2:32:02::	5	-	G
1211-call%2:32:02::	5	-	I
1211-call%2:32:02::	5	-	J
1211-call%2:32:03::	1	-	A
1211-call%2:32:03::	1	-	C
1211-call%2:32:03::	1	-	D
1211-call%2:32:03::	1	-	F
1211-call%2:32:03::	1	-	G
1211-call%2:32:03::	1	-	H
1211-call%2:32:03::	1	-	I
1211-call%2:32:03::	1	-	J
1211-call%2:32:04::	1	-	A
1211-call%2:32:04::	1	-	C
1211-call%2:32:04::	1	-	D
1211-call%2:32:04::	1	-	F
1211-call%2:32:04::	1	-	G
1211-call%2:32:04::	1	-	H
1211-call%2:32:04::	1	-	I
1211-call%2:32:04::	1	-	J
1211-call%2:32:05::	1	-	A
1211-call%2:32:05::	1	-	C
1211-call%2:32:05::	1	-	D
1211-call%2:32:05::	1	-	F
1211-call%2:32:05::	1	-	G
1211-call%2:32:05::	1	-	H
1211-call%2:32:05::	1	-	I
1211-call%2:32:05::	2	-	J
1211-call%2:32:06::	1	-	A
1211-call%2:32:06::	1	-	C
1211-call%2:32:06::	1	-	F
1211-call%2:32:06::	1	-	G
1211-call%2:32:06::	1	-	H
1211-call%2:32:06::	1	-	I
1211-call%2:32:06::	2	-	D
1211-call%2:32:06::	3	-	J
1211-call%2:32:07::	1	-	A
1211-call%2:32:07::	1	-	C
1211-call%2:32:07::	1	-	D
1211-call%2:32:07::	1	-	F
1211-call%2:32:07::	1	-	G
1211-call%2:32:07::	1	-	H
1211-call%2:32:07::	1	-	I
1211-call%2:32:07::	2	-	J
1211-call%2:32:08::	1	-	A
1211-call%2:32:08::	1	-	C
1211-call%2:32:08::	1	-	D
1211-call%2:32:08::	1	-	F
1211-call%2:32:08::	1	-	H
1211-call%2:32:08::	1	-	I
