instanceID	label	comment	annotator
391-coach%1:06:00::	4	-	I
391-coach%1:06:00::	5	-	A
391-coach%1:06:00::	5	-	C
391-coach%1:06:00::	5	-	D
391-coach%1:06:00::	5	-	F
391-coach%1:06:00::	5	-	G
391-coach%1:06:00::	5	-	H
391-coach%1:06:00::	5	-	J
391-coach%1:06:01::	1	-	D
391-coach%1:06:01::	1	-	F
391-coach%1:06:01::	1	-	G
391-coach%1:06:01::	2	-	J
391-coach%1:06:01::	3	-	C
391-coach%1:06:01::	3	-	H
391-coach%1:06:01::	3	-	I
391-coach%1:06:01::	5	-	A
391-coach%1:06:02::	1	-	C
391-coach%1:06:02::	1	-	G
391-coach%1:06:02::	2	-	D
391-coach%1:06:02::	2	-	J
391-coach%1:06:02::	3	-	F
391-coach%1:06:02::	3	-	H
391-coach%1:06:02::	3	-	I
391-coach%1:06:02::	5	-	A
391-coach%1:18:00::	1	-	A
391-coach%1:18:00::	1	-	C
391-coach%1:18:00::	1	-	D
391-coach%1:18:00::	1	-	F
391-coach%1:18:00::	1	-	G
391-coach%1:18:00::	1	-	H
391-coach%1:18:00::	1	-	I
391-coach%1:18:00::	1	-	J
391-coach%1:18:01::	1	-	A
391-coach%1:18:01::	1	-	C
391-coach%1:18:01::	1	-	D
391-coach%1:18:01::	1	-	F
391-coach%1:18:01::	1	-	G
391-coach%1:18:01::	1	-	H
391-coach%1:18:01::	1	-	I
391-coach%1:18:01::	1	-	J
392-coach%1:06:00::	1	-	A
392-coach%1:06:00::	1	-	C
392-coach%1:06:00::	1	-	D
392-coach%1:06:00::	1	-	F
392-coach%1:06:00::	1	-	G
392-coach%1:06:00::	1	-	H
392-coach%1:06:00::	1	-	I
392-coach%1:06:00::	1	-	J
392-coach%1:06:01::	1	-	A
392-coach%1:06:01::	1	-	C
392-coach%1:06:01::	1	-	D
392-coach%1:06:01::	1	-	F
392-coach%1:06:01::	1	-	G
392-coach%1:06:01::	1	-	H
392-coach%1:06:01::	1	-	I
392-coach%1:06:01::	1	-	J
392-coach%1:06:02::	1	-	A
