instanceID	label	comment	annotator
901-dismiss%2:30:09::	1	-	A
901-dismiss%2:30:09::	1	-	C
901-dismiss%2:30:09::	1	-	D
901-dismiss%2:30:09::	1	-	F
901-dismiss%2:30:09::	1	-	G
901-dismiss%2:30:09::	1	-	I
901-dismiss%2:30:09::	2	-	J
901-dismiss%2:30:09::	3	-	H
901-dismiss%2:32:00::	1	-	C
901-dismiss%2:32:00::	1	-	F
901-dismiss%2:32:00::	1	-	I
901-dismiss%2:32:00::	2	-	D
901-dismiss%2:32:00::	2	-	G
901-dismiss%2:32:00::	2	-	H
901-dismiss%2:32:00::	2	-	J
901-dismiss%2:32:00::	4	-	A
901-dismiss%2:32:01::	1	-	C
901-dismiss%2:32:01::	1	-	F
901-dismiss%2:32:01::	3	-	G
901-dismiss%2:32:01::	3	-	H
901-dismiss%2:32:01::	3	-	I
901-dismiss%2:32:01::	3	-	J
901-dismiss%2:32:01::	4	-	A
901-dismiss%2:32:01::	4	-	D
901-dismiss%2:32:02::	1	-	C
901-dismiss%2:32:02::	1	-	D
901-dismiss%2:32:02::	1	-	F
901-dismiss%2:32:02::	1	-	I
901-dismiss%2:32:02::	3	-	A
901-dismiss%2:32:02::	3	-	G
901-dismiss%2:32:02::	3	-	H
901-dismiss%2:32:02::	4	-	J
901-dismiss%2:41:00::	4	-	D
901-dismiss%2:41:00::	5	-	A
901-dismiss%2:41:00::	5	-	C
901-dismiss%2:41:00::	5	-	F
901-dismiss%2:41:00::	5	-	G
901-dismiss%2:41:00::	5	-	H
901-dismiss%2:41:00::	5	-	I
901-dismiss%2:41:00::	5	-	J
901-dismiss%2:41:01::	3	-	D
901-dismiss%2:41:01::	3	-	G
901-dismiss%2:41:01::	3	-	I
901-dismiss%2:41:01::	4	-	F
901-dismiss%2:41:01::	4	-	H
901-dismiss%2:41:01::	4	-	J
901-dismiss%2:41:01::	5	-	A
901-dismiss%2:41:01::	5	-	C
902-dismiss%2:30:09::	1	-	A
902-dismiss%2:30:09::	1	-	C
902-dismiss%2:30:09::	1	-	D
902-dismiss%2:30:09::	1	-	F
902-dismiss%2:30:09::	1	-	H
902-dismiss%2:30:09::	1	-	I
902-dismiss%2:30:09::	4	-	G
902-dismiss%2:30:09::	4	-	J
902-dismiss%2:32:00::	5	-	A
902-dismiss%2:32:00::	5	-	C
902-dismiss%2:32:00::	5	-	D
902-dismiss%2:32:00::	5	-	F
902-dismiss%2:32:00::	5	-	G
902-dismiss%2:32:00::	5	-	H
902-dismiss%2:32:00::	5	-	I
902-dismiss%2:32:00::	5	-	J
902-dismiss%2:32:01::	1	-	C
902-dismiss%2:32:01::	1	-	D
902-dismiss%2:32:01::	1	-	F
902-dismiss%2:32:01::	1	-	G
902-dismiss%2:32:01::	1	-	H
902-dismiss%2:32:01::	1	-	I
902-dismiss%2:32:01::	2	-	A
902-dismiss%2:32:01::	2	-	J
902-dismiss%2:32:02::	1	-	C
902-dismiss%2:32:02::	1	-	F
902-dismiss%2:32:02::	1	-	I
902-dismiss%2:32:02::	2	-	D
902-dismiss%2:32:02::	2	-	H
902-dismiss%2:32:02::	3	-	G
902-dismiss%2:32:02::	3	-	J
902-dismiss%2:32:02::	4	-	A
902-dismiss%2:41:00::	1	-	C
902-dismiss%2:41:00::	1	-	D
902-dismiss%2:41:00::	1	-	F
902-dismiss%2:41:00::	1	-	H
902-dismiss%2:41:00::	1	-	I
902-dismiss%2:41:00::	1	-	J
902-dismiss%2:41:00::	2	-	G
902-dismiss%2:41:00::	4	-	A
902-dismiss%2:41:01::	1	-	C
902-dismiss%2:41:01::	1	-	D
902-dismiss%2:41:01::	1	-	F
902-dismiss%2:41:01::	1	-	G
902-dismiss%2:41:01::	1	-	I
902-dismiss%2:41:01::	1	-	J
902-dismiss%2:41:01::	2	-	A
902-dismiss%2:41:01::	2	-	H
903-dismiss%2:30:09::	1	-	A
903-dismiss%2:30:09::	1	-	C
903-dismiss%2:30:09::	1	-	D
903-dismiss%2:30:09::	1	-	F
903-dismiss%2:30:09::	1	-	G
903-dismiss%2:30:09::	1	-	H
903-dismiss%2:30:09::	1	-	I
903-dismiss%2:30:09::	2	-	J
903-dismiss%2:32:00::	1	-	A
903-dismiss%2:32:00::	1	-	C
903-dismiss%2:32:00::	1	-	D
903-dismiss%2:32:00::	1	-	F
903-dismiss%2:32:00::	1	-	G
903-dismiss%2:32:00::	1	-	H
903-dismiss%2:32:00::	1	-	I
903-dismiss%2:32:00::	3	-	J
903-dismiss%2:32:01::	4	-	D
903-dismiss%2:32:01::	4	-	G
903-dismiss%2:32:01::	5	-	A
903-dismiss%2:32:01::	5	-	C
903-dismiss%2:32:01::	5	-	F
903-dismiss%2:32:01::	5	-	H
903-dismiss%2:32:01::	5	-	I
903-dismiss%2:32:01::	5	-	J
903-dismiss%2:32:02::	1	-	A
903-dismiss%2:32:02::	1	-	C
903-dismiss%2:32:02::	1	-	D
903-dismiss%2:32:02::	1	-	F
903-dismiss%2:32:02::	1	-	I
903-dismiss%2:32:02::	2	-	H
903-dismiss%2:32:02::	3	-	G
903-dismiss%2:32:02::	3	-	J
903-dismiss%2:41:00::	1	-	A
903-dismiss%2:41:00::	1	-	C
903-dismiss%2:41:00::	1	-	D
903-dismiss%2:41:00::	1	-	F
903-dismiss%2:41:00::	1	-	H
903-dismiss%2:41:00::	1	-	I
903-dismiss%2:41:00::	2	-	J
903-dismiss%2:41:00::	5	-	G
903-dismiss%2:41:01::	1	-	A
903-dismiss%2:41:01::	1	-	C
903-dismiss%2:41:01::	1	-	D
903-dismiss%2:41:01::	1	-	F
903-dismiss%2:41:01::	1	-	H
903-dismiss%2:41:01::	2	-	J
903-dismiss%2:41:01::	3	-	G
903-dismiss%2:41:01::	4	-	I
904-dismiss%2:30:09::	1	-	C
904-dismiss%2:30:09::	1	-	D
904-dismiss%2:30:09::	1	-	F
904-dismiss%2:30:09::	1	-	G
904-dismiss%2:30:09::	1	-	I
904-dismiss%2:30:09::	2	-	J
904-dismiss%2:30:09::	3	-	H
904-dismiss%2:30:09::	4	-	A
904-dismiss%2:32:00::	1	-	C
904-dismiss%2:32:00::	1	-	D
904-dismiss%2:32:00::	1	-	F
904-dismiss%2:32:00::	1	-	G
904-dismiss%2:32:00::	1	-	I
904-dismiss%2:32:00::	2	-	H
904-dismiss%2:32:00::	2	-	J
904-dismiss%2:32:00::	5	-	A
904-dismiss%2:32:01::	1	-	C
904-dismiss%2:32:01::	1	-	F
904-dismiss%2:32:01::	2	-	D
904-dismiss%2:32:01::	3	-	G
904-dismiss%2:32:01::	3	-	H
904-dismiss%2:32:01::	3	-	I
904-dismiss%2:32:01::	3	-	J
904-dismiss%2:32:01::	4	-	A
904-dismiss%2:32:02::	1	-	C
904-dismiss%2:32:02::	1	-	D
904-dismiss%2:32:02::	1	-	F
904-dismiss%2:32:02::	1	-	I
904-dismiss%2:32:02::	2	-	G
904-dismiss%2:32:02::	3	-	H
904-dismiss%2:32:02::	3	-	J
904-dismiss%2:32:02::	4	-	A
904-dismiss%2:41:00::	3	-	D
904-dismiss%2:41:00::	5	-	A
904-dismiss%2:41:00::	5	-	C
904-dismiss%2:41:00::	5	-	F
904-dismiss%2:41:00::	5	-	G
904-dismiss%2:41:00::	5	-	H
904-dismiss%2:41:00::	5	-	I
904-dismiss%2:41:00::	5	-	J
904-dismiss%2:41:01::	3	-	J
904-dismiss%2:41:01::	4	-	F
904-dismiss%2:41:01::	4	-	H
904-dismiss%2:41:01::	4	-	I
904-dismiss%2:41:01::	5	-	A
904-dismiss%2:41:01::	5	-	C
904-dismiss%2:41:01::	5	-	D
904-dismiss%2:41:01::	5	-	G
905-dismiss%2:30:09::	1	-	A
905-dismiss%2:30:09::	1	-	C
905-dismiss%2:30:09::	1	-	D
