instanceID	dataIDs	label_set	non_label
1851-fire%2:30:00::	1851,fire%2:30:00::	5,4,3,2,1	-
1851-fire%2:30:01::	1851,fire%2:30:01::	5,4,3,2,1	-
1851-fire%2:33:00::	1851,fire%2:33:00::	5,4,3,2,1	-
1851-fire%2:33:01::	1851,fire%2:33:01::	5,4,3,2,1	-
1851-fire%2:33:02::	1851,fire%2:33:02::	5,4,3,2,1	-
1851-fire%2:37:00::	1851,fire%2:37:00::	5,4,3,2,1	-
1851-fire%2:38:02::	1851,fire%2:38:02::	5,4,3,2,1	-
1851-fire%2:40:00::	1851,fire%2:40:00::	5,4,3,2,1	-
1851-fire%2:41:00::	1851,fire%2:41:00::	5,4,3,2,1	-
1852-fire%2:30:00::	1852,fire%2:30:00::	5,4,3,2,1	-
1852-fire%2:30:01::	1852,fire%2:30:01::	5,4,3,2,1	-
1852-fire%2:33:00::	1852,fire%2:33:00::	5,4,3,2,1	-
1852-fire%2:33:01::	1852,fire%2:33:01::	5,4,3,2,1	-
1852-fire%2:33:02::	1852,fire%2:33:02::	5,4,3,2,1	-
1852-fire%2:37:00::	1852,fire%2:37:00::	5,4,3,2,1	-
1852-fire%2:38:02::	1852,fire%2:38:02::	5,4,3,2,1	-
1852-fire%2:40:00::	1852,fire%2:40:00::	5,4,3,2,1	-
1852-fire%2:41:00::	1852,fire%2:41:00::	5,4,3,2,1	-
1853-fire%2:30:00::	1853,fire%2:30:00::	5,4,3,2,1	-
1853-fire%2:30:01::	1853,fire%2:30:01::	5,4,3,2,1	-
1853-fire%2:33:00::	1853,fire%2:33:00::	5,4,3,2,1	-
1853-fire%2:33:01::	1853,fire%2:33:01::	5,4,3,2,1	-
1853-fire%2:33:02::	1853,fire%2:33:02::	5,4,3,2,1	-
1853-fire%2:37:00::	1853,fire%2:37:00::	5,4,3,2,1	-
1853-fire%2:38:02::	1853,fire%2:38:02::	5,4,3,2,1	-
1853-fire%2:40:00::	1853,fire%2:40:00::	5,4,3,2,1	-
1853-fire%2:41:00::	1853,fire%2:41:00::	5,4,3,2,1	-
1854-fire%2:30:00::	1854,fire%2:30:00::	5,4,3,2,1	-
1854-fire%2:30:01::	1854,fire%2:30:01::	5,4,3,2,1	-
1854-fire%2:33:00::	1854,fire%2:33:00::	5,4,3,2,1	-
1854-fire%2:33:01::	1854,fire%2:33:01::	5,4,3,2,1	-
1854-fire%2:33:02::	1854,fire%2:33:02::	5,4,3,2,1	-
1854-fire%2:37:00::	1854,fire%2:37:00::	5,4,3,2,1	-
1854-fire%2:38:02::	1854,fire%2:38:02::	5,4,3,2,1	-
1854-fire%2:40:00::	1854,fire%2:40:00::	5,4,3,2,1	-
1854-fire%2:41:00::	1854,fire%2:41:00::	5,4,3,2,1	-
1855-fire%2:30:00::	1855,fire%2:30:00::	5,4,3,2,1	-
1855-fire%2:30:01::	1855,fire%2:30:01::	5,4,3,2,1	-
1855-fire%2:33:00::	1855,fire%2:33:00::	5,4,3,2,1	-
1855-fire%2:33:01::	1855,fire%2:33:01::	5,4,3,2,1	-
1855-fire%2:33:02::	1855,fire%2:33:02::	5,4,3,2,1	-
1855-fire%2:37:00::	1855,fire%2:37:00::	5,4,3,2,1	-
1855-fire%2:38:02::	1855,fire%2:38:02::	5,4,3,2,1	-
1855-fire%2:40:00::	1855,fire%2:40:00::	5,4,3,2,1	-
1855-fire%2:41:00::	1855,fire%2:41:00::	5,4,3,2,1	-
1856-fire%2:30:00::	1856,fire%2:30:00::	5,4,3,2,1	-
1856-fire%2:30:01::	1856,fire%2:30:01::	5,4,3,2,1	-
1856-fire%2:33:00::	1856,fire%2:33:00::	5,4,3,2,1	-
1856-fire%2:33:01::	1856,fire%2:33:01::	5,4,3,2,1	-
1856-fire%2:33:02::	1856,fire%2:33:02::	5,4,3,2,1	-
1856-fire%2:37:00::	1856,fire%2:37:00::	5,4,3,2,1	-
1856-fire%2:38:02::	1856,fire%2:38:02::	5,4,3,2,1	-
1856-fire%2:40:00::	1856,fire%2:40:00::	5,4,3,2,1	-
1856-fire%2:41:00::	1856,fire%2:41:00::	5,4,3,2,1	-
1857-fire%2:30:00::	1857,fire%2:30:00::	5,4,3,2,1	-
1857-fire%2:30:01::	1857,fire%2:30:01::	5,4,3,2,1	-
1857-fire%2:33:00::	1857,fire%2:33:00::	5,4,3,2,1	-
1857-fire%2:33:01::	1857,fire%2:33:01::	5,4,3,2,1	-
1857-fire%2:33:02::	1857,fire%2:33:02::	5,4,3,2,1	-
1857-fire%2:37:00::	1857,fire%2:37:00::	5,4,3,2,1	-
1857-fire%2:38:02::	1857,fire%2:38:02::	5,4,3,2,1	-
1857-fire%2:40:00::	1857,fire%2:40:00::	5,4,3,2,1	-
