instanceID	label	comment	annotator
1851-fire%2:30:00::	1	-	A
1851-fire%2:30:00::	1	-	C
1851-fire%2:30:00::	1	-	D
1851-fire%2:30:00::	1	-	F
1851-fire%2:30:00::	1	-	G
1851-fire%2:30:00::	1	-	H
1851-fire%2:30:00::	1	-	I
1851-fire%2:30:00::	1	-	J
1851-fire%2:30:01::	1	-	C
1851-fire%2:30:01::	1	-	D
1851-fire%2:30:01::	1	-	F
1851-fire%2:30:01::	1	-	G
1851-fire%2:30:01::	1	-	H
1851-fire%2:30:01::	1	-	I
1851-fire%2:30:01::	2	-	J
1851-fire%2:30:01::	5	-	A
1851-fire%2:33:00::	3	-	D
1851-fire%2:33:00::	4	-	C
1851-fire%2:33:00::	4	-	G
1851-fire%2:33:00::	4	-	J
1851-fire%2:33:00::	5	-	A
1851-fire%2:33:00::	5	-	F
1851-fire%2:33:00::	5	-	H
1851-fire%2:33:00::	5	-	I
1851-fire%2:33:01::	1	-	G
1851-fire%2:33:01::	3	-	I
1851-fire%2:33:01::	5	-	A
1851-fire%2:33:01::	5	-	C
1851-fire%2:33:01::	5	-	D
1851-fire%2:33:01::	5	-	F
1851-fire%2:33:01::	5	-	H
1851-fire%2:33:01::	5	-	J
1851-fire%2:33:02::	2	-	D
1851-fire%2:33:02::	2	-	I
1851-fire%2:33:02::	5	-	A
1851-fire%2:33:02::	5	-	C
1851-fire%2:33:02::	5	-	F
1851-fire%2:33:02::	5	-	G
1851-fire%2:33:02::	5	-	H
1851-fire%2:33:02::	5	-	J
1851-fire%2:37:00::	1	-	A
1851-fire%2:37:00::	1	-	C
1851-fire%2:37:00::	1	-	D
1851-fire%2:37:00::	1	-	F
1851-fire%2:37:00::	1	-	G
1851-fire%2:37:00::	1	-	H
1851-fire%2:37:00::	1	-	I
1851-fire%2:37:00::	2	-	J
1851-fire%2:38:02::	1	-	A
1851-fire%2:38:02::	1	-	C
1851-fire%2:38:02::	1	-	D
1851-fire%2:38:02::	1	-	F
1851-fire%2:38:02::	1	-	G
1851-fire%2:38:02::	1	-	I
1851-fire%2:38:02::	1	-	J
1851-fire%2:38:02::	2	-	H
1851-fire%2:40:00::	1	-	A
1851-fire%2:40:00::	1	-	C
1851-fire%2:40:00::	1	-	D
1851-fire%2:40:00::	1	-	F
1851-fire%2:40:00::	1	-	G
1851-fire%2:40:00::	1	-	H
1851-fire%2:40:00::	1	-	I
1851-fire%2:40:00::	1	-	J
1851-fire%2:41:00::	1	-	A
1851-fire%2:41:00::	1	-	C
1851-fire%2:41:00::	1	-	D
1851-fire%2:41:00::	1	-	F
1851-fire%2:41:00::	1	-	G
1851-fire%2:41:00::	1	-	H
1851-fire%2:41:00::	1	-	I
1851-fire%2:41:00::	1	-	J
1852-fire%2:30:00::	1	-	A
1852-fire%2:30:00::	1	-	C
1852-fire%2:30:00::	1	-	D
1852-fire%2:30:00::	1	-	F
1852-fire%2:30:00::	1	-	G
1852-fire%2:30:00::	1	-	H
1852-fire%2:30:00::	1	-	I
1852-fire%2:30:00::	1	-	J
1852-fire%2:30:01::	1	-	A
1852-fire%2:30:01::	1	-	C
1852-fire%2:30:01::	1	-	D
1852-fire%2:30:01::	1	-	F
1852-fire%2:30:01::	1	-	H
1852-fire%2:30:01::	1	-	I
1852-fire%2:30:01::	2	-	G
1852-fire%2:30:01::	2	-	J
1852-fire%2:33:00::	4	-	C
1852-fire%2:33:00::	4	-	D
1852-fire%2:33:00::	5	-	A
1852-fire%2:33:00::	5	-	F
1852-fire%2:33:00::	5	-	G
1852-fire%2:33:00::	5	-	H
1852-fire%2:33:00::	5	-	I
1852-fire%2:33:00::	5	-	J
1852-fire%2:33:01::	4	-	I
1852-fire%2:33:01::	5	-	A
1852-fire%2:33:01::	5	-	C
1852-fire%2:33:01::	5	-	D
1852-fire%2:33:01::	5	-	F
1852-fire%2:33:01::	5	-	G
1852-fire%2:33:01::	5	-	H
1852-fire%2:33:01::	5	-	J
1852-fire%2:33:02::	3	-	C
1852-fire%2:33:02::	4	-	D
1852-fire%2:33:02::	4	-	G
1852-fire%2:33:02::	4	-	I
1852-fire%2:33:02::	4	-	J
1852-fire%2:33:02::	5	-	A
1852-fire%2:33:02::	5	-	F
1852-fire%2:33:02::	5	-	H
1852-fire%2:37:00::	1	-	A
1852-fire%2:37:00::	1	-	C
1852-fire%2:37:00::	1	-	D
1852-fire%2:37:00::	1	-	F
1852-fire%2:37:00::	1	-	G
1852-fire%2:37:00::	1	-	H
1852-fire%2:37:00::	1	-	I
1852-fire%2:37:00::	2	-	J
1852-fire%2:38:02::	1	-	A
1852-fire%2:38:02::	1	-	C
1852-fire%2:38:02::	1	-	D
1852-fire%2:38:02::	1	-	F
1852-fire%2:38:02::	1	-	G
1852-fire%2:38:02::	1	-	I
1852-fire%2:38:02::	1	-	J
1852-fire%2:38:02::	2	-	H
1852-fire%2:40:00::	1	-	A
1852-fire%2:40:00::	1	-	C
1852-fire%2:40:00::	1	-	D
1852-fire%2:40:00::	1	-	F
1852-fire%2:40:00::	1	-	G
1852-fire%2:40:00::	1	-	H
1852-fire%2:40:00::	1	-	I
1852-fire%2:40:00::	1	-	J
1852-fire%2:41:00::	1	-	A
1852-fire%2:41:00::	1	-	C
1852-fire%2:41:00::	1	-	D
1852-fire%2:41:00::	1	-	F
1852-fire%2:41:00::	1	-	G
1852-fire%2:41:00::	1	-	H
1852-fire%2:41:00::	1	-	I
1852-fire%2:41:00::	1	-	J
1853-fire%2:30:00::	1	-	A
1853-fire%2:30:00::	1	-	C
1853-fire%2:30:00::	1	-	D
1853-fire%2:30:00::	1	-	F
1853-fire%2:30:00::	1	-	G
1853-fire%2:30:00::	1	-	H
1853-fire%2:30:00::	1	-	I
1853-fire%2:30:00::	1	-	J
1853-fire%2:30:01::	1	-	A
1853-fire%2:30:01::	1	-	C
1853-fire%2:30:01::	1	-	D
1853-fire%2:30:01::	1	-	F
1853-fire%2:30:01::	1	-	G
1853-fire%2:30:01::	1	-	H
1853-fire%2:30:01::	1	-	I
1853-fire%2:30:01::	2	-	J
1853-fire%2:33:00::	1	-	A
1853-fire%2:33:00::	1	-	C
1853-fire%2:33:00::	1	-	D
1853-fire%2:33:00::	1	-	F
1853-fire%2:33:00::	1	-	G
1853-fire%2:33:00::	1	-	H
1853-fire%2:33:00::	1	-	I
1853-fire%2:33:00::	1	-	J
1853-fire%2:33:01::	1	-	A
1853-fire%2:33:01::	1	-	C
1853-fire%2:33:01::	1	-	D
1853-fire%2:33:01::	1	-	F
1853-fire%2:33:01::	1	-	G
1853-fire%2:33:01::	1	-	H
1853-fire%2:33:01::	1	-	I
1853-fire%2:33:01::	1	-	J
1853-fire%2:33:02::	1	-	A
