instanceID	dataIDs	label_set	non_label
81-fix%2:29:00::	81,fix%2:29:00::	5,4,3,2,1	-
81-fix%2:30:00::	81,fix%2:30:00::	5,4,3,2,1	-
81-fix%2:30:01::	81,fix%2:30:01::	5,4,3,2,1	-
81-fix%2:30:02::	81,fix%2:30:02::	5,4,3,2,1	-
81-fix%2:30:03::	81,fix%2:30:03::	5,4,3,2,1	-
81-fix%2:32:03::	81,fix%2:32:03::	5,4,3,2,1	-
81-fix%2:33:00::	81,fix%2:33:00::	5,4,3,2,1	-
81-fix%2:35:00::	81,fix%2:35:00::	5,4,3,2,1	-
81-fix%2:35:01::	81,fix%2:35:01::	5,4,3,2,1	-
81-fix%2:36:00::	81,fix%2:36:00::	5,4,3,2,1	-
81-fix%2:36:01::	81,fix%2:36:01::	5,4,3,2,1	-
81-fix%2:41:04::	81,fix%2:41:04::	5,4,3,2,1	-
82-fix%2:29:00::	82,fix%2:29:00::	5,4,3,2,1	-
82-fix%2:30:00::	82,fix%2:30:00::	5,4,3,2,1	-
82-fix%2:30:01::	82,fix%2:30:01::	5,4,3,2,1	-
82-fix%2:30:02::	82,fix%2:30:02::	5,4,3,2,1	-
82-fix%2:30:03::	82,fix%2:30:03::	5,4,3,2,1	-
82-fix%2:32:03::	82,fix%2:32:03::	5,4,3,2,1	-
82-fix%2:33:00::	82,fix%2:33:00::	5,4,3,2,1	-
82-fix%2:35:00::	82,fix%2:35:00::	5,4,3,2,1	-
82-fix%2:35:01::	82,fix%2:35:01::	5,4,3,2,1	-
82-fix%2:36:00::	82,fix%2:36:00::	5,4,3,2,1	-
82-fix%2:36:01::	82,fix%2:36:01::	5,4,3,2,1	-
82-fix%2:41:04::	82,fix%2:41:04::	5,4,3,2,1	-
83-fix%2:29:00::	83,fix%2:29:00::	5,4,3,2,1	-
83-fix%2:30:00::	83,fix%2:30:00::	5,4,3,2,1	-
83-fix%2:30:01::	83,fix%2:30:01::	5,4,3,2,1	-
83-fix%2:30:02::	83,fix%2:30:02::	5,4,3,2,1	-
83-fix%2:30:03::	83,fix%2:30:03::	5,4,3,2,1	-
83-fix%2:32:03::	83,fix%2:32:03::	5,4,3,2,1	-
83-fix%2:33:00::	83,fix%2:33:00::	5,4,3,2,1	-
83-fix%2:35:00::	83,fix%2:35:00::	5,4,3,2,1	-
