instanceID	label	comment	annotator
81-fix%2:29:00::	1	-	A
81-fix%2:29:00::	1	-	C
81-fix%2:29:00::	1	-	F
81-fix%2:29:00::	1	-	G
81-fix%2:29:00::	1	-	H
81-fix%2:29:00::	1	-	I
81-fix%2:29:00::	1	-	J
81-fix%2:29:00::	4	-	D
81-fix%2:30:00::	1	-	A
81-fix%2:30:00::	1	-	C
81-fix%2:30:00::	1	-	D
81-fix%2:30:00::	1	-	F
81-fix%2:30:00::	1	-	G
81-fix%2:30:00::	1	-	H
81-fix%2:30:00::	1	-	I
81-fix%2:30:00::	2	-	J
81-fix%2:30:01::	2	-	D
81-fix%2:30:01::	4	-	I
81-fix%2:30:01::	5	-	A
81-fix%2:30:01::	5	-	C
81-fix%2:30:01::	5	-	F
81-fix%2:30:01::	5	-	G
81-fix%2:30:01::	5	-	H
81-fix%2:30:01::	5	-	J
81-fix%2:30:02::	1	-	A
81-fix%2:30:02::	1	-	C
81-fix%2:30:02::	1	-	D
81-fix%2:30:02::	1	-	F
81-fix%2:30:02::	1	-	G
81-fix%2:30:02::	1	-	H
81-fix%2:30:02::	1	-	I
81-fix%2:30:02::	1	-	J
81-fix%2:30:03::	1	-	C
81-fix%2:30:03::	1	-	D
81-fix%2:30:03::	1	-	F
81-fix%2:30:03::	1	-	G
81-fix%2:30:03::	1	-	H
81-fix%2:30:03::	1	-	I
81-fix%2:30:03::	2	-	A
81-fix%2:30:03::	2	-	J
81-fix%2:32:03::	1	-	A
81-fix%2:32:03::	1	-	C
81-fix%2:32:03::	1	-	D
81-fix%2:32:03::	1	-	F
81-fix%2:32:03::	1	-	G
81-fix%2:32:03::	1	-	H
81-fix%2:32:03::	1	-	I
81-fix%2:32:03::	1	-	J
81-fix%2:33:00::	1	-	A
81-fix%2:33:00::	1	-	C
81-fix%2:33:00::	1	-	D
81-fix%2:33:00::	1	-	F
81-fix%2:33:00::	1	-	G
81-fix%2:33:00::	1	-	I
81-fix%2:33:00::	1	-	J
81-fix%2:33:00::	2	-	H
81-fix%2:35:00::	1	-	A
81-fix%2:35:00::	1	-	C
81-fix%2:35:00::	1	-	D
81-fix%2:35:00::	1	-	F
81-fix%2:35:00::	1	-	G
81-fix%2:35:00::	1	-	H
81-fix%2:35:00::	1	-	I
81-fix%2:35:00::	2	-	J
81-fix%2:35:01::	1	-	A
81-fix%2:35:01::	1	-	C
81-fix%2:35:01::	1	-	D
81-fix%2:35:01::	1	-	F
81-fix%2:35:01::	1	-	G
