instanceID	dataIDs	label_set	non_label
1861-function%1:04:00::	1861,function%1:04:00::	5,4,3,2,1	-
1861-function%1:07:00::	1861,function%1:07:00::	5,4,3,2,1	-
1861-function%1:10:00::	1861,function%1:10:00::	5,4,3,2,1	-
1861-function%1:11:00::	1861,function%1:11:00::	5,4,3,2,1	-
1861-function%1:14:00::	1861,function%1:14:00::	5,4,3,2,1	-
1861-function%1:24:00::	1861,function%1:24:00::	5,4,3,2,1	-
1861-function%1:24:01::	1861,function%1:24:01::	5,4,3,2,1	-
1862-function%1:04:00::	1862,function%1:04:00::	5,4,3,2,1	-
1862-function%1:07:00::	1862,function%1:07:00::	5,4,3,2,1	-
1862-function%1:10:00::	1862,function%1:10:00::	5,4,3,2,1	-
1862-function%1:11:00::	1862,function%1:11:00::	5,4,3,2,1	-
1862-function%1:14:00::	1862,function%1:14:00::	5,4,3,2,1	-
1862-function%1:24:00::	1862,function%1:24:00::	5,4,3,2,1	-
1862-function%1:24:01::	1862,function%1:24:01::	5,4,3,2,1	-
1863-function%1:04:00::	1863,function%1:04:00::	5,4,3,2,1	-
1863-function%1:07:00::	1863,function%1:07:00::	5,4,3,2,1	-
1863-function%1:10:00::	1863,function%1:10:00::	5,4,3,2,1	-
1863-function%1:11:00::	1863,function%1:11:00::	5,4,3,2,1	-
1863-function%1:14:00::	1863,function%1:14:00::	5,4,3,2,1	-
1863-function%1:24:00::	1863,function%1:24:00::	5,4,3,2,1	-
1863-function%1:24:01::	1863,function%1:24:01::	5,4,3,2,1	-
1864-function%1:04:00::	1864,function%1:04:00::	5,4,3,2,1	-
1864-function%1:07:00::	1864,function%1:07:00::	5,4,3,2,1	-
1864-function%1:10:00::	1864,function%1:10:00::	5,4,3,2,1	-
1864-function%1:11:00::	1864,function%1:11:00::	5,4,3,2,1	-
1864-function%1:14:00::	1864,function%1:14:00::	5,4,3,2,1	-
1864-function%1:24:00::	1864,function%1:24:00::	5,4,3,2,1	-
1864-function%1:24:01::	1864,function%1:24:01::	5,4,3,2,1	-
1865-function%1:04:00::	1865,function%1:04:00::	5,4,3,2,1	-
1865-function%1:07:00::	1865,function%1:07:00::	5,4,3,2,1	-
1865-function%1:10:00::	1865,function%1:10:00::	5,4,3,2,1	-
1865-function%1:11:00::	1865,function%1:11:00::	5,4,3,2,1	-
1865-function%1:14:00::	1865,function%1:14:00::	5,4,3,2,1	-
1865-function%1:24:00::	1865,function%1:24:00::	5,4,3,2,1	-
1865-function%1:24:01::	1865,function%1:24:01::	5,4,3,2,1	-
1866-function%1:04:00::	1866,function%1:04:00::	5,4,3,2,1	-
1866-function%1:07:00::	1866,function%1:07:00::	5,4,3,2,1	-
1866-function%1:10:00::	1866,function%1:10:00::	5,4,3,2,1	-
1866-function%1:11:00::	1866,function%1:11:00::	5,4,3,2,1	-
1866-function%1:14:00::	1866,function%1:14:00::	5,4,3,2,1	-
1866-function%1:24:00::	1866,function%1:24:00::	5,4,3,2,1	-
1866-function%1:24:01::	1866,function%1:24:01::	5,4,3,2,1	-
1867-function%1:04:00::	1867,function%1:04:00::	5,4,3,2,1	-
1867-function%1:07:00::	1867,function%1:07:00::	5,4,3,2,1	-
1867-function%1:10:00::	1867,function%1:10:00::	5,4,3,2,1	-
1867-function%1:11:00::	1867,function%1:11:00::	5,4,3,2,1	-
1867-function%1:14:00::	1867,function%1:14:00::	5,4,3,2,1	-
1867-function%1:24:00::	1867,function%1:24:00::	5,4,3,2,1	-
1867-function%1:24:01::	1867,function%1:24:01::	5,4,3,2,1	-
1868-function%1:04:00::	1868,function%1:04:00::	5,4,3,2,1	-
1868-function%1:07:00::	1868,function%1:07:00::	5,4,3,2,1	-
1868-function%1:10:00::	1868,function%1:10:00::	5,4,3,2,1	-
1868-function%1:11:00::	1868,function%1:11:00::	5,4,3,2,1	-
1868-function%1:14:00::	1868,function%1:14:00::	5,4,3,2,1	-
1868-function%1:24:00::	1868,function%1:24:00::	5,4,3,2,1	-
1868-function%1:24:01::	1868,function%1:24:01::	5,4,3,2,1	-
1869-function%1:04:00::	1869,function%1:04:00::	5,4,3,2,1	-
1869-function%1:07:00::	1869,function%1:07:00::	5,4,3,2,1	-
1869-function%1:10:00::	1869,function%1:10:00::	5,4,3,2,1	-
1869-function%1:11:00::	1869,function%1:11:00::	5,4,3,2,1	-
1869-function%1:14:00::	1869,function%1:14:00::	5,4,3,2,1	-
1869-function%1:24:00::	1869,function%1:24:00::	5,4,3,2,1	-
1869-function%1:24:01::	1869,function%1:24:01::	5,4,3,2,1	-
1870-function%1:04:00::	1870,function%1:04:00::	5,4,3,2,1	-
1870-function%1:07:00::	1870,function%1:07:00::	5,4,3,2,1	-
1870-function%1:10:00::	1870,function%1:10:00::	5,4,3,2,1	-
1870-function%1:11:00::	1870,function%1:11:00::	5,4,3,2,1	-
1870-function%1:14:00::	1870,function%1:14:00::	5,4,3,2,1	-
1870-function%1:24:00::	1870,function%1:24:00::	5,4,3,2,1	-
1870-function%1:24:01::	1870,function%1:24:01::	5,4,3,2,1	-
