instanceID	label	comment	annotator
1381-hold%2:29:04::	1	-	A
1381-hold%2:29:04::	1	-	C
1381-hold%2:29:04::	1	-	D
1381-hold%2:29:04::	1	-	F
1381-hold%2:29:04::	1	-	G
1381-hold%2:29:04::	1	-	I
1381-hold%2:29:04::	1	-	J
1381-hold%2:29:04::	2	-	H
1381-hold%2:31:01::	1	-	C
1381-hold%2:31:01::	3	-	J
1381-hold%2:31:01::	4	-	A
1381-hold%2:31:01::	4	-	D
1381-hold%2:31:01::	4	-	G
1381-hold%2:31:01::	4	-	H
1381-hold%2:31:01::	5	-	F
1381-hold%2:31:01::	5	-	I
1381-hold%2:31:04::	1	-	C
1381-hold%2:31:04::	1	-	F
1381-hold%2:31:04::	1	-	G
1381-hold%2:31:04::	1	-	H
1381-hold%2:31:04::	1	-	I
1381-hold%2:31:04::	1	-	J
1381-hold%2:31:04::	3	-	D
1381-hold%2:31:04::	4	-	A
1381-hold%2:31:08::	1	-	C
1381-hold%2:31:08::	1	-	F
1381-hold%2:31:08::	1	-	G
1381-hold%2:31:08::	1	-	I
1381-hold%2:31:08::	2	-	D
1381-hold%2:31:08::	3	-	H
1381-hold%2:31:08::	4	-	A
1381-hold%2:31:08::	4	-	J
1381-hold%2:31:10::	4	-	J
1381-hold%2:31:10::	5	-	A
1381-hold%2:31:10::	5	-	C
1381-hold%2:31:10::	5	-	D
1381-hold%2:31:10::	5	-	F
1381-hold%2:31:10::	5	-	G
1381-hold%2:31:10::	5	-	H
1381-hold%2:31:10::	5	-	I
1381-hold%2:32:11::	1	-	C
1381-hold%2:32:11::	1	-	D
1381-hold%2:32:11::	1	-	F
1381-hold%2:32:11::	1	-	H
1381-hold%2:32:11::	1	-	I
1381-hold%2:32:11::	2	-	J
1381-hold%2:32:11::	3	-	G
1381-hold%2:32:11::	4	-	A
1381-hold%2:32:13::	1	-	A
1381-hold%2:32:13::	1	-	C
1381-hold%2:32:13::	1	-	D
1381-hold%2:32:13::	1	-	F
1381-hold%2:32:13::	1	-	G
1381-hold%2:32:13::	1	-	H
1381-hold%2:32:13::	1	-	I
1381-hold%2:32:13::	2	-	J
1381-hold%2:32:15::	1	-	C
1381-hold%2:32:15::	1	-	D
1381-hold%2:32:15::	1	-	F
1381-hold%2:32:15::	1	-	G
1381-hold%2:32:15::	1	-	I
1381-hold%2:32:15::	3	-	A
1381-hold%2:32:15::	3	-	H
1381-hold%2:32:15::	3	-	J
1381-hold%2:33:00::	1	-	A
1381-hold%2:33:00::	1	-	C
1381-hold%2:33:00::	1	-	D
1381-hold%2:33:00::	1	-	F
1381-hold%2:33:00::	1	-	G
1381-hold%2:33:00::	1	-	H
1381-hold%2:33:00::	1	-	I
1381-hold%2:33:00::	1	-	J
1381-hold%2:33:05::	1	-	A
1381-hold%2:33:05::	1	-	C
1381-hold%2:33:05::	1	-	D
1381-hold%2:33:05::	1	-	F
1381-hold%2:33:05::	1	-	G
1381-hold%2:33:05::	1	-	I
1381-hold%2:33:05::	1	-	J
1381-hold%2:33:05::	2	-	H
1381-hold%2:34:00::	1	-	A
1381-hold%2:34:00::	1	-	C
1381-hold%2:34:00::	1	-	D
1381-hold%2:34:00::	1	-	F
1381-hold%2:34:00::	1	-	G
1381-hold%2:34:00::	1	-	H
1381-hold%2:34:00::	1	-	I
1381-hold%2:34:00::	1	-	J
1381-hold%2:35:00::	1	-	A
1381-hold%2:35:00::	1	-	C
1381-hold%2:35:00::	1	-	D
1381-hold%2:35:00::	1	-	F
1381-hold%2:35:00::	1	-	G
1381-hold%2:35:00::	1	-	I
1381-hold%2:35:00::	1	-	J
1381-hold%2:35:00::	2	-	H
1381-hold%2:35:01::	1	-	A
1381-hold%2:35:01::	1	-	C
1381-hold%2:35:01::	1	-	D
1381-hold%2:35:01::	1	-	F
1381-hold%2:35:01::	1	-	G
1381-hold%2:35:01::	1	-	H
1381-hold%2:35:01::	1	-	I
1381-hold%2:35:01::	1	-	J
1381-hold%2:35:02::	1	-	A
1381-hold%2:35:02::	1	-	C
1381-hold%2:35:02::	1	-	D
1381-hold%2:35:02::	1	-	F
1381-hold%2:35:02::	1	-	G
1381-hold%2:35:02::	1	-	H
1381-hold%2:35:02::	1	-	I
1381-hold%2:35:02::	1	-	J
1381-hold%2:35:03::	1	-	A
1381-hold%2:35:03::	1	-	C
1381-hold%2:35:03::	1	-	D
1381-hold%2:35:03::	1	-	F
1381-hold%2:35:03::	1	-	G
1381-hold%2:35:03::	1	-	H
1381-hold%2:35:03::	1	-	I
1381-hold%2:35:03::	1	-	J
1381-hold%2:35:09::	1	-	A
1381-hold%2:35:09::	1	-	C
1381-hold%2:35:09::	1	-	D
1381-hold%2:35:09::	1	-	F
1381-hold%2:35:09::	1	-	G
1381-hold%2:35:09::	1	-	H
1381-hold%2:35:09::	1	-	I
1381-hold%2:35:09::	1	-	J
1381-hold%2:36:00::	1	-	A
1381-hold%2:36:00::	1	-	C
1381-hold%2:36:00::	1	-	D
1381-hold%2:36:00::	1	-	F
1381-hold%2:36:00::	1	-	G
1381-hold%2:36:00::	1	-	I
1381-hold%2:36:00::	1	-	J
1381-hold%2:36:00::	2	-	H
1381-hold%2:37:00::	1	-	C
1381-hold%2:37:00::	1	-	D
1381-hold%2:37:00::	1	-	F
1381-hold%2:37:00::	1	-	G
1381-hold%2:37:00::	1	-	I
1381-hold%2:37:00::	2	-	A
1381-hold%2:37:00::	3	-	H
1381-hold%2:37:00::	5	-	J
1381-hold%2:38:05::	1	-	A
1381-hold%2:38:05::	1	-	C
1381-hold%2:38:05::	1	-	D
1381-hold%2:38:05::	1	-	F
1381-hold%2:38:05::	1	-	G
1381-hold%2:38:05::	1	-	H
1381-hold%2:38:05::	1	-	I
1381-hold%2:38:05::	1	-	J
1381-hold%2:40:00::	1	-	A
1381-hold%2:40:00::	1	-	C
1381-hold%2:40:00::	1	-	D
1381-hold%2:40:00::	1	-	F
1381-hold%2:40:00::	2	-	J
1381-hold%2:40:00::	3	-	G
1381-hold%2:40:00::	3	-	H
1381-hold%2:40:00::	3	-	I
1381-hold%2:40:02::	1	-	A
1381-hold%2:40:02::	1	-	C
1381-hold%2:40:02::	1	-	D
1381-hold%2:40:02::	1	-	F
1381-hold%2:40:02::	1	-	G
1381-hold%2:40:02::	1	-	H
1381-hold%2:40:02::	1	-	I
1381-hold%2:40:02::	2	-	J
1381-hold%2:40:04::	1	-	C
1381-hold%2:40:04::	1	-	D
1381-hold%2:40:04::	1	-	F
1381-hold%2:40:04::	1	-	H
1381-hold%2:40:04::	1	-	I
1381-hold%2:40:04::	1	-	J
1381-hold%2:40:04::	2	-	A
1381-hold%2:40:04::	2	-	G
1381-hold%2:41:00::	1	-	A
1381-hold%2:41:00::	1	-	C
1381-hold%2:41:00::	1	-	D
1381-hold%2:41:00::	1	-	F
1381-hold%2:41:00::	1	-	G
1381-hold%2:41:00::	1	-	H
1381-hold%2:41:00::	1	-	I
1381-hold%2:41:00::	1	-	J
1381-hold%2:41:13::	1	-	A
1381-hold%2:41:13::	1	-	C
1381-hold%2:41:13::	1	-	D
1381-hold%2:41:13::	1	-	F
1381-hold%2:41:13::	1	-	G
1381-hold%2:41:13::	1	-	I
1381-hold%2:41:13::	2	-	H
1381-hold%2:41:13::	2	-	J
1381-hold%2:41:14::	1	-	A
1381-hold%2:41:14::	1	-	C
1381-hold%2:41:14::	1	-	D
1381-hold%2:41:14::	1	-	F
1381-hold%2:41:14::	1	-	G
1381-hold%2:41:14::	1	-	H
1381-hold%2:41:14::	1	-	I
1381-hold%2:41:14::	2	-	J
1381-hold%2:41:15::	1	-	A
1381-hold%2:41:15::	1	-	C
1381-hold%2:41:15::	1	-	D
1381-hold%2:41:15::	1	-	F
1381-hold%2:41:15::	1	-	G
1381-hold%2:41:15::	1	-	H
1381-hold%2:41:15::	1	-	I
1381-hold%2:41:15::	2	-	J
1381-hold%2:42:00::	1	-	A
1381-hold%2:42:00::	1	-	C
1381-hold%2:42:00::	1	-	F
1381-hold%2:42:00::	1	-	I
1381-hold%2:42:00::	1	-	J
1381-hold%2:42:00::	2	-	G
1381-hold%2:42:00::	2	-	H
1381-hold%2:42:00::	3	-	D
1381-hold%2:42:01::	1	-	A
1381-hold%2:42:01::	1	-	C
1381-hold%2:42:01::	1	-	D
1381-hold%2:42:01::	1	-	F
1381-hold%2:42:01::	1	-	G
1381-hold%2:42:01::	1	-	I
1381-hold%2:42:01::	1	-	J
1381-hold%2:42:01::	2	-	H
1381-hold%2:42:02::	1	-	A
1381-hold%2:42:02::	1	-	C
1381-hold%2:42:02::	1	-	D
1381-hold%2:42:02::	1	-	F
1381-hold%2:42:02::	1	-	G
1381-hold%2:42:02::	1	-	H
1381-hold%2:42:02::	1	-	I
1381-hold%2:42:02::	1	-	J
1381-hold%2:42:04::	1	-	A
1381-hold%2:42:04::	1	-	C
1381-hold%2:42:04::	1	-	D
1381-hold%2:42:04::	1	-	F
1381-hold%2:42:04::	1	-	G
1381-hold%2:42:04::	1	-	H
1381-hold%2:42:04::	1	-	I
1381-hold%2:42:04::	2	-	J
1381-hold%2:42:05::	1	-	A
1381-hold%2:42:05::	1	-	C
1381-hold%2:42:05::	1	-	D
1381-hold%2:42:05::	1	-	F
1381-hold%2:42:05::	1	-	G
1381-hold%2:42:05::	1	-	H
1381-hold%2:42:05::	1	-	I
1381-hold%2:42:05::	1	-	J
1381-hold%2:42:07::	1	-	A
1381-hold%2:42:07::	1	-	C
1381-hold%2:42:07::	1	-	D
1381-hold%2:42:07::	1	-	F
