senseID	definition	lemma
hold%2:29:04::	keep from exhaling or expelling	hold.v
hold%2:31:01::	keep in mind or convey as a conviction or view	hold.v
hold%2:31:04::	hold the attention of	hold.v
hold%2:31:08::	assert or affirm	hold.v
hold%2:31:10::	remain committed to	hold.v
hold%2:32:11::	declare to be	hold.v
hold%2:32:13::	bind by an obligation; cause to be indebted	hold.v
hold%2:32:15::	be in accord; be in agreement	hold.v
hold%2:33:00::	aim, point, or direct	hold.v
hold%2:33:05::	protect against a challenge or attack	hold.v
hold%2:34:00::	drink alcohol without showing ill effects	hold.v
hold%2:35:00::	have or hold in one's hands or grip	hold.v
hold%2:35:01::	be the physical support of; carry the weight of	hold.v
hold%2:35:02::	support or hold in a certain manner	hold.v
hold%2:35:03::	to close within bounds, limit or hold back from movement	hold.v
hold%2:35:09::	cover as for protection against noise or smell	hold.v
hold%2:36:00::	organize or be responsible for	hold.v
hold%2:37:00::	maintain (a theory, thoughts, or feelings)	hold.v
hold%2:38:05::	cause to stop	hold.v
hold%2:40:00::	have or possess, either in a concrete or an abstract sense	hold.v
hold%2:40:02::	secure and keep for possible future use or application	hold.v
hold%2:40:04::	have rightfully; of rights, titles, and offices	hold.v
hold%2:41:00::	arrange for and reserve (something for someone else) in advance	hold.v
hold%2:41:13::	keep from departing	hold.v
hold%2:41:14::	take and maintain control over, often by violent means	hold.v
hold%2:41:15::	lessen the intensity of; temper; hold in restraint; hold or keep within limits	hold.v
hold%2:42:00::	keep in a certain state, position, or activity; e.g.,	hold.v
hold%2:42:01::	remain in a certain state, position, or condition	hold.v
hold%2:42:02::	be valid, applicable, or true	hold.v
hold%2:42:04::	be pertinent or relevant or applicable	hold.v
hold%2:42:05::	have room for; hold without crowding	hold.v
hold%2:42:07::	have as a major characteristic	hold.v
hold%2:42:08::	resist or confront with resistance	hold.v
hold%2:42:12::	stop dealing with	hold.v
hold%2:42:13::	contain or hold; have within	hold.v
hold%2:42:14::	be capable of holding or containing	hold.v
