instanceID	dataIDs	label_set	non_label
1881-lead%1:04:00::	1881,lead%1:04:00::	5,4,3,2,1	-
1881-lead%1:04:01::	1881,lead%1:04:01::	5,4,3,2,1	-
1881-lead%1:06:00::	1881,lead%1:06:00::	5,4,3,2,1	-
1881-lead%1:06:01::	1881,lead%1:06:01::	5,4,3,2,1	-
1881-lead%1:06:02::	1881,lead%1:06:02::	5,4,3,2,1	-
1881-lead%1:06:03::	1881,lead%1:06:03::	5,4,3,2,1	-
1881-lead%1:07:01::	1881,lead%1:07:01::	5,4,3,2,1	-
1881-lead%1:07:02::	1881,lead%1:07:02::	5,4,3,2,1	-
1881-lead%1:09:00::	1881,lead%1:09:00::	5,4,3,2,1	-
1881-lead%1:10:00::	1881,lead%1:10:00::	5,4,3,2,1	-
1881-lead%1:10:01::	1881,lead%1:10:01::	5,4,3,2,1	-
1881-lead%1:10:02::	1881,lead%1:10:02::	5,4,3,2,1	-
1881-lead%1:15:00::	1881,lead%1:15:00::	5,4,3,2,1	-
1881-lead%1:18:00::	1881,lead%1:18:00::	5,4,3,2,1	-
1881-lead%1:23:00::	1881,lead%1:23:00::	5,4,3,2,1	-
1881-lead%1:25:00::	1881,lead%1:25:00::	5,4,3,2,1	-
1881-lead%1:27:00::	1881,lead%1:27:00::	5,4,3,2,1	-
1882-lead%1:04:00::	1882,lead%1:04:00::	5,4,3,2,1	-
1882-lead%1:04:01::	1882,lead%1:04:01::	5,4,3,2,1	-
1882-lead%1:06:00::	1882,lead%1:06:00::	5,4,3,2,1	-
1882-lead%1:06:01::	1882,lead%1:06:01::	5,4,3,2,1	-
1882-lead%1:06:02::	1882,lead%1:06:02::	5,4,3,2,1	-
1882-lead%1:06:03::	1882,lead%1:06:03::	5,4,3,2,1	-
1882-lead%1:07:01::	1882,lead%1:07:01::	5,4,3,2,1	-
1882-lead%1:07:02::	1882,lead%1:07:02::	5,4,3,2,1	-
1882-lead%1:09:00::	1882,lead%1:09:00::	5,4,3,2,1	-
1882-lead%1:10:00::	1882,lead%1:10:00::	5,4,3,2,1	-
1882-lead%1:10:01::	1882,lead%1:10:01::	5,4,3,2,1	-
1882-lead%1:10:02::	1882,lead%1:10:02::	5,4,3,2,1	-
1882-lead%1:15:00::	1882,lead%1:15:00::	5,4,3,2,1	-
1882-lead%1:18:00::	1882,lead%1:18:00::	5,4,3,2,1	-
1882-lead%1:23:00::	1882,lead%1:23:00::	5,4,3,2,1	-
1882-lead%1:25:00::	1882,lead%1:25:00::	5,4,3,2,1	-
1882-lead%1:27:00::	1882,lead%1:27:00::	5,4,3,2,1	-
1883-lead%1:04:00::	1883,lead%1:04:00::	5,4,3,2,1	-
1883-lead%1:04:01::	1883,lead%1:04:01::	5,4,3,2,1	-
1883-lead%1:06:00::	1883,lead%1:06:00::	5,4,3,2,1	-
1883-lead%1:06:01::	1883,lead%1:06:01::	5,4,3,2,1	-
1883-lead%1:06:02::	1883,lead%1:06:02::	5,4,3,2,1	-
1883-lead%1:06:03::	1883,lead%1:06:03::	5,4,3,2,1	-
1883-lead%1:07:01::	1883,lead%1:07:01::	5,4,3,2,1	-
1883-lead%1:07:02::	1883,lead%1:07:02::	5,4,3,2,1	-
1883-lead%1:09:00::	1883,lead%1:09:00::	5,4,3,2,1	-
1883-lead%1:10:00::	1883,lead%1:10:00::	5,4,3,2,1	-
1883-lead%1:10:01::	1883,lead%1:10:01::	5,4,3,2,1	-
1883-lead%1:10:02::	1883,lead%1:10:02::	5,4,3,2,1	-
1883-lead%1:15:00::	1883,lead%1:15:00::	5,4,3,2,1	-
1883-lead%1:18:00::	1883,lead%1:18:00::	5,4,3,2,1	-
1883-lead%1:23:00::	1883,lead%1:23:00::	5,4,3,2,1	-
1883-lead%1:25:00::	1883,lead%1:25:00::	5,4,3,2,1	-
1883-lead%1:27:00::	1883,lead%1:27:00::	5,4,3,2,1	-
1884-lead%1:04:00::	1884,lead%1:04:00::	5,4,3,2,1	-
1884-lead%1:04:01::	1884,lead%1:04:01::	5,4,3,2,1	-
1884-lead%1:06:00::	1884,lead%1:06:00::	5,4,3,2,1	-
1884-lead%1:06:01::	1884,lead%1:06:01::	5,4,3,2,1	-
1884-lead%1:06:02::	1884,lead%1:06:02::	5,4,3,2,1	-
1884-lead%1:06:03::	1884,lead%1:06:03::	5,4,3,2,1	-
1884-lead%1:07:01::	1884,lead%1:07:01::	5,4,3,2,1	-
1884-lead%1:07:02::	1884,lead%1:07:02::	5,4,3,2,1	-
1884-lead%1:09:00::	1884,lead%1:09:00::	5,4,3,2,1	-
1884-lead%1:10:00::	1884,lead%1:10:00::	5,4,3,2,1	-
1884-lead%1:10:01::	1884,lead%1:10:01::	5,4,3,2,1	-
1884-lead%1:10:02::	1884,lead%1:10:02::	5,4,3,2,1	-
1884-lead%1:15:00::	1884,lead%1:15:00::	5,4,3,2,1	-
1884-lead%1:18:00::	1884,lead%1:18:00::	5,4,3,2,1	-
1884-lead%1:23:00::	1884,lead%1:23:00::	5,4,3,2,1	-
1884-lead%1:25:00::	1884,lead%1:25:00::	5,4,3,2,1	-
1884-lead%1:27:00::	1884,lead%1:27:00::	5,4,3,2,1	-
1885-lead%1:04:00::	1885,lead%1:04:00::	5,4,3,2,1	-
1885-lead%1:04:01::	1885,lead%1:04:01::	5,4,3,2,1	-
1885-lead%1:06:00::	1885,lead%1:06:00::	5,4,3,2,1	-
1885-lead%1:06:01::	1885,lead%1:06:01::	5,4,3,2,1	-
1885-lead%1:06:02::	1885,lead%1:06:02::	5,4,3,2,1	-
1885-lead%1:06:03::	1885,lead%1:06:03::	5,4,3,2,1	-
1885-lead%1:07:01::	1885,lead%1:07:01::	5,4,3,2,1	-
1885-lead%1:07:02::	1885,lead%1:07:02::	5,4,3,2,1	-
1885-lead%1:09:00::	1885,lead%1:09:00::	5,4,3,2,1	-
1885-lead%1:10:00::	1885,lead%1:10:00::	5,4,3,2,1	-
1885-lead%1:10:01::	1885,lead%1:10:01::	5,4,3,2,1	-
1885-lead%1:10:02::	1885,lead%1:10:02::	5,4,3,2,1	-
1885-lead%1:15:00::	1885,lead%1:15:00::	5,4,3,2,1	-
1885-lead%1:18:00::	1885,lead%1:18:00::	5,4,3,2,1	-
1885-lead%1:23:00::	1885,lead%1:23:00::	5,4,3,2,1	-
1885-lead%1:25:00::	1885,lead%1:25:00::	5,4,3,2,1	-
1885-lead%1:27:00::	1885,lead%1:27:00::	5,4,3,2,1	-
1886-lead%1:04:00::	1886,lead%1:04:00::	5,4,3,2,1	-
1886-lead%1:04:01::	1886,lead%1:04:01::	5,4,3,2,1	-
1886-lead%1:06:00::	1886,lead%1:06:00::	5,4,3,2,1	-
1886-lead%1:06:01::	1886,lead%1:06:01::	5,4,3,2,1	-
1886-lead%1:06:02::	1886,lead%1:06:02::	5,4,3,2,1	-
1886-lead%1:06:03::	1886,lead%1:06:03::	5,4,3,2,1	-
1886-lead%1:07:01::	1886,lead%1:07:01::	5,4,3,2,1	-
1886-lead%1:07:02::	1886,lead%1:07:02::	5,4,3,2,1	-
1886-lead%1:09:00::	1886,lead%1:09:00::	5,4,3,2,1	-
1886-lead%1:10:00::	1886,lead%1:10:00::	5,4,3,2,1	-
1886-lead%1:10:01::	1886,lead%1:10:01::	5,4,3,2,1	-
1886-lead%1:10:02::	1886,lead%1:10:02::	5,4,3,2,1	-
1886-lead%1:15:00::	1886,lead%1:15:00::	5,4,3,2,1	-
1886-lead%1:18:00::	1886,lead%1:18:00::	5,4,3,2,1	-
1886-lead%1:23:00::	1886,lead%1:23:00::	5,4,3,2,1	-
1886-lead%1:25:00::	1886,lead%1:25:00::	5,4,3,2,1	-
1886-lead%1:27:00::	1886,lead%1:27:00::	5,4,3,2,1	-
1887-lead%1:04:00::	1887,lead%1:04:00::	5,4,3,2,1	-
1887-lead%1:04:01::	1887,lead%1:04:01::	5,4,3,2,1	-
1887-lead%1:06:00::	1887,lead%1:06:00::	5,4,3,2,1	-
1887-lead%1:06:01::	1887,lead%1:06:01::	5,4,3,2,1	-
1887-lead%1:06:02::	1887,lead%1:06:02::	5,4,3,2,1	-
1887-lead%1:06:03::	1887,lead%1:06:03::	5,4,3,2,1	-
1887-lead%1:07:01::	1887,lead%1:07:01::	5,4,3,2,1	-
1887-lead%1:07:02::	1887,lead%1:07:02::	5,4,3,2,1	-
1887-lead%1:09:00::	1887,lead%1:09:00::	5,4,3,2,1	-
1887-lead%1:10:00::	1887,lead%1:10:00::	5,4,3,2,1	-
1887-lead%1:10:01::	1887,lead%1:10:01::	5,4,3,2,1	-
1887-lead%1:10:02::	1887,lead%1:10:02::	5,4,3,2,1	-
1887-lead%1:15:00::	1887,lead%1:15:00::	5,4,3,2,1	-
1887-lead%1:18:00::	1887,lead%1:18:00::	5,4,3,2,1	-
1887-lead%1:23:00::	1887,lead%1:23:00::	5,4,3,2,1	-
1887-lead%1:25:00::	1887,lead%1:25:00::	5,4,3,2,1	-
1887-lead%1:27:00::	1887,lead%1:27:00::	5,4,3,2,1	-
1888-lead%1:04:00::	1888,lead%1:04:00::	5,4,3,2,1	-
1888-lead%1:04:01::	1888,lead%1:04:01::	5,4,3,2,1	-
1888-lead%1:06:00::	1888,lead%1:06:00::	5,4,3,2,1	-
1888-lead%1:06:01::	1888,lead%1:06:01::	5,4,3,2,1	-
1888-lead%1:06:02::	1888,lead%1:06:02::	5,4,3,2,1	-
1888-lead%1:06:03::	1888,lead%1:06:03::	5,4,3,2,1	-
1888-lead%1:07:01::	1888,lead%1:07:01::	5,4,3,2,1	-
1888-lead%1:07:02::	1888,lead%1:07:02::	5,4,3,2,1	-
1888-lead%1:09:00::	1888,lead%1:09:00::	5,4,3,2,1	-
1888-lead%1:10:00::	1888,lead%1:10:00::	5,4,3,2,1	-
1888-lead%1:10:01::	1888,lead%1:10:01::	5,4,3,2,1	-
1888-lead%1:10:02::	1888,lead%1:10:02::	5,4,3,2,1	-
1888-lead%1:15:00::	1888,lead%1:15:00::	5,4,3,2,1	-
1888-lead%1:18:00::	1888,lead%1:18:00::	5,4,3,2,1	-
1888-lead%1:23:00::	1888,lead%1:23:00::	5,4,3,2,1	-
1888-lead%1:25:00::	1888,lead%1:25:00::	5,4,3,2,1	-
1888-lead%1:27:00::	1888,lead%1:27:00::	5,4,3,2,1	-
1889-lead%1:04:00::	1889,lead%1:04:00::	5,4,3,2,1	-
1889-lead%1:04:01::	1889,lead%1:04:01::	5,4,3,2,1	-
1889-lead%1:06:00::	1889,lead%1:06:00::	5,4,3,2,1	-
1889-lead%1:06:01::	1889,lead%1:06:01::	5,4,3,2,1	-
1889-lead%1:06:02::	1889,lead%1:06:02::	5,4,3,2,1	-
1889-lead%1:06:03::	1889,lead%1:06:03::	5,4,3,2,1	-
1889-lead%1:07:01::	1889,lead%1:07:01::	5,4,3,2,1	-
1889-lead%1:07:02::	1889,lead%1:07:02::	5,4,3,2,1	-
1889-lead%1:09:00::	1889,lead%1:09:00::	5,4,3,2,1	-
1889-lead%1:10:00::	1889,lead%1:10:00::	5,4,3,2,1	-
1889-lead%1:10:01::	1889,lead%1:10:01::	5,4,3,2,1	-
1889-lead%1:10:02::	1889,lead%1:10:02::	5,4,3,2,1	-
1889-lead%1:15:00::	1889,lead%1:15:00::	5,4,3,2,1	-
1889-lead%1:18:00::	1889,lead%1:18:00::	5,4,3,2,1	-
