instanceID	label	comment	annotator
1881-lead%1:04:00::	1	-	A
1881-lead%1:04:00::	1	-	C
1881-lead%1:04:00::	1	-	D
1881-lead%1:04:00::	1	-	F
1881-lead%1:04:00::	1	-	G
1881-lead%1:04:00::	1	-	H
1881-lead%1:04:00::	1	-	I
1881-lead%1:04:00::	1	-	J
1881-lead%1:04:01::	1	-	C
1881-lead%1:04:01::	1	-	H
1881-lead%1:04:01::	1	-	I
1881-lead%1:04:01::	2	-	A
1881-lead%1:04:01::	2	-	D
1881-lead%1:04:01::	2	-	G
1881-lead%1:04:01::	2	-	J
1881-lead%1:04:01::	5	-	F
1881-lead%1:06:00::	1	-	A
1881-lead%1:06:00::	1	-	C
1881-lead%1:06:00::	1	-	D
1881-lead%1:06:00::	1	-	F
1881-lead%1:06:00::	1	-	G
1881-lead%1:06:00::	1	-	H
1881-lead%1:06:00::	1	-	I
1881-lead%1:06:00::	1	-	J
1881-lead%1:06:01::	1	-	A
1881-lead%1:06:01::	1	-	F
1881-lead%1:06:01::	1	-	G
1881-lead%1:06:01::	1	-	I
1881-lead%1:06:01::	3	-	C
1881-lead%1:06:01::	4	-	J
1881-lead%1:06:01::	5	-	D
1881-lead%1:06:01::	5	-	H
1881-lead%1:06:02::	1	-	A
1881-lead%1:06:02::	1	-	C
1881-lead%1:06:02::	1	-	D
1881-lead%1:06:02::	1	-	F
1881-lead%1:06:02::	1	-	G
1881-lead%1:06:02::	1	-	I
1881-lead%1:06:02::	2	-	J
1881-lead%1:06:02::	3	-	H
1881-lead%1:06:03::	1	-	A
1881-lead%1:06:03::	1	-	C
1881-lead%1:06:03::	1	-	D
1881-lead%1:06:03::	1	-	F
1881-lead%1:06:03::	1	-	G
1881-lead%1:06:03::	1	-	I
1881-lead%1:06:03::	2	-	H
1881-lead%1:06:03::	2	-	J
1881-lead%1:07:01::	1	-	A
1881-lead%1:07:01::	1	-	C
1881-lead%1:07:01::	1	-	D
1881-lead%1:07:01::	1	-	F
1881-lead%1:07:01::	1	-	G
1881-lead%1:07:01::	1	-	H
1881-lead%1:07:01::	1	-	I
1881-lead%1:07:01::	1	-	J
1881-lead%1:07:02::	1	-	C
1881-lead%1:07:02::	1	-	D
1881-lead%1:07:02::	1	-	F
1881-lead%1:07:02::	1	-	G
1881-lead%1:07:02::	1	-	H
1881-lead%1:07:02::	1	-	I
1881-lead%1:07:02::	1	-	J
1881-lead%1:07:02::	2	-	A
1881-lead%1:09:00::	1	-	A
1881-lead%1:09:00::	1	-	C
1881-lead%1:09:00::	1	-	D
1881-lead%1:09:00::	1	-	F
1881-lead%1:09:00::	1	-	H
1881-lead%1:09:00::	1	-	I
1881-lead%1:09:00::	1	-	J
1881-lead%1:09:00::	3	-	G
1881-lead%1:10:00::	1	-	A
1881-lead%1:10:00::	1	-	C
1881-lead%1:10:00::	1	-	D
1881-lead%1:10:00::	1	-	F
1881-lead%1:10:00::	1	-	H
1881-lead%1:10:00::	1	-	I
1881-lead%1:10:00::	1	-	J
1881-lead%1:10:00::	3	-	G
1881-lead%1:10:01::	1	-	A
1881-lead%1:10:01::	1	-	C
1881-lead%1:10:01::	1	-	D
