instanceID	dataIDs	label_set	non_label
101-neat%5:00:00:adroit:00	101,neat%5:00:00:adroit:00	5,4,3,2,1	-
101-neat%5:00:00:elegant:00	101,neat%5:00:00:elegant:00	5,4,3,2,1	-
101-neat%5:00:00:good:01	101,neat%5:00:00:good:01	5,4,3,2,1	-
101-neat%5:00:00:tidy:00	101,neat%5:00:00:tidy:00	5,4,3,2,1	-
101-neat%5:00:00:undiluted:00	101,neat%5:00:00:undiluted:00	5,4,3,2,1	-
101-neat%5:00:03:tidy:00	101,neat%5:00:03:tidy:00	5,4,3,2,1	-
102-neat%5:00:00:adroit:00	102,neat%5:00:00:adroit:00	5,4,3,2,1	-
102-neat%5:00:00:elegant:00	102,neat%5:00:00:elegant:00	5,4,3,2,1	-
102-neat%5:00:00:good:01	102,neat%5:00:00:good:01	5,4,3,2,1	-
102-neat%5:00:00:tidy:00	102,neat%5:00:00:tidy:00	5,4,3,2,1	-
102-neat%5:00:00:undiluted:00	102,neat%5:00:00:undiluted:00	5,4,3,2,1	-
102-neat%5:00:03:tidy:00	102,neat%5:00:03:tidy:00	5,4,3,2,1	-
103-neat%5:00:00:adroit:00	103,neat%5:00:00:adroit:00	5,4,3,2,1	-
103-neat%5:00:00:elegant:00	103,neat%5:00:00:elegant:00	5,4,3,2,1	-
103-neat%5:00:00:good:01	103,neat%5:00:00:good:01	5,4,3,2,1	-
103-neat%5:00:00:tidy:00	103,neat%5:00:00:tidy:00	5,4,3,2,1	-
103-neat%5:00:00:undiluted:00	103,neat%5:00:00:undiluted:00	5,4,3,2,1	-
103-neat%5:00:03:tidy:00	103,neat%5:00:03:tidy:00	5,4,3,2,1	-
104-neat%5:00:00:adroit:00	104,neat%5:00:00:adroit:00	5,4,3,2,1	-
104-neat%5:00:00:elegant:00	104,neat%5:00:00:elegant:00	5,4,3,2,1	-
104-neat%5:00:00:good:01	104,neat%5:00:00:good:01	5,4,3,2,1	-
104-neat%5:00:00:tidy:00	104,neat%5:00:00:tidy:00	5,4,3,2,1	-
104-neat%5:00:00:undiluted:00	104,neat%5:00:00:undiluted:00	5,4,3,2,1	-
104-neat%5:00:03:tidy:00	104,neat%5:00:03:tidy:00	5,4,3,2,1	-
105-neat%5:00:00:adroit:00	105,neat%5:00:00:adroit:00	5,4,3,2,1	-
105-neat%5:00:00:elegant:00	105,neat%5:00:00:elegant:00	5,4,3,2,1	-
105-neat%5:00:00:good:01	105,neat%5:00:00:good:01	5,4,3,2,1	-
105-neat%5:00:00:tidy:00	105,neat%5:00:00:tidy:00	5,4,3,2,1	-
105-neat%5:00:00:undiluted:00	105,neat%5:00:00:undiluted:00	5,4,3,2,1	-
105-neat%5:00:03:tidy:00	105,neat%5:00:03:tidy:00	5,4,3,2,1	-
106-neat%5:00:00:adroit:00	106,neat%5:00:00:adroit:00	5,4,3,2,1	-
106-neat%5:00:00:elegant:00	106,neat%5:00:00:elegant:00	5,4,3,2,1	-
106-neat%5:00:00:good:01	106,neat%5:00:00:good:01	5,4,3,2,1	-
106-neat%5:00:00:tidy:00	106,neat%5:00:00:tidy:00	5,4,3,2,1	-
106-neat%5:00:00:undiluted:00	106,neat%5:00:00:undiluted:00	5,4,3,2,1	-
106-neat%5:00:03:tidy:00	106,neat%5:00:03:tidy:00	5,4,3,2,1	-
107-neat%5:00:00:adroit:00	107,neat%5:00:00:adroit:00	5,4,3,2,1	-
107-neat%5:00:00:elegant:00	107,neat%5:00:00:elegant:00	5,4,3,2,1	-
107-neat%5:00:00:good:01	107,neat%5:00:00:good:01	5,4,3,2,1	-
107-neat%5:00:00:tidy:00	107,neat%5:00:00:tidy:00	5,4,3,2,1	-
107-neat%5:00:00:undiluted:00	107,neat%5:00:00:undiluted:00	5,4,3,2,1	-
107-neat%5:00:03:tidy:00	107,neat%5:00:03:tidy:00	5,4,3,2,1	-
108-neat%5:00:00:adroit:00	108,neat%5:00:00:adroit:00	5,4,3,2,1	-
108-neat%5:00:00:elegant:00	108,neat%5:00:00:elegant:00	5,4,3,2,1	-
108-neat%5:00:00:good:01	108,neat%5:00:00:good:01	5,4,3,2,1	-
108-neat%5:00:00:tidy:00	108,neat%5:00:00:tidy:00	5,4,3,2,1	-
108-neat%5:00:00:undiluted:00	108,neat%5:00:00:undiluted:00	5,4,3,2,1	-
108-neat%5:00:03:tidy:00	108,neat%5:00:03:tidy:00	5,4,3,2,1	-
109-neat%5:00:00:adroit:00	109,neat%5:00:00:adroit:00	5,4,3,2,1	-
109-neat%5:00:00:elegant:00	109,neat%5:00:00:elegant:00	5,4,3,2,1	-
109-neat%5:00:00:good:01	109,neat%5:00:00:good:01	5,4,3,2,1	-
109-neat%5:00:00:tidy:00	109,neat%5:00:00:tidy:00	5,4,3,2,1	-
109-neat%5:00:00:undiluted:00	109,neat%5:00:00:undiluted:00	5,4,3,2,1	-
109-neat%5:00:03:tidy:00	109,neat%5:00:03:tidy:00	5,4,3,2,1	-
110-neat%5:00:00:adroit:00	110,neat%5:00:00:adroit:00	5,4,3,2,1	-
110-neat%5:00:00:elegant:00	110,neat%5:00:00:elegant:00	5,4,3,2,1	-
110-neat%5:00:00:good:01	110,neat%5:00:00:good:01	5,4,3,2,1	-
110-neat%5:00:00:tidy:00	110,neat%5:00:00:tidy:00	5,4,3,2,1	-
110-neat%5:00:00:undiluted:00	110,neat%5:00:00:undiluted:00	5,4,3,2,1	-
110-neat%5:00:03:tidy:00	110,neat%5:00:03:tidy:00	5,4,3,2,1	-
