instanceID	label	comment	annotator
101-neat%5:00:00:adroit:00	1	-	C
101-neat%5:00:00:adroit:00	1	-	H
101-neat%5:00:00:adroit:00	2	-	D
101-neat%5:00:00:adroit:00	3	-	F
101-neat%5:00:00:adroit:00	4	-	A
101-neat%5:00:00:adroit:00	4	-	I
101-neat%5:00:00:adroit:00	4	-	J
101-neat%5:00:00:adroit:00	5	-	G
101-neat%5:00:00:elegant:00	1	-	C
101-neat%5:00:00:elegant:00	1	-	F
101-neat%5:00:00:elegant:00	2	-	G
101-neat%5:00:00:elegant:00	2	-	I
101-neat%5:00:00:elegant:00	2	-	J
101-neat%5:00:00:elegant:00	3	-	D
101-neat%5:00:00:elegant:00	5	-	A
101-neat%5:00:00:elegant:00	5	-	H
101-neat%5:00:00:good:01	1	-	C
101-neat%5:00:00:good:01	2	-	D
101-neat%5:00:00:good:01	2	-	J
101-neat%5:00:00:good:01	3	-	G
101-neat%5:00:00:good:01	4	-	A
101-neat%5:00:00:good:01	4	-	I
101-neat%5:00:00:good:01	5	-	F
101-neat%5:00:00:good:01	5	-	H
101-neat%5:00:00:tidy:00	1	-	C
101-neat%5:00:00:tidy:00	2	-	G
101-neat%5:00:00:tidy:00	2	-	I
101-neat%5:00:00:tidy:00	3	-	F
101-neat%5:00:00:tidy:00	4	-	D
101-neat%5:00:00:tidy:00	4	-	H
101-neat%5:00:00:tidy:00	5	-	A
101-neat%5:00:00:tidy:00	5	-	J
101-neat%5:00:00:undiluted:00	1	-	C
101-neat%5:00:00:undiluted:00	1	-	D
101-neat%5:00:00:undiluted:00	1	-	F
101-neat%5:00:00:undiluted:00	1	-	G
101-neat%5:00:00:undiluted:00	1	-	H
101-neat%5:00:00:undiluted:00	1	-	I
101-neat%5:00:00:undiluted:00	1	-	J
101-neat%5:00:00:undiluted:00	3	-	A
101-neat%5:00:03:tidy:00	3	-	F
101-neat%5:00:03:tidy:00	3	-	G
101-neat%5:00:03:tidy:00	4	-	D
101-neat%5:00:03:tidy:00	4	-	H
101-neat%5:00:03:tidy:00	4	-	J
101-neat%5:00:03:tidy:00	5	-	A
101-neat%5:00:03:tidy:00	5	-	C
101-neat%5:00:03:tidy:00	5	-	I
102-neat%5:00:00:adroit:00	1	-	C
102-neat%5:00:00:adroit:00	3	-	D
102-neat%5:00:00:adroit:00	3	-	F
102-neat%5:00:00:adroit:00	3	-	G
102-neat%5:00:00:adroit:00	3	-	H
102-neat%5:00:00:adroit:00	3	-	I
102-neat%5:00:00:adroit:00	4	-	J
102-neat%5:00:00:adroit:00	5	-	A
102-neat%5:00:00:elegant:00	1	-	C
102-neat%5:00:00:elegant:00	1	-	F
102-neat%5:00:00:elegant:00	2	-	G
102-neat%5:00:00:elegant:00	2	-	I
102-neat%5:00:00:elegant:00	3	-	D
102-neat%5:00:00:elegant:00	3	-	H
102-neat%5:00:00:elegant:00	3	-	J
102-neat%5:00:00:elegant:00	5	-	A
