instanceID	label	comment	annotator
451-new%3:00:00::	4	-	F
451-new%3:00:00::	5	-	A
451-new%3:00:00::	5	-	C
451-new%3:00:00::	5	-	D
451-new%3:00:00::	5	-	G
451-new%3:00:00::	5	-	H
451-new%3:00:00::	5	-	I
451-new%3:00:00::	5	-	J
451-new%3:00:09::	1	-	C
451-new%3:00:09::	1	-	F
451-new%3:00:09::	1	-	G
451-new%3:00:09::	1	-	H
451-new%3:00:09::	1	-	I
451-new%3:00:09::	2	-	J
451-new%3:00:09::	3	-	D
451-new%3:00:09::	5	-	A
451-new%5:00:00:early:02	1	-	C
451-new%5:00:00:early:02	1	-	F
451-new%5:00:00:early:02	2	-	D
451-new%5:00:00:early:02	2	-	H
451-new%5:00:00:early:02	2	-	J
451-new%5:00:00:early:02	3	-	G
451-new%5:00:00:early:02	3	-	I
451-new%5:00:00:early:02	5	-	A
451-new%5:00:00:inexperienced:00	1	-	A
451-new%5:00:00:inexperienced:00	1	-	C
451-new%5:00:00:inexperienced:00	1	-	F
451-new%5:00:00:inexperienced:00	1	-	G
451-new%5:00:00:inexperienced:00	2	-	D
451-new%5:00:00:inexperienced:00	2	-	J
451-new%5:00:00:inexperienced:00	3	-	I
451-new%5:00:00:inexperienced:00	4	-	H
451-new%5:00:00:original:00	3	-	H
451-new%5:00:00:original:00	4	-	D
451-new%5:00:00:original:00	5	-	A
451-new%5:00:00:original:00	5	-	C
451-new%5:00:00:original:00	5	-	F
451-new%5:00:00:original:00	5	-	G
451-new%5:00:00:original:00	5	-	I
451-new%5:00:00:original:00	5	-	J
451-new%5:00:00:other:00	1	-	D
451-new%5:00:00:other:00	1	-	H
451-new%5:00:00:other:00	2	-	J
451-new%5:00:00:other:00	3	-	I
451-new%5:00:00:other:00	4	-	A
451-new%5:00:00:other:00	4	-	F
451-new%5:00:00:other:00	5	-	C
451-new%5:00:00:other:00	5	-	G
451-new%5:00:00:unaccustomed:00	1	-	F
451-new%5:00:00:unaccustomed:00	2	-	D
451-new%5:00:00:unaccustomed:00	3	-	I
451-new%5:00:00:unaccustomed:00	3	-	J
451-new%5:00:00:unaccustomed:00	4	-	C
451-new%5:00:00:unaccustomed:00	4	-	G
451-new%5:00:00:unaccustomed:00	5	-	A
451-new%5:00:00:unaccustomed:00	5	-	H
451-new%5:00:00:unprecedented:00	1	-	A
451-new%5:00:00:unprecedented:00	1	-	D
451-new%5:00:00:unprecedented:00	1	-	F
451-new%5:00:00:unprecedented:00	1	-	H
451-new%5:00:00:unprecedented:00	2	-	J
451-new%5:00:00:unprecedented:00	4	-	C
451-new%5:00:00:unprecedented:00	4	-	G
451-new%5:00:00:unprecedented:00	4	-	I
451-new%5:00:01:late:01	1	-	A
451-new%5:00:01:late:01	1	-	C
451-new%5:00:01:late:01	1	-	D
451-new%5:00:01:late:01	1	-	F
451-new%5:00:01:late:01	1	-	I
451-new%5:00:01:late:01	2	-	H
451-new%5:00:01:late:01	2	-	J
451-new%5:00:01:late:01	4	-	G
451-new%5:00:02:late:01	1	-	A
451-new%5:00:02:late:01	1	-	C
451-new%5:00:02:late:01	1	-	D
451-new%5:00:02:late:01	1	-	F
451-new%5:00:02:late:01	1	-	G
451-new%5:00:02:late:01	1	-	H
451-new%5:00:02:late:01	1	-	I
451-new%5:00:02:late:01	1	-	J
451-new%5:00:02:original:00	1	-	C
451-new%5:00:02:original:00	1	-	D
451-new%5:00:02:original:00	1	-	F
451-new%5:00:02:original:00	1	-	J
451-new%5:00:02:original:00	2	-	H
451-new%5:00:02:original:00	3	-	G
451-new%5:00:02:original:00	3	-	I
451-new%5:00:02:original:00	5	-	A
452-new%3:00:00::	1	-	C
452-new%3:00:00::	1	-	I
452-new%3:00:00::	2	-	J
452-new%3:00:00::	3	-	G
452-new%3:00:00::	4	-	D
452-new%3:00:00::	4	-	H
452-new%3:00:00::	5	-	A
452-new%3:00:00::	5	-	F
452-new%3:00:09::	1	-	A
452-new%3:00:09::	1	-	C
452-new%3:00:09::	1	-	F
452-new%3:00:09::	1	-	I
452-new%3:00:09::	2	-	D
452-new%3:00:09::	2	-	J
452-new%3:00:09::	3	-	G
452-new%3:00:09::	5	-	H
452-new%5:00:00:early:02	1	-	A
452-new%5:00:00:early:02	1	-	C
452-new%5:00:00:early:02	1	-	D
452-new%5:00:00:early:02	1	-	F
452-new%5:00:00:early:02	1	-	I
452-new%5:00:00:early:02	2	-	G
452-new%5:00:00:early:02	2	-	H
452-new%5:00:00:early:02	2	-	J
452-new%5:00:00:inexperienced:00	1	-	A
452-new%5:00:00:inexperienced:00	1	-	C
452-new%5:00:00:inexperienced:00	1	-	D
452-new%5:00:00:inexperienced:00	1	-	F
452-new%5:00:00:inexperienced:00	1	-	G
452-new%5:00:00:inexperienced:00	1	-	H
452-new%5:00:00:inexperienced:00	1	-	I
452-new%5:00:00:inexperienced:00	2	-	J
452-new%5:00:00:original:00	1	-	F
452-new%5:00:00:original:00	1	-	H
452-new%5:00:00:original:00	2	-	I
452-new%5:00:00:original:00	3	-	D
452-new%5:00:00:original:00	3	-	J
452-new%5:00:00:original:00	5	-	A
452-new%5:00:00:original:00	5	-	C
452-new%5:00:00:original:00	5	-	G
452-new%5:00:00:other:00	1	-	D
452-new%5:00:00:other:00	3	-	A
452-new%5:00:00:other:00	4	-	F
452-new%5:00:00:other:00	4	-	G
452-new%5:00:00:other:00	5	-	C
452-new%5:00:00:other:00	5	-	H
452-new%5:00:00:other:00	5	-	I
452-new%5:00:00:other:00	5	-	J
452-new%5:00:00:unaccustomed:00	1	-	A
452-new%5:00:00:unaccustomed:00	1	-	F
452-new%5:00:00:unaccustomed:00	1	-	I
452-new%5:00:00:unaccustomed:00	2	-	D
452-new%5:00:00:unaccustomed:00	2	-	G
452-new%5:00:00:unaccustomed:00	2	-	H
452-new%5:00:00:unaccustomed:00	2	-	J
452-new%5:00:00:unaccustomed:00	3	-	C
452-new%5:00:00:unprecedented:00	1	-	A
452-new%5:00:00:unprecedented:00	1	-	C
452-new%5:00:00:unprecedented:00	1	-	D
452-new%5:00:00:unprecedented:00	1	-	F
452-new%5:00:00:unprecedented:00	1	-	H
452-new%5:00:00:unprecedented:00	1	-	I
452-new%5:00:00:unprecedented:00	2	-	G
452-new%5:00:00:unprecedented:00	3	-	J
452-new%5:00:01:late:01	1	-	A
452-new%5:00:01:late:01	1	-	C
452-new%5:00:01:late:01	1	-	F
452-new%5:00:01:late:01	1	-	H
452-new%5:00:01:late:01	1	-	I
452-new%5:00:01:late:01	2	-	D
452-new%5:00:01:late:01	2	-	G
452-new%5:00:01:late:01	2	-	J
452-new%5:00:02:late:01	1	-	A
452-new%5:00:02:late:01	1	-	C
452-new%5:00:02:late:01	1	-	D
452-new%5:00:02:late:01	1	-	F
452-new%5:00:02:late:01	1	-	G
452-new%5:00:02:late:01	1	-	H
452-new%5:00:02:late:01	1	-	I
452-new%5:00:02:late:01	1	-	J
452-new%5:00:02:original:00	1	-	A
452-new%5:00:02:original:00	1	-	C
452-new%5:00:02:original:00	1	-	D
452-new%5:00:02:original:00	1	-	F
452-new%5:00:02:original:00	1	-	G
452-new%5:00:02:original:00	1	-	H
452-new%5:00:02:original:00	1	-	I
452-new%5:00:02:original:00	1	-	J
453-new%3:00:00::	1	-	C
453-new%3:00:00::	1	-	I
453-new%3:00:00::	3	-	G
453-new%3:00:00::	4	-	D
453-new%3:00:00::	4	-	F
453-new%3:00:00::	4	-	H
453-new%3:00:00::	4	-	J
453-new%3:00:00::	5	-	A
453-new%3:00:09::	1	-	A
453-new%3:00:09::	1	-	C
453-new%3:00:09::	1	-	F
453-new%3:00:09::	1	-	H
453-new%3:00:09::	1	-	I
453-new%3:00:09::	2	-	J
453-new%3:00:09::	3	-	D
453-new%3:00:09::	3	-	G
453-new%5:00:00:early:02	1	-	C
453-new%5:00:00:early:02	1	-	F
453-new%5:00:00:early:02	1	-	H
453-new%5:00:00:early:02	2	-	D
453-new%5:00:00:early:02	2	-	I
453-new%5:00:00:early:02	2	-	J
453-new%5:00:00:early:02	3	-	A
453-new%5:00:00:early:02	3	-	G
453-new%5:00:00:inexperienced:00	1	-	C
453-new%5:00:00:inexperienced:00	1	-	F
453-new%5:00:00:inexperienced:00	1	-	H
453-new%5:00:00:inexperienced:00	1	-	I
453-new%5:00:00:inexperienced:00	2	-	A
453-new%5:00:00:inexperienced:00	2	-	D
453-new%5:00:00:inexperienced:00	2	-	G
453-new%5:00:00:inexperienced:00	2	-	J
453-new%5:00:00:original:00	4	-	D
453-new%5:00:00:original:00	5	-	A
453-new%5:00:00:original:00	5	-	C
453-new%5:00:00:original:00	5	-	F
453-new%5:00:00:original:00	5	-	G
453-new%5:00:00:original:00	5	-	H
453-new%5:00:00:original:00	5	-	I
453-new%5:00:00:original:00	5	-	J
453-new%5:00:00:other:00	1	-	C
453-new%5:00:00:other:00	1	-	D
453-new%5:00:00:other:00	1	-	I
453-new%5:00:00:other:00	3	-	F
453-new%5:00:00:other:00	3	-	J
453-new%5:00:00:other:00	4	-	G
453-new%5:00:00:other:00	4	-	H
453-new%5:00:00:other:00	5	-	A
453-new%5:00:00:unaccustomed:00	1	-	C
453-new%5:00:00:unaccustomed:00	1	-	D
453-new%5:00:00:unaccustomed:00	1	-	F
453-new%5:00:00:unaccustomed:00	1	-	I
453-new%5:00:00:unaccustomed:00	3	-	H
453-new%5:00:00:unaccustomed:00	4	-	A
453-new%5:00:00:unaccustomed:00	4	-	G
453-new%5:00:00:unaccustomed:00	5	-	J
453-new%5:00:00:unprecedented:00	1	-	A
453-new%5:00:00:unprecedented:00	1	-	C
453-new%5:00:00:unprecedented:00	1	-	D
453-new%5:00:00:unprecedented:00	1	-	I
453-new%5:00:00:unprecedented:00	3	-	F
453-new%5:00:00:unprecedented:00	3	-	H
453-new%5:00:00:unprecedented:00	4	-	G
453-new%5:00:00:unprecedented:00	5	-	J
453-new%5:00:01:late:01	1	-	A
453-new%5:00:01:late:01	1	-	C
453-new%5:00:01:late:01	1	-	D
453-new%5:00:01:late:01	1	-	F
453-new%5:00:01:late:01	1	-	H
453-new%5:00:01:late:01	1	-	I
453-new%5:00:01:late:01	1	-	J
453-new%5:00:01:late:01	3	-	G
453-new%5:00:02:late:01	1	-	A
453-new%5:00:02:late:01	1	-	C
453-new%5:00:02:late:01	1	-	D
453-new%5:00:02:late:01	1	-	F
453-new%5:00:02:late:01	1	-	G
453-new%5:00:02:late:01	1	-	H
453-new%5:00:02:late:01	1	-	I
453-new%5:00:02:late:01	1	-	J
453-new%5:00:02:original:00	1	-	A
453-new%5:00:02:original:00	1	-	C
453-new%5:00:02:original:00	1	-	D
453-new%5:00:02:original:00	1	-	F
453-new%5:00:02:original:00	1	-	G
453-new%5:00:02:original:00	1	-	I
453-new%5:00:02:original:00	1	-	J
453-new%5:00:02:original:00	3	-	H
454-new%3:00:00::	1	-	C
454-new%3:00:00::	2	-	A
454-new%3:00:00::	2	-	I
454-new%3:00:00::	2	-	J
454-new%3:00:00::	3	-	D
454-new%3:00:00::	4	-	G
454-new%3:00:00::	5	-	F
454-new%3:00:00::	5	-	H
454-new%3:00:09::	1	-	A
454-new%3:00:09::	1	-	C
454-new%3:00:09::	1	-	F
454-new%3:00:09::	1	-	H
454-new%3:00:09::	1	-	I
454-new%3:00:09::	2	-	G
454-new%3:00:09::	3	-	D
454-new%3:00:09::	4	-	J
454-new%5:00:00:early:02	1	-	F
454-new%5:00:00:early:02	2	-	J
454-new%5:00:00:early:02	3	-	G
454-new%5:00:00:early:02	5	-	A
454-new%5:00:00:early:02	5	-	C
454-new%5:00:00:early:02	5	-	D
454-new%5:00:00:early:02	5	-	H
454-new%5:00:00:early:02	5	-	I
454-new%5:00:00:inexperienced:00	1	-	C
454-new%5:00:00:inexperienced:00	1	-	D
454-new%5:00:00:inexperienced:00	1	-	F
454-new%5:00:00:inexperienced:00	1	-	G
454-new%5:00:00:inexperienced:00	1	-	H
454-new%5:00:00:inexperienced:00	1	-	I
454-new%5:00:00:inexperienced:00	3	-	J
454-new%5:00:00:inexperienced:00	4	-	A
454-new%5:00:00:original:00	1	-	C
454-new%5:00:00:original:00	1	-	D
454-new%5:00:00:original:00	1	-	F
454-new%5:00:00:original:00	2	-	H
454-new%5:00:00:original:00	2	-	I
454-new%5:00:00:original:00	3	-	J
454-new%5:00:00:original:00	4	-	A
454-new%5:00:00:original:00	4	-	G
454-new%5:00:00:other:00	1	-	A
454-new%5:00:00:other:00	1	-	C
454-new%5:00:00:other:00	1	-	D
454-new%5:00:00:other:00	1	-	F
454-new%5:00:00:other:00	1	-	I
454-new%5:00:00:other:00	4	-	G
454-new%5:00:00:other:00	4	-	J
454-new%5:00:00:other:00	5	-	H
454-new%5:00:00:unaccustomed:00	1	-	C
454-new%5:00:00:unaccustomed:00	1	-	D
454-new%5:00:00:unaccustomed:00	1	-	F
454-new%5:00:00:unaccustomed:00	1	-	H
454-new%5:00:00:unaccustomed:00	1	-	I
454-new%5:00:00:unaccustomed:00	2	-	A
454-new%5:00:00:unaccustomed:00	3	-	G
454-new%5:00:00:unaccustomed:00	4	-	J
454-new%5:00:00:unprecedented:00	1	-	A
454-new%5:00:00:unprecedented:00	1	-	C
454-new%5:00:00:unprecedented:00	1	-	D
454-new%5:00:00:unprecedented:00	1	-	F
454-new%5:00:00:unprecedented:00	1	-	H
454-new%5:00:00:unprecedented:00	1	-	I
454-new%5:00:00:unprecedented:00	3	-	G
454-new%5:00:00:unprecedented:00	3	-	J
454-new%5:00:01:late:01	1	-	A
454-new%5:00:01:late:01	1	-	C
454-new%5:00:01:late:01	1	-	D
454-new%5:00:01:late:01	1	-	F
454-new%5:00:01:late:01	1	-	H
454-new%5:00:01:late:01	1	-	I
454-new%5:00:01:late:01	2	-	J
454-new%5:00:01:late:01	3	-	G
454-new%5:00:02:late:01	1	-	A
454-new%5:00:02:late:01	1	-	C
454-new%5:00:02:late:01	1	-	D
454-new%5:00:02:late:01	1	-	F
454-new%5:00:02:late:01	1	-	G
454-new%5:00:02:late:01	1	-	H
454-new%5:00:02:late:01	1	-	I
454-new%5:00:02:late:01	1	-	J
454-new%5:00:02:original:00	1	-	A
454-new%5:00:02:original:00	1	-	C
454-new%5:00:02:original:00	1	-	D
454-new%5:00:02:original:00	1	-	F
454-new%5:00:02:original:00	1	-	G
454-new%5:00:02:original:00	1	-	H
454-new%5:00:02:original:00	1	-	I
454-new%5:00:02:original:00	1	-	J
455-new%3:00:00::	1	-	C
455-new%3:00:00::	1	-	I
455-new%3:00:00::	2	-	J
455-new%3:00:00::	3	-	G
455-new%3:00:00::	4	-	D
455-new%3:00:00::	4	-	F
455-new%3:00:00::	5	-	A
455-new%3:00:00::	5	-	H
455-new%3:00:09::	1	-	A
455-new%3:00:09::	1	-	C
455-new%3:00:09::	1	-	F
455-new%3:00:09::	1	-	H
455-new%3:00:09::	1	-	I
455-new%3:00:09::	1	-	J
455-new%3:00:09::	2	-	G
455-new%3:00:09::	3	-	D
455-new%5:00:00:early:02	1	-	C
455-new%5:00:00:early:02	1	-	D
455-new%5:00:00:early:02	1	-	F
455-new%5:00:00:early:02	1	-	H
455-new%5:00:00:early:02	1	-	I
455-new%5:00:00:early:02	1	-	J
455-new%5:00:00:early:02	2	-	A
455-new%5:00:00:early:02	2	-	G
455-new%5:00:00:inexperienced:00	1	-	C
455-new%5:00:00:inexperienced:00	1	-	F
455-new%5:00:00:inexperienced:00	1	-	I
455-new%5:00:00:inexperienced:00	1	-	J
455-new%5:00:00:inexperienced:00	2	-	A
455-new%5:00:00:inexperienced:00	2	-	D
455-new%5:00:00:inexperienced:00	2	-	G
455-new%5:00:00:inexperienced:00	2	-	H
455-new%5:00:00:original:00	3	-	D
455-new%5:00:00:original:00	5	-	A
455-new%5:00:00:original:00	5	-	C
455-new%5:00:00:original:00	5	-	F
455-new%5:00:00:original:00	5	-	G
455-new%5:00:00:original:00	5	-	H
455-new%5:00:00:original:00	5	-	I
455-new%5:00:00:original:00	5	-	J
455-new%5:00:00:other:00	1	-	C
455-new%5:00:00:other:00	1	-	I
455-new%5:00:00:other:00	3	-	G
455-new%5:00:00:other:00	4	-	D
455-new%5:00:00:other:00	4	-	F
455-new%5:00:00:other:00	4	-	H
455-new%5:00:00:other:00	4	-	J
455-new%5:00:00:other:00	5	-	A
455-new%5:00:00:unaccustomed:00	1	-	C
455-new%5:00:00:unaccustomed:00	1	-	D
455-new%5:00:00:unaccustomed:00	1	-	F
455-new%5:00:00:unaccustomed:00	1	-	I
455-new%5:00:00:unaccustomed:00	3	-	G
455-new%5:00:00:unaccustomed:00	3	-	J
455-new%5:00:00:unaccustomed:00	4	-	H
455-new%5:00:00:unaccustomed:00	5	-	A
455-new%5:00:00:unprecedented:00	1	-	C
455-new%5:00:00:unprecedented:00	1	-	F
455-new%5:00:00:unprecedented:00	1	-	I
455-new%5:00:00:unprecedented:00	2	-	A
455-new%5:00:00:unprecedented:00	2	-	D
455-new%5:00:00:unprecedented:00	3	-	G
455-new%5:00:00:unprecedented:00	3	-	J
455-new%5:00:00:unprecedented:00	5	-	H
455-new%5:00:01:late:01	1	-	C
455-new%5:00:01:late:01	1	-	D
455-new%5:00:01:late:01	1	-	F
455-new%5:00:01:late:01	1	-	G
455-new%5:00:01:late:01	1	-	H
455-new%5:00:01:late:01	1	-	I
455-new%5:00:01:late:01	1	-	J
455-new%5:00:01:late:01	3	-	A
455-new%5:00:02:late:01	1	-	A
455-new%5:00:02:late:01	1	-	C
455-new%5:00:02:late:01	1	-	D
455-new%5:00:02:late:01	1	-	F
455-new%5:00:02:late:01	1	-	G
455-new%5:00:02:late:01	1	-	H
455-new%5:00:02:late:01	1	-	I
455-new%5:00:02:late:01	1	-	J
455-new%5:00:02:original:00	1	-	A
455-new%5:00:02:original:00	1	-	C
455-new%5:00:02:original:00	1	-	D
455-new%5:00:02:original:00	1	-	F
455-new%5:00:02:original:00	1	-	G
455-new%5:00:02:original:00	1	-	I
455-new%5:00:02:original:00	1	-	J
455-new%5:00:02:original:00	2	-	H
456-new%3:00:00::	1	-	I
456-new%3:00:00::	4	-	D
456-new%3:00:00::	4	-	F
456-new%3:00:00::	4	-	J
456-new%3:00:00::	5	-	A
456-new%3:00:00::	5	-	C
456-new%3:00:00::	5	-	G
456-new%3:00:00::	5	-	H
456-new%3:00:09::	1	-	A
456-new%3:00:09::	1	-	C
456-new%3:00:09::	1	-	F
456-new%3:00:09::	1	-	H
456-new%3:00:09::	1	-	I
456-new%3:00:09::	2	-	D
456-new%3:00:09::	2	-	G
456-new%3:00:09::	2	-	J
456-new%5:00:00:early:02	1	-	C
456-new%5:00:00:early:02	1	-	D
456-new%5:00:00:early:02	1	-	F
456-new%5:00:00:early:02	1	-	H
456-new%5:00:00:early:02	1	-	I
456-new%5:00:00:early:02	1	-	J
456-new%5:00:00:early:02	2	-	A
456-new%5:00:00:early:02	2	-	G
456-new%5:00:00:inexperienced:00	1	-	C
456-new%5:00:00:inexperienced:00	1	-	D
456-new%5:00:00:inexperienced:00	1	-	F
456-new%5:00:00:inexperienced:00	1	-	H
456-new%5:00:00:inexperienced:00	1	-	I
456-new%5:00:00:inexperienced:00	1	-	J
456-new%5:00:00:inexperienced:00	2	-	G
456-new%5:00:00:inexperienced:00	5	-	A
456-new%5:00:00:original:00	3	-	D
456-new%5:00:00:original:00	3	-	J
456-new%5:00:00:original:00	5	-	A
456-new%5:00:00:original:00	5	-	C
456-new%5:00:00:original:00	5	-	F
456-new%5:00:00:original:00	5	-	G
456-new%5:00:00:original:00	5	-	H
456-new%5:00:00:original:00	5	-	I
456-new%5:00:00:other:00	1	-	C
456-new%5:00:00:other:00	1	-	D
456-new%5:00:00:other:00	1	-	F
456-new%5:00:00:other:00	2	-	G
456-new%5:00:00:other:00	2	-	H
456-new%5:00:00:other:00	2	-	I
456-new%5:00:00:other:00	4	-	J
456-new%5:00:00:other:00	5	-	A
456-new%5:00:00:unaccustomed:00	1	-	C
456-new%5:00:00:unaccustomed:00	1	-	F
456-new%5:00:00:unaccustomed:00	1	-	I
456-new%5:00:00:unaccustomed:00	2	-	D
456-new%5:00:00:unaccustomed:00	2	-	G
456-new%5:00:00:unaccustomed:00	3	-	H
456-new%5:00:00:unaccustomed:00	3	-	J
456-new%5:00:00:unaccustomed:00	4	-	A
456-new%5:00:00:unprecedented:00	1	-	C
456-new%5:00:00:unprecedented:00	1	-	D
456-new%5:00:00:unprecedented:00	1	-	F
456-new%5:00:00:unprecedented:00	1	-	I
456-new%5:00:00:unprecedented:00	2	-	J
456-new%5:00:00:unprecedented:00	3	-	G
456-new%5:00:00:unprecedented:00	4	-	A
456-new%5:00:00:unprecedented:00	4	-	H
456-new%5:00:01:late:01	1	-	C
456-new%5:00:01:late:01	1	-	D
456-new%5:00:01:late:01	1	-	F
456-new%5:00:01:late:01	1	-	G
456-new%5:00:01:late:01	1	-	H
456-new%5:00:01:late:01	1	-	I
456-new%5:00:01:late:01	1	-	J
456-new%5:00:01:late:01	2	-	A
456-new%5:00:02:late:01	1	-	A
456-new%5:00:02:late:01	1	-	C
456-new%5:00:02:late:01	1	-	D
456-new%5:00:02:late:01	1	-	F
456-new%5:00:02:late:01	1	-	G
456-new%5:00:02:late:01	1	-	H
456-new%5:00:02:late:01	1	-	I
456-new%5:00:02:late:01	1	-	J
456-new%5:00:02:original:00	1	-	A
456-new%5:00:02:original:00	1	-	C
456-new%5:00:02:original:00	1	-	D
