instanceID	dataIDs	label_set	non_label
1021-order%2:30:00::	1021,order%2:30:00::	5,4,3,2,1	-
1021-order%2:30:01::	1021,order%2:30:01::	5,4,3,2,1	-
1021-order%2:31:00::	1021,order%2:31:00::	5,4,3,2,1	-
1021-order%2:31:01::	1021,order%2:31:01::	5,4,3,2,1	-
1021-order%2:32:00::	1021,order%2:32:00::	5,4,3,2,1	-
1021-order%2:32:01::	1021,order%2:32:01::	5,4,3,2,1	-
1021-order%2:32:02::	1021,order%2:32:02::	5,4,3,2,1	-
1021-order%2:41:01::	1021,order%2:41:01::	5,4,3,2,1	-
1021-order%2:41:02::	1021,order%2:41:02::	5,4,3,2,1	-
1022-order%2:30:00::	1022,order%2:30:00::	5,4,3,2,1	-
1022-order%2:30:01::	1022,order%2:30:01::	5,4,3,2,1	-
1022-order%2:31:00::	1022,order%2:31:00::	5,4,3,2,1	-
1022-order%2:31:01::	1022,order%2:31:01::	5,4,3,2,1	-
1022-order%2:32:00::	1022,order%2:32:00::	5,4,3,2,1	-
1022-order%2:32:01::	1022,order%2:32:01::	5,4,3,2,1	-
1022-order%2:32:02::	1022,order%2:32:02::	5,4,3,2,1	-
1022-order%2:41:01::	1022,order%2:41:01::	5,4,3,2,1	-
1022-order%2:41:02::	1022,order%2:41:02::	5,4,3,2,1	-
1023-order%2:30:00::	1023,order%2:30:00::	5,4,3,2,1	-
1023-order%2:30:01::	1023,order%2:30:01::	5,4,3,2,1	-
1023-order%2:31:00::	1023,order%2:31:00::	5,4,3,2,1	-
1023-order%2:31:01::	1023,order%2:31:01::	5,4,3,2,1	-
1023-order%2:32:00::	1023,order%2:32:00::	5,4,3,2,1	-
1023-order%2:32:01::	1023,order%2:32:01::	5,4,3,2,1	-
1023-order%2:32:02::	1023,order%2:32:02::	5,4,3,2,1	-
1023-order%2:41:01::	1023,order%2:41:01::	5,4,3,2,1	-
1023-order%2:41:02::	1023,order%2:41:02::	5,4,3,2,1	-
1024-order%2:30:00::	1024,order%2:30:00::	5,4,3,2,1	-
1024-order%2:30:01::	1024,order%2:30:01::	5,4,3,2,1	-
1024-order%2:31:00::	1024,order%2:31:00::	5,4,3,2,1	-
1024-order%2:31:01::	1024,order%2:31:01::	5,4,3,2,1	-
1024-order%2:32:00::	1024,order%2:32:00::	5,4,3,2,1	-
1024-order%2:32:01::	1024,order%2:32:01::	5,4,3,2,1	-
1024-order%2:32:02::	1024,order%2:32:02::	5,4,3,2,1	-
1024-order%2:41:01::	1024,order%2:41:01::	5,4,3,2,1	-
1024-order%2:41:02::	1024,order%2:41:02::	5,4,3,2,1	-
1025-order%2:30:00::	1025,order%2:30:00::	5,4,3,2,1	-
1025-order%2:30:01::	1025,order%2:30:01::	5,4,3,2,1	-
1025-order%2:31:00::	1025,order%2:31:00::	5,4,3,2,1	-
1025-order%2:31:01::	1025,order%2:31:01::	5,4,3,2,1	-
1025-order%2:32:00::	1025,order%2:32:00::	5,4,3,2,1	-
1025-order%2:32:01::	1025,order%2:32:01::	5,4,3,2,1	-
1025-order%2:32:02::	1025,order%2:32:02::	5,4,3,2,1	-
1025-order%2:41:01::	1025,order%2:41:01::	5,4,3,2,1	-
1025-order%2:41:02::	1025,order%2:41:02::	5,4,3,2,1	-
1026-order%2:30:00::	1026,order%2:30:00::	5,4,3,2,1	-
1026-order%2:30:01::	1026,order%2:30:01::	5,4,3,2,1	-
1026-order%2:31:00::	1026,order%2:31:00::	5,4,3,2,1	-
1026-order%2:31:01::	1026,order%2:31:01::	5,4,3,2,1	-
1026-order%2:32:00::	1026,order%2:32:00::	5,4,3,2,1	-
1026-order%2:32:01::	1026,order%2:32:01::	5,4,3,2,1	-
1026-order%2:32:02::	1026,order%2:32:02::	5,4,3,2,1	-
1026-order%2:41:01::	1026,order%2:41:01::	5,4,3,2,1	-
1026-order%2:41:02::	1026,order%2:41:02::	5,4,3,2,1	-
1027-order%2:30:00::	1027,order%2:30:00::	5,4,3,2,1	-
1027-order%2:30:01::	1027,order%2:30:01::	5,4,3,2,1	-
1027-order%2:31:00::	1027,order%2:31:00::	5,4,3,2,1	-
1027-order%2:31:01::	1027,order%2:31:01::	5,4,3,2,1	-
1027-order%2:32:00::	1027,order%2:32:00::	5,4,3,2,1	-
1027-order%2:32:01::	1027,order%2:32:01::	5,4,3,2,1	-
1027-order%2:32:02::	1027,order%2:32:02::	5,4,3,2,1	-
1027-order%2:41:01::	1027,order%2:41:01::	5,4,3,2,1	-
