instanceID	dataIDs	label_set	non_label
1531-range%1:06:00::	1531,range%1:06:00::	5,4,3,2,1	-
1531-range%1:06:01::	1531,range%1:06:01::	5,4,3,2,1	-
1531-range%1:07:00::	1531,range%1:07:00::	5,4,3,2,1	-
1531-range%1:09:00::	1531,range%1:09:00::	5,4,3,2,1	-
1531-range%1:14:00::	1531,range%1:14:00::	5,4,3,2,1	-
1531-range%1:14:01::	1531,range%1:14:01::	5,4,3,2,1	-
1531-range%1:15:01::	1531,range%1:15:01::	5,4,3,2,1	-
1531-range%1:15:02::	1531,range%1:15:02::	5,4,3,2,1	-
1531-range%1:17:00::	1531,range%1:17:00::	5,4,3,2,1	-
1532-range%1:06:00::	1532,range%1:06:00::	5,4,3,2,1	-
1532-range%1:06:01::	1532,range%1:06:01::	5,4,3,2,1	-
1532-range%1:07:00::	1532,range%1:07:00::	5,4,3,2,1	-
1532-range%1:09:00::	1532,range%1:09:00::	5,4,3,2,1	-
1532-range%1:14:00::	1532,range%1:14:00::	5,4,3,2,1	-
1532-range%1:14:01::	1532,range%1:14:01::	5,4,3,2,1	-
1532-range%1:15:01::	1532,range%1:15:01::	5,4,3,2,1	-
1532-range%1:15:02::	1532,range%1:15:02::	5,4,3,2,1	-
1532-range%1:17:00::	1532,range%1:17:00::	5,4,3,2,1	-
1533-range%1:06:00::	1533,range%1:06:00::	5,4,3,2,1	-
1533-range%1:06:01::	1533,range%1:06:01::	5,4,3,2,1	-
1533-range%1:07:00::	1533,range%1:07:00::	5,4,3,2,1	-
1533-range%1:09:00::	1533,range%1:09:00::	5,4,3,2,1	-
1533-range%1:14:00::	1533,range%1:14:00::	5,4,3,2,1	-
1533-range%1:14:01::	1533,range%1:14:01::	5,4,3,2,1	-
1533-range%1:15:01::	1533,range%1:15:01::	5,4,3,2,1	-
1533-range%1:15:02::	1533,range%1:15:02::	5,4,3,2,1	-
1533-range%1:17:00::	1533,range%1:17:00::	5,4,3,2,1	-
1534-range%1:06:00::	1534,range%1:06:00::	5,4,3,2,1	-
1534-range%1:06:01::	1534,range%1:06:01::	5,4,3,2,1	-
1534-range%1:07:00::	1534,range%1:07:00::	5,4,3,2,1	-
1534-range%1:09:00::	1534,range%1:09:00::	5,4,3,2,1	-
1534-range%1:14:00::	1534,range%1:14:00::	5,4,3,2,1	-
1534-range%1:14:01::	1534,range%1:14:01::	5,4,3,2,1	-
1534-range%1:15:01::	1534,range%1:15:01::	5,4,3,2,1	-
1534-range%1:15:02::	1534,range%1:15:02::	5,4,3,2,1	-
1534-range%1:17:00::	1534,range%1:17:00::	5,4,3,2,1	-
1535-range%1:06:00::	1535,range%1:06:00::	5,4,3,2,1	-
1535-range%1:06:01::	1535,range%1:06:01::	5,4,3,2,1	-
1535-range%1:07:00::	1535,range%1:07:00::	5,4,3,2,1	-
1535-range%1:09:00::	1535,range%1:09:00::	5,4,3,2,1	-
1535-range%1:14:00::	1535,range%1:14:00::	5,4,3,2,1	-
1535-range%1:14:01::	1535,range%1:14:01::	5,4,3,2,1	-
1535-range%1:15:01::	1535,range%1:15:01::	5,4,3,2,1	-
