instanceID	label	comment	annotator
1531-range%1:06:00::	1	-	A
1531-range%1:06:00::	1	-	C
1531-range%1:06:00::	1	-	D
1531-range%1:06:00::	1	-	F
1531-range%1:06:00::	1	-	G
1531-range%1:06:00::	1	-	H
1531-range%1:06:00::	1	-	I
1531-range%1:06:00::	1	-	J
1531-range%1:06:01::	1	-	A
1531-range%1:06:01::	1	-	C
1531-range%1:06:01::	1	-	D
1531-range%1:06:01::	1	-	F
1531-range%1:06:01::	1	-	G
1531-range%1:06:01::	1	-	H
1531-range%1:06:01::	1	-	I
1531-range%1:06:01::	1	-	J
1531-range%1:07:00::	1	-	C
1531-range%1:07:00::	1	-	F
1531-range%1:07:00::	1	-	I
1531-range%1:07:00::	2	-	A
1531-range%1:07:00::	2	-	D
1531-range%1:07:00::	2	-	H
1531-range%1:07:00::	2	-	J
1531-range%1:07:00::	4	-	G
1531-range%1:09:00::	1	-	C
1531-range%1:09:00::	1	-	D
1531-range%1:09:00::	1	-	F
1531-range%1:09:00::	2	-	H
1531-range%1:09:00::	2	-	I
1531-range%1:09:00::	3	-	A
1531-range%1:09:00::	3	-	G
1531-range%1:09:00::	3	-	J
1531-range%1:14:00::	3	-	G
1531-range%1:14:00::	5	-	A
1531-range%1:14:00::	5	-	C
1531-range%1:14:00::	5	-	D
1531-range%1:14:00::	5	-	F
1531-range%1:14:00::	5	-	H
1531-range%1:14:00::	5	-	I
1531-range%1:14:00::	5	-	J
1531-range%1:14:01::	1	-	C
1531-range%1:14:01::	1	-	F
1531-range%1:14:01::	1	-	G
1531-range%1:14:01::	1	-	H
1531-range%1:14:01::	1	-	I
1531-range%1:14:01::	2	-	D
1531-range%1:14:01::	2	-	J
1531-range%1:14:01::	5	-	A
1531-range%1:15:01::	1	-	C
1531-range%1:15:01::	1	-	D
1531-range%1:15:01::	1	-	F
1531-range%1:15:01::	1	-	H
1531-range%1:15:01::	1	-	I
1531-range%1:15:01::	2	-	J
1531-range%1:15:01::	3	-	A
1531-range%1:15:01::	3	-	G
1531-range%1:15:02::	1	-	A
1531-range%1:15:02::	1	-	C
1531-range%1:15:02::	1	-	D
1531-range%1:15:02::	1	-	F
1531-range%1:15:02::	1	-	G
1531-range%1:15:02::	1	-	H
1531-range%1:15:02::	1	-	I
1531-range%1:15:02::	1	-	J
1531-range%1:17:00::	1	-	A
1531-range%1:17:00::	1	-	C
1531-range%1:17:00::	1	-	D
1531-range%1:17:00::	1	-	F
1531-range%1:17:00::	1	-	G
1531-range%1:17:00::	1	-	I
1531-range%1:17:00::	1	-	J
1531-range%1:17:00::	2	-	H
1532-range%1:06:00::	5	-	A
1532-range%1:06:00::	5	-	C
