instanceID	label	comment	annotator
111-rich%3:00:00::	1	-	A
111-rich%3:00:00::	1	-	C
111-rich%3:00:00::	1	-	D
111-rich%3:00:00::	1	-	F
111-rich%3:00:00::	1	-	G
111-rich%3:00:00::	1	-	H
111-rich%3:00:00::	1	-	I
111-rich%3:00:00::	1	-	J
111-rich%3:00:02::	3	-	F
111-rich%3:00:02::	4	-	H
111-rich%3:00:02::	5	-	A
111-rich%3:00:02::	5	-	C
111-rich%3:00:02::	5	-	D
111-rich%3:00:02::	5	-	G
111-rich%3:00:02::	5	-	I
111-rich%3:00:02::	5	-	J
111-rich%3:00:03::	1	-	C
111-rich%3:00:03::	1	-	D
111-rich%3:00:03::	1	-	F
111-rich%3:00:03::	1	-	I
111-rich%3:00:03::	2	-	J
111-rich%3:00:03::	3	-	G
111-rich%3:00:03::	3	-	H
111-rich%3:00:03::	4	-	A
111-rich%3:00:04::	1	-	C
111-rich%3:00:04::	1	-	D
111-rich%3:00:04::	1	-	F
111-rich%3:00:04::	1	-	G
111-rich%3:00:04::	1	-	H
111-rich%3:00:04::	1	-	I
111-rich%3:00:04::	1	-	J
111-rich%3:00:04::	3	-	A
111-rich%5:00:00:abundant:00	1	-	C
111-rich%5:00:00:abundant:00	2	-	F
111-rich%5:00:00:abundant:00	2	-	G
111-rich%5:00:00:abundant:00	2	-	I
111-rich%5:00:00:abundant:00	3	-	D
111-rich%5:00:00:abundant:00	3	-	J
111-rich%5:00:00:abundant:00	5	-	A
111-rich%5:00:00:abundant:00	5	-	H
111-rich%5:00:00:colorful:00	1	-	A
111-rich%5:00:00:colorful:00	1	-	D
111-rich%5:00:00:colorful:00	1	-	G
111-rich%5:00:00:colorful:00	1	-	I
111-rich%5:00:00:colorful:00	3	-	C
111-rich%5:00:00:colorful:00	3	-	H
111-rich%5:00:00:colorful:00	3	-	J
111-rich%5:00:00:colorful:00	5	-	F
111-rich%5:00:00:fruitful:00	1	-	A
111-rich%5:00:00:fruitful:00	1	-	C
111-rich%5:00:00:fruitful:00	1	-	D
111-rich%5:00:00:fruitful:00	1	-	F
111-rich%5:00:00:fruitful:00	1	-	G
111-rich%5:00:00:fruitful:00	1	-	I
111-rich%5:00:00:fruitful:00	2	-	H
111-rich%5:00:00:fruitful:00	3	-	J
111-rich%5:00:00:full:01	1	-	C
111-rich%5:00:00:full:01	1	-	D
111-rich%5:00:00:full:01	1	-	F
111-rich%5:00:00:full:01	1	-	G
111-rich%5:00:00:full:01	1	-	H
111-rich%5:00:00:full:01	1	-	I
111-rich%5:00:00:full:01	3	-	A
111-rich%5:00:00:full:01	3	-	J
111-rich%5:00:00:tasty:00	1	-	C
111-rich%5:00:00:tasty:00	1	-	D
111-rich%5:00:00:tasty:00	1	-	F
111-rich%5:00:00:tasty:00	1	-	G
111-rich%5:00:00:tasty:00	1	-	H
111-rich%5:00:00:tasty:00	1	-	I
111-rich%5:00:00:tasty:00	1	-	J
111-rich%5:00:00:tasty:00	2	-	A
111-rich%5:00:00:unwholesome:00	1	-	A
111-rich%5:00:00:unwholesome:00	1	-	C
111-rich%5:00:00:unwholesome:00	1	-	D
111-rich%5:00:00:unwholesome:00	1	-	F
111-rich%5:00:00:unwholesome:00	1	-	G
111-rich%5:00:00:unwholesome:00	1	-	H
111-rich%5:00:00:unwholesome:00	1	-	I
111-rich%5:00:00:unwholesome:00	1	-	J
111-rich%5:00:00:valuable:00	1	-	C
111-rich%5:00:00:valuable:00	1	-	H
111-rich%5:00:00:valuable:00	1	-	J
111-rich%5:00:00:valuable:00	2	-	I
111-rich%5:00:00:valuable:00	3	-	F
111-rich%5:00:00:valuable:00	4	-	A
111-rich%5:00:00:valuable:00	4	-	D
111-rich%5:00:00:valuable:00	5	-	G
111-rich%5:00:02:productive:00	1	-	C
111-rich%5:00:02:productive:00	1	-	D
111-rich%5:00:02:productive:00	1	-	H
111-rich%5:00:02:productive:00	1	-	I
111-rich%5:00:02:productive:00	1	-	J
111-rich%5:00:02:productive:00	2	-	G
111-rich%5:00:02:productive:00	3	-	F
111-rich%5:00:02:productive:00	5	-	A
112-rich%3:00:00::	5	-	A
112-rich%3:00:00::	5	-	C
112-rich%3:00:00::	5	-	D
112-rich%3:00:00::	5	-	F
112-rich%3:00:00::	5	-	G
112-rich%3:00:00::	5	-	H
112-rich%3:00:00::	5	-	I
112-rich%3:00:00::	5	-	J
112-rich%3:00:02::	1	-	C
112-rich%3:00:02::	1	-	F
112-rich%3:00:02::	1	-	I
112-rich%3:00:02::	1	-	J
112-rich%3:00:02::	2	-	G
112-rich%3:00:02::	3	-	D
112-rich%3:00:02::	4	-	H
112-rich%3:00:02::	5	-	A
112-rich%3:00:03::	1	-	C
112-rich%3:00:03::	1	-	D
112-rich%3:00:03::	1	-	F
112-rich%3:00:03::	1	-	G
112-rich%3:00:03::	1	-	H
112-rich%3:00:03::	1	-	I
112-rich%3:00:03::	2	-	A
112-rich%3:00:03::	2	-	J
112-rich%3:00:04::	1	-	A
112-rich%3:00:04::	1	-	C
112-rich%3:00:04::	1	-	F
112-rich%3:00:04::	1	-	G
112-rich%3:00:04::	1	-	H
112-rich%3:00:04::	1	-	I
112-rich%3:00:04::	2	-	J
112-rich%3:00:04::	3	-	D
112-rich%5:00:00:abundant:00	1	-	F
112-rich%5:00:00:abundant:00	1	-	G
112-rich%5:00:00:abundant:00	1	-	H
112-rich%5:00:00:abundant:00	1	-	I
112-rich%5:00:00:abundant:00	2	-	D
112-rich%5:00:00:abundant:00	2	-	J
112-rich%5:00:00:abundant:00	3	-	C
112-rich%5:00:00:abundant:00	4	-	A
112-rich%5:00:00:colorful:00	1	-	A
112-rich%5:00:00:colorful:00	1	-	C
112-rich%5:00:00:colorful:00	1	-	D
112-rich%5:00:00:colorful:00	1	-	F
112-rich%5:00:00:colorful:00	1	-	G
112-rich%5:00:00:colorful:00	1	-	H
112-rich%5:00:00:colorful:00	1	-	I
112-rich%5:00:00:colorful:00	1	-	J
112-rich%5:00:00:fruitful:00	1	-	A
112-rich%5:00:00:fruitful:00	1	-	C
112-rich%5:00:00:fruitful:00	1	-	D
112-rich%5:00:00:fruitful:00	1	-	F
112-rich%5:00:00:fruitful:00	1	-	G
112-rich%5:00:00:fruitful:00	1	-	H
112-rich%5:00:00:fruitful:00	1	-	I
112-rich%5:00:00:fruitful:00	1	-	J
112-rich%5:00:00:full:01	1	-	A
