instanceID	label	comment	annotator
1941-ring%1:06:00::	1	-	C
1941-ring%1:06:00::	1	-	F
1941-ring%1:06:00::	1	-	G
1941-ring%1:06:00::	1	-	I
1941-ring%1:06:00::	2	-	A
1941-ring%1:06:00::	2	-	H
1941-ring%1:06:00::	2	-	J
1941-ring%1:06:00::	3	-	D
1941-ring%1:06:01::	1	-	C
1941-ring%1:06:01::	1	-	D
1941-ring%1:06:01::	1	-	F
1941-ring%1:06:01::	1	-	G
1941-ring%1:06:01::	1	-	I
1941-ring%1:06:01::	2	-	A
1941-ring%1:06:01::	2	-	J
1941-ring%1:06:01::	3	-	H
1941-ring%1:06:02::	1	-	C
1941-ring%1:06:02::	2	-	A
1941-ring%1:06:02::	3	-	G
1941-ring%1:06:02::	4	-	D
1941-ring%1:06:02::	5	-	F
1941-ring%1:06:02::	5	-	H
1941-ring%1:06:02::	5	-	I
1941-ring%1:06:02::	5	-	J
1941-ring%1:06:03::	1	-	A
1941-ring%1:06:03::	1	-	C
1941-ring%1:06:03::	1	-	D
1941-ring%1:06:03::	1	-	F
1941-ring%1:06:03::	1	-	G
1941-ring%1:06:03::	1	-	H
1941-ring%1:06:03::	1	-	I
1941-ring%1:06:03::	1	-	J
1941-ring%1:07:00::	1	-	A
1941-ring%1:07:00::	1	-	C
1941-ring%1:07:00::	1	-	D
1941-ring%1:07:00::	1	-	F
1941-ring%1:07:00::	1	-	G
1941-ring%1:07:00::	1	-	H
1941-ring%1:07:00::	1	-	I
1941-ring%1:07:00::	1	-	J
1941-ring%1:11:00::	1	-	A
1941-ring%1:11:00::	1	-	C
1941-ring%1:11:00::	1	-	D
1941-ring%1:11:00::	1	-	F
1941-ring%1:11:00::	1	-	G
1941-ring%1:11:00::	1	-	H
1941-ring%1:11:00::	1	-	I
1941-ring%1:11:00::	1	-	J
1941-ring%1:14:00::	1	-	A
1941-ring%1:14:00::	1	-	C
1941-ring%1:14:00::	1	-	D
1941-ring%1:14:00::	1	-	F
1941-ring%1:14:00::	1	-	G
1941-ring%1:14:00::	1	-	H
1941-ring%1:14:00::	1	-	I
1941-ring%1:14:00::	1	-	J
1941-ring%1:17:00::	1	-	A
1941-ring%1:17:00::	1	-	C
1941-ring%1:17:00::	1	-	D
1941-ring%1:17:00::	1	-	F
1941-ring%1:17:00::	1	-	G
1941-ring%1:17:00::	1	-	I
1941-ring%1:17:00::	1	-	J
1941-ring%1:17:00::	2	-	H
1941-ring%1:25:00::	1	-	A
1941-ring%1:25:00::	1	-	F
1941-ring%1:25:00::	3	-	D
1941-ring%1:25:00::	3	-	G
1941-ring%1:25:00::	3	-	H
1941-ring%1:25:00::	3	-	I
1941-ring%1:25:00::	3	-	J
1941-ring%1:25:00::	5	-	C
1942-ring%1:06:00::	1	-	C
1942-ring%1:06:00::	1	-	F
1942-ring%1:06:00::	2	-	J
1942-ring%1:06:00::	3	-	H
1942-ring%1:06:00::	3	-	I
1942-ring%1:06:00::	4	-	A
1942-ring%1:06:00::	4	-	G
1942-ring%1:06:00::	5	-	D
1942-ring%1:06:01::	1	-	C
1942-ring%1:06:01::	1	-	D
1942-ring%1:06:01::	1	-	F
1942-ring%1:06:01::	1	-	I
1942-ring%1:06:01::	2	-	G
1942-ring%1:06:01::	2	-	J
1942-ring%1:06:01::	4	-	A
1942-ring%1:06:01::	4	-	H
1942-ring%1:06:02::	4	-	D
1942-ring%1:06:02::	5	-	A
1942-ring%1:06:02::	5	-	C
1942-ring%1:06:02::	5	-	F
1942-ring%1:06:02::	5	-	G
1942-ring%1:06:02::	5	-	H
1942-ring%1:06:02::	5	-	I
1942-ring%1:06:02::	5	-	J
1942-ring%1:06:03::	1	-	A
1942-ring%1:06:03::	1	-	C
1942-ring%1:06:03::	1	-	D
1942-ring%1:06:03::	1	-	F
1942-ring%1:06:03::	1	-	G
1942-ring%1:06:03::	1	-	H
1942-ring%1:06:03::	1	-	I
1942-ring%1:06:03::	1	-	J
1942-ring%1:07:00::	1	-	A
1942-ring%1:07:00::	1	-	C
1942-ring%1:07:00::	1	-	D
1942-ring%1:07:00::	1	-	F
1942-ring%1:07:00::	1	-	G
1942-ring%1:07:00::	1	-	H
1942-ring%1:07:00::	1	-	I
1942-ring%1:07:00::	1	-	J
1942-ring%1:11:00::	1	-	A
1942-ring%1:11:00::	1	-	C
1942-ring%1:11:00::	1	-	D
1942-ring%1:11:00::	1	-	F
1942-ring%1:11:00::	1	-	G
1942-ring%1:11:00::	1	-	H
1942-ring%1:11:00::	1	-	I
1942-ring%1:11:00::	1	-	J
1942-ring%1:14:00::	1	-	A
1942-ring%1:14:00::	1	-	C
1942-ring%1:14:00::	1	-	D
1942-ring%1:14:00::	1	-	F
1942-ring%1:14:00::	1	-	G
1942-ring%1:14:00::	1	-	H
1942-ring%1:14:00::	1	-	I
1942-ring%1:14:00::	1	-	J
1942-ring%1:17:00::	1	-	A
1942-ring%1:17:00::	1	-	C
1942-ring%1:17:00::	1	-	D
1942-ring%1:17:00::	1	-	F
1942-ring%1:17:00::	1	-	G
1942-ring%1:17:00::	1	-	I
1942-ring%1:17:00::	1	-	J
1942-ring%1:17:00::	2	-	H
1942-ring%1:25:00::	1	-	A
1942-ring%1:25:00::	1	-	C
1942-ring%1:25:00::	1	-	D
1942-ring%1:25:00::	1	-	F
1942-ring%1:25:00::	3	-	G
1942-ring%1:25:00::	3	-	H
1942-ring%1:25:00::	3	-	I
1942-ring%1:25:00::	3	-	J
1943-ring%1:06:00::	1	-	A
1943-ring%1:06:00::	1	-	C
