instanceID	label	comment	annotator
281-rough%3:00:00::	1	-	C
281-rough%3:00:00::	1	-	D
281-rough%3:00:00::	1	-	F
281-rough%3:00:00::	1	-	G
281-rough%3:00:00::	1	-	H
281-rough%3:00:00::	1	-	I
281-rough%3:00:00::	2	-	A
281-rough%3:00:00::	2	-	J
281-rough%3:00:02::	1	-	A
281-rough%3:00:02::	1	-	C
281-rough%3:00:02::	1	-	D
281-rough%3:00:02::	1	-	F
281-rough%3:00:02::	1	-	G
281-rough%3:00:02::	1	-	H
281-rough%3:00:02::	1	-	I
281-rough%3:00:02::	1	-	J
281-rough%3:00:04::	1	-	C
281-rough%3:00:04::	1	-	D
281-rough%3:00:04::	1	-	F
281-rough%3:00:04::	1	-	G
281-rough%3:00:04::	1	-	H
281-rough%3:00:04::	1	-	I
281-rough%3:00:04::	2	-	A
281-rough%3:00:04::	2	-	J
281-rough%3:00:05::	1	-	A
281-rough%3:00:05::	1	-	C
281-rough%3:00:05::	1	-	D
281-rough%3:00:05::	1	-	F
281-rough%3:00:05::	1	-	G
281-rough%3:00:05::	1	-	H
281-rough%3:00:05::	1	-	I
281-rough%3:00:05::	1	-	J
281-rough%5:00:00:aggressive:00	1	-	A
281-rough%5:00:00:aggressive:00	1	-	C
281-rough%5:00:00:aggressive:00	1	-	D
281-rough%5:00:00:aggressive:00	1	-	F
281-rough%5:00:00:aggressive:00	1	-	G
281-rough%5:00:00:aggressive:00	1	-	H
281-rough%5:00:00:aggressive:00	1	-	I
281-rough%5:00:00:aggressive:00	1	-	J
281-rough%5:00:00:cacophonous:00	1	-	A
281-rough%5:00:00:cacophonous:00	1	-	C
281-rough%5:00:00:cacophonous:00	1	-	D
281-rough%5:00:00:cacophonous:00	1	-	F
281-rough%5:00:00:cacophonous:00	1	-	G
281-rough%5:00:00:cacophonous:00	1	-	H
281-rough%5:00:00:cacophonous:00	1	-	I
281-rough%5:00:00:cacophonous:00	1	-	J
281-rough%5:00:00:difficult:00	1	-	A
281-rough%5:00:00:difficult:00	1	-	C
281-rough%5:00:00:difficult:00	1	-	F
281-rough%5:00:00:difficult:00	1	-	G
281-rough%5:00:00:difficult:00	1	-	H
281-rough%5:00:00:difficult:00	1	-	I
281-rough%5:00:00:difficult:00	2	-	D
281-rough%5:00:00:difficult:00	2	-	J
281-rough%5:00:00:inexact:00	5	-	A
281-rough%5:00:00:inexact:00	5	-	C
281-rough%5:00:00:inexact:00	5	-	D
281-rough%5:00:00:inexact:00	5	-	F
281-rough%5:00:00:inexact:00	5	-	G
281-rough%5:00:00:inexact:00	5	-	H
281-rough%5:00:00:inexact:00	5	-	I
281-rough%5:00:00:inexact:00	5	-	J
281-rough%5:00:00:stormy:00	1	-	A
281-rough%5:00:00:stormy:00	1	-	C
281-rough%5:00:00:stormy:00	1	-	D
281-rough%5:00:00:stormy:00	1	-	F
281-rough%5:00:00:stormy:00	1	-	G
281-rough%5:00:00:stormy:00	1	-	H
281-rough%5:00:00:stormy:00	1	-	I
281-rough%5:00:00:stormy:00	1	-	J
281-rough%5:00:00:unkind:00	1	-	A
