instanceID	label	comment	annotator
1951-scrap%1:04:00::	1	-	A
1951-scrap%1:04:00::	1	-	C
1951-scrap%1:04:00::	1	-	D
1951-scrap%1:04:00::	1	-	F
1951-scrap%1:04:00::	1	-	G
1951-scrap%1:04:00::	1	-	H
1951-scrap%1:04:00::	1	-	I
1951-scrap%1:04:00::	1	-	J
1951-scrap%1:06:00::	1	-	A
1951-scrap%1:06:00::	1	-	C
1951-scrap%1:06:00::	1	-	D
1951-scrap%1:06:00::	1	-	F
1951-scrap%1:06:00::	1	-	H
1951-scrap%1:06:00::	1	-	I
1951-scrap%1:06:00::	3	-	G
1951-scrap%1:06:00::	3	-	J
1951-scrap%1:17:00::	1	-	A
1951-scrap%1:17:00::	1	-	C
1951-scrap%1:17:00::	1	-	D
1951-scrap%1:17:00::	1	-	F
1951-scrap%1:17:00::	1	-	H
1951-scrap%1:17:00::	1	-	I
1951-scrap%1:17:00::	2	-	G
1951-scrap%1:17:00::	3	-	J
1951-scrap%1:27:00::	1	-	I
1951-scrap%1:27:00::	4	-	D
1951-scrap%1:27:00::	4	-	G
1951-scrap%1:27:00::	4	-	H
1951-scrap%1:27:00::	5	-	A
1951-scrap%1:27:00::	5	-	C
1951-scrap%1:27:00::	5	-	F
1951-scrap%1:27:00::	5	-	J
1952-scrap%1:04:00::	1	-	A
1952-scrap%1:04:00::	1	-	C
1952-scrap%1:04:00::	1	-	D
1952-scrap%1:04:00::	1	-	F
1952-scrap%1:04:00::	1	-	G
1952-scrap%1:04:00::	1	-	H
1952-scrap%1:04:00::	1	-	I
1952-scrap%1:04:00::	1	-	J
1952-scrap%1:06:00::	1	-	C
1952-scrap%1:06:00::	1	-	D
1952-scrap%1:06:00::	1	-	I
1952-scrap%1:06:00::	2	-	H
1952-scrap%1:06:00::	3	-	A
1952-scrap%1:06:00::	3	-	G
1952-scrap%1:06:00::	3	-	J
1952-scrap%1:06:00::	4	-	F
1952-scrap%1:17:00::	1	-	C
1952-scrap%1:17:00::	1	-	I
1952-scrap%1:17:00::	2	-	D
1952-scrap%1:17:00::	2	-	H
1952-scrap%1:17:00::	3	-	A
1952-scrap%1:17:00::	3	-	F
1952-scrap%1:17:00::	3	-	G
1952-scrap%1:17:00::	3	-	J
1952-scrap%1:27:00::	1	-	F
1952-scrap%1:27:00::	4	-	D
1952-scrap%1:27:00::	4	-	J
1952-scrap%1:27:00::	5	-	A
1952-scrap%1:27:00::	5	-	C
1952-scrap%1:27:00::	5	-	G
1952-scrap%1:27:00::	5	-	H
1952-scrap%1:27:00::	5	-	I
1953-scrap%1:04:00::	1	-	A
1953-scrap%1:04:00::	1	-	C
1953-scrap%1:04:00::	1	-	D
1953-scrap%1:04:00::	1	-	F
1953-scrap%1:04:00::	1	-	G
1953-scrap%1:04:00::	1	-	H
1953-scrap%1:04:00::	1	-	I
1953-scrap%1:04:00::	1	-	J
1953-scrap%1:06:00::	5	-	A
1953-scrap%1:06:00::	5	-	C
1953-scrap%1:06:00::	5	-	D
1953-scrap%1:06:00::	5	-	F
1953-scrap%1:06:00::	5	-	G
1953-scrap%1:06:00::	5	-	H
1953-scrap%1:06:00::	5	-	I
1953-scrap%1:06:00::	5	-	J
1953-scrap%1:17:00::	1	-	C
1953-scrap%1:17:00::	1	-	F
1953-scrap%1:17:00::	2	-	D
1953-scrap%1:17:00::	2	-	G
1953-scrap%1:17:00::	3	-	I
1953-scrap%1:17:00::	3	-	J
1953-scrap%1:17:00::	5	-	A
1953-scrap%1:17:00::	5	-	H
1953-scrap%1:27:00::	1	-	C
1953-scrap%1:27:00::	1	-	D
1953-scrap%1:27:00::	1	-	F
1953-scrap%1:27:00::	3	-	G
1953-scrap%1:27:00::	3	-	H
1953-scrap%1:27:00::	3	-	I
1953-scrap%1:27:00::	3	-	J
1953-scrap%1:27:00::	4	-	A
1954-scrap%1:04:00::	1	-	A
1954-scrap%1:04:00::	1	-	C
1954-scrap%1:04:00::	1	-	D
1954-scrap%1:04:00::	1	-	F
1954-scrap%1:04:00::	1	-	G
1954-scrap%1:04:00::	1	-	H
1954-scrap%1:04:00::	1	-	I
1954-scrap%1:04:00::	1	-	J
1954-scrap%1:06:00::	1	-	C
1954-scrap%1:06:00::	4	-	D
1954-scrap%1:06:00::	4	-	F
1954-scrap%1:06:00::	4	-	J
1954-scrap%1:06:00::	5	-	A
1954-scrap%1:06:00::	5	-	G
1954-scrap%1:06:00::	5	-	H
1954-scrap%1:06:00::	5	-	I
1954-scrap%1:17:00::	1	-	C
1954-scrap%1:17:00::	1	-	F
1954-scrap%1:17:00::	2	-	D
1954-scrap%1:17:00::	3	-	G
1954-scrap%1:17:00::	3	-	J
1954-scrap%1:17:00::	4	-	A
1954-scrap%1:17:00::	4	-	I
1954-scrap%1:17:00::	5	-	H
1954-scrap%1:27:00::	3	-	F
1954-scrap%1:27:00::	3	-	H
1954-scrap%1:27:00::	3	-	I
1954-scrap%1:27:00::	4	-	A
1954-scrap%1:27:00::	4	-	G
1954-scrap%1:27:00::	4	-	J
1954-scrap%1:27:00::	5	-	C
1954-scrap%1:27:00::	5	-	D
1955-scrap%1:04:00::	1	-	A
1955-scrap%1:04:00::	1	-	C
1955-scrap%1:04:00::	1	-	D
1955-scrap%1:04:00::	1	-	F
1955-scrap%1:04:00::	1	-	G
1955-scrap%1:04:00::	1	-	H
1955-scrap%1:04:00::	1	-	I
1955-scrap%1:04:00::	1	-	J
1955-scrap%1:06:00::	1	-	C
1955-scrap%1:06:00::	4	-	D
1955-scrap%1:06:00::	4	-	H
1955-scrap%1:06:00::	4	-	J
1955-scrap%1:06:00::	5	-	A
1955-scrap%1:06:00::	5	-	F
1955-scrap%1:06:00::	5	-	G
1955-scrap%1:06:00::	5	-	I
1955-scrap%1:17:00::	3	-	F
1955-scrap%1:17:00::	4	-	D
1955-scrap%1:17:00::	4	-	G
1955-scrap%1:17:00::	4	-	J
1955-scrap%1:17:00::	5	-	A
1955-scrap%1:17:00::	5	-	C
1955-scrap%1:17:00::	5	-	H
1955-scrap%1:17:00::	5	-	I
1955-scrap%1:27:00::	1	-	C
1955-scrap%1:27:00::	1	-	D
1955-scrap%1:27:00::	1	-	F
