instanceID	dataIDs	label_set	non_label
121-severely%4:02:01::	121,severely%4:02:01::	5,4,3,2,1	-
121-severely%4:02:02::	121,severely%4:02:02::	5,4,3,2,1	-
121-severely%4:02:03::	121,severely%4:02:03::	5,4,3,2,1	-
122-severely%4:02:01::	122,severely%4:02:01::	5,4,3,2,1	-
122-severely%4:02:02::	122,severely%4:02:02::	5,4,3,2,1	-
122-severely%4:02:03::	122,severely%4:02:03::	5,4,3,2,1	-
123-severely%4:02:01::	123,severely%4:02:01::	5,4,3,2,1	-
123-severely%4:02:02::	123,severely%4:02:02::	5,4,3,2,1	-
123-severely%4:02:03::	123,severely%4:02:03::	5,4,3,2,1	-
124-severely%4:02:01::	124,severely%4:02:01::	5,4,3,2,1	-
124-severely%4:02:02::	124,severely%4:02:02::	5,4,3,2,1	-
124-severely%4:02:03::	124,severely%4:02:03::	5,4,3,2,1	-
125-severely%4:02:01::	125,severely%4:02:01::	5,4,3,2,1	-
125-severely%4:02:02::	125,severely%4:02:02::	5,4,3,2,1	-
125-severely%4:02:03::	125,severely%4:02:03::	5,4,3,2,1	-
126-severely%4:02:01::	126,severely%4:02:01::	5,4,3,2,1	-
126-severely%4:02:02::	126,severely%4:02:02::	5,4,3,2,1	-
126-severely%4:02:03::	126,severely%4:02:03::	5,4,3,2,1	-
127-severely%4:02:01::	127,severely%4:02:01::	5,4,3,2,1	-
127-severely%4:02:02::	127,severely%4:02:02::	5,4,3,2,1	-
127-severely%4:02:03::	127,severely%4:02:03::	5,4,3,2,1	-
128-severely%4:02:01::	128,severely%4:02:01::	5,4,3,2,1	-
128-severely%4:02:02::	128,severely%4:02:02::	5,4,3,2,1	-
128-severely%4:02:03::	128,severely%4:02:03::	5,4,3,2,1	-
129-severely%4:02:01::	129,severely%4:02:01::	5,4,3,2,1	-
129-severely%4:02:02::	129,severely%4:02:02::	5,4,3,2,1	-
129-severely%4:02:03::	129,severely%4:02:03::	5,4,3,2,1	-
130-severely%4:02:01::	130,severely%4:02:01::	5,4,3,2,1	-
130-severely%4:02:02::	130,severely%4:02:02::	5,4,3,2,1	-
130-severely%4:02:03::	130,severely%4:02:03::	5,4,3,2,1	-
