instanceID	label	comment	annotator
121-severely%4:02:01::	3	-	C
121-severely%4:02:01::	5	-	A
121-severely%4:02:01::	5	-	D
121-severely%4:02:01::	5	-	F
121-severely%4:02:01::	5	-	G
121-severely%4:02:01::	5	-	H
121-severely%4:02:01::	5	-	I
121-severely%4:02:01::	5	-	J
121-severely%4:02:02::	1	-	F
121-severely%4:02:02::	2	-	I
121-severely%4:02:02::	2	-	J
121-severely%4:02:02::	3	-	H
121-severely%4:02:02::	4	-	D
121-severely%4:02:02::	5	-	A
121-severely%4:02:02::	5	-	C
121-severely%4:02:02::	5	-	G
121-severely%4:02:03::	2	-	G
121-severely%4:02:03::	3	-	C
121-severely%4:02:03::	3	-	D
121-severely%4:02:03::	3	-	H
121-severely%4:02:03::	3	-	I
121-severely%4:02:03::	4	-	F
121-severely%4:02:03::	4	-	J
121-severely%4:02:03::	5	-	A
122-severely%4:02:01::	5	-	A
122-severely%4:02:01::	5	-	C
122-severely%4:02:01::	5	-	D
122-severely%4:02:01::	5	-	F
122-severely%4:02:01::	5	-	G
122-severely%4:02:01::	5	-	H
122-severely%4:02:01::	5	-	I
122-severely%4:02:01::	5	-	J
122-severely%4:02:02::	1	-	C
122-severely%4:02:02::	1	-	D
122-severely%4:02:02::	1	-	F
122-severely%4:02:02::	1	-	G
122-severely%4:02:02::	1	-	H
122-severely%4:02:02::	1	-	I
122-severely%4:02:02::	2	-	A
122-severely%4:02:02::	2	-	J
122-severely%4:02:03::	2	-	D
122-severely%4:02:03::	2	-	G
122-severely%4:02:03::	3	-	C
122-severely%4:02:03::	3	-	I
122-severely%4:02:03::	4	-	F
122-severely%4:02:03::	4	-	H
122-severely%4:02:03::	5	-	A
122-severely%4:02:03::	5	-	J
123-severely%4:02:01::	3	-	G
123-severely%4:02:01::	4	-	D
123-severely%4:02:01::	4	-	J
123-severely%4:02:01::	5	-	A
123-severely%4:02:01::	5	-	C
123-severely%4:02:01::	5	-	F
123-severely%4:02:01::	5	-	H
123-severely%4:02:01::	5	-	I
123-severely%4:02:02::	1	-	A
123-severely%4:02:02::	1	-	C
123-severely%4:02:02::	1	-	F
123-severely%4:02:02::	1	-	G
123-severely%4:02:02::	1	-	H
123-severely%4:02:02::	1	-	I
123-severely%4:02:02::	2	-	D
123-severely%4:02:02::	2	-	J
123-severely%4:02:03::	3	-	D
123-severely%4:02:03::	3	-	H
123-severely%4:02:03::	4	-	F
123-severely%4:02:03::	4	-	I
123-severely%4:02:03::	5	-	A
123-severely%4:02:03::	5	-	C
123-severely%4:02:03::	5	-	G
123-severely%4:02:03::	5	-	J
124-severely%4:02:01::	1	-	C
124-severely%4:02:01::	1	-	F
124-severely%4:02:01::	2	-	A
124-severely%4:02:01::	2	-	H
124-severely%4:02:01::	2	-	J
124-severely%4:02:01::	3	-	D
124-severely%4:02:01::	3	-	G
124-severely%4:02:01::	4	-	I
124-severely%4:02:02::	5	-	A
124-severely%4:02:02::	5	-	C
124-severely%4:02:02::	5	-	D
124-severely%4:02:02::	5	-	F
124-severely%4:02:02::	5	-	G
124-severely%4:02:02::	5	-	H
124-severely%4:02:02::	5	-	I
124-severely%4:02:02::	5	-	J
124-severely%4:02:03::	1	-	A
124-severely%4:02:03::	1	-	C
124-severely%4:02:03::	1	-	F
124-severely%4:02:03::	1	-	G
124-severely%4:02:03::	1	-	I
124-severely%4:02:03::	2	-	D
124-severely%4:02:03::	2	-	H
124-severely%4:02:03::	2	-	J
125-severely%4:02:01::	5	-	A
125-severely%4:02:01::	5	-	C
125-severely%4:02:01::	5	-	D
125-severely%4:02:01::	5	-	F
125-severely%4:02:01::	5	-	G
125-severely%4:02:01::	5	-	H
125-severely%4:02:01::	5	-	I
125-severely%4:02:01::	5	-	J
125-severely%4:02:02::	1	-	A
125-severely%4:02:02::	1	-	C
125-severely%4:02:02::	1	-	D
125-severely%4:02:02::	1	-	F
125-severely%4:02:02::	1	-	G
125-severely%4:02:02::	1	-	H
125-severely%4:02:02::	1	-	I
125-severely%4:02:02::	2	-	J
125-severely%4:02:03::	1	-	C
125-severely%4:02:03::	1	-	D
125-severely%4:02:03::	2	-	I
125-severely%4:02:03::	3	-	G
125-severely%4:02:03::	4	-	F
125-severely%4:02:03::	4	-	J
125-severely%4:02:03::	5	-	A
125-severely%4:02:03::	5	-	H
126-severely%4:02:01::	2	-	G
126-severely%4:02:01::	4	-	J
126-severely%4:02:01::	5	-	A
126-severely%4:02:01::	5	-	C
126-severely%4:02:01::	5	-	D
126-severely%4:02:01::	5	-	F
126-severely%4:02:01::	5	-	H
126-severely%4:02:01::	5	-	I
126-severely%4:02:02::	1	-	A
126-severely%4:02:02::	1	-	C
126-severely%4:02:02::	1	-	F
126-severely%4:02:02::	1	-	G
126-severely%4:02:02::	1	-	H
126-severely%4:02:02::	1	-	I
126-severely%4:02:02::	2	-	D
126-severely%4:02:02::	2	-	J
126-severely%4:02:03::	1	-	D
126-severely%4:02:03::	2	-	I
126-severely%4:02:03::	4	-	F
126-severely%4:02:03::	5	-	A
126-severely%4:02:03::	5	-	C
126-severely%4:02:03::	5	-	G
126-severely%4:02:03::	5	-	H
126-severely%4:02:03::	5	-	J
127-severely%4:02:01::	3	-	G
127-severely%4:02:01::	4	-	J
127-severely%4:02:01::	5	-	A
127-severely%4:02:01::	5	-	C
127-severely%4:02:01::	5	-	D
127-severely%4:02:01::	5	-	F
127-severely%4:02:01::	5	-	H
127-severely%4:02:01::	5	-	I
127-severely%4:02:02::	1	-	A
127-severely%4:02:02::	1	-	C
127-severely%4:02:02::	1	-	F
127-severely%4:02:02::	1	-	G
127-severely%4:02:02::	1	-	H
127-severely%4:02:02::	1	-	I
127-severely%4:02:02::	2	-	D
127-severely%4:02:02::	2	-	J
127-severely%4:02:03::	2	-	D
127-severely%4:02:03::	2	-	I
127-severely%4:02:03::	4	-	F
127-severely%4:02:03::	5	-	A
127-severely%4:02:03::	5	-	C
127-severely%4:02:03::	5	-	G
127-severely%4:02:03::	5	-	H
127-severely%4:02:03::	5	-	J
128-severely%4:02:01::	2	-	G
128-severely%4:02:01::	3	-	A
128-severely%4:02:01::	3	-	C
128-severely%4:02:01::	4	-	D
128-severely%4:02:01::	4	-	J
128-severely%4:02:01::	5	-	F
128-severely%4:02:01::	5	-	H
128-severely%4:02:01::	5	-	I
128-severely%4:02:02::	1	-	C
128-severely%4:02:02::	1	-	F
128-severely%4:02:02::	1	-	G
128-severely%4:02:02::	1	-	I
128-severely%4:02:02::	2	-	H
128-severely%4:02:02::	2	-	J
128-severely%4:02:02::	3	-	D
128-severely%4:02:02::	5	-	A
128-severely%4:02:03::	1	-	D
128-severely%4:02:03::	1	-	I
128-severely%4:02:03::	2	-	A
128-severely%4:02:03::	2	-	G
128-severely%4:02:03::	2	-	H
128-severely%4:02:03::	4	-	F
128-severely%4:02:03::	5	-	C
128-severely%4:02:03::	5	-	J
129-severely%4:02:01::	2	-	A
129-severely%4:02:01::	2	-	G
129-severely%4:02:01::	3	-	C
129-severely%4:02:01::	4	-	D
129-severely%4:02:01::	4	-	J
129-severely%4:02:01::	5	-	F
129-severely%4:02:01::	5	-	H
129-severely%4:02:01::	5	-	I
129-severely%4:02:02::	1	-	A
129-severely%4:02:02::	1	-	C
129-severely%4:02:02::	1	-	F
129-severely%4:02:02::	1	-	G
129-severely%4:02:02::	1	-	H
129-severely%4:02:02::	1	-	I
129-severely%4:02:02::	2	-	D
129-severely%4:02:02::	2	-	J
