instanceID	dataIDs	label_set	non_label
1591-shade%1:06:00::	1591,shade%1:06:00::	5,4,3,2,1	-
1591-shade%1:06:01::	1591,shade%1:06:01::	5,4,3,2,1	-
1591-shade%1:07:00::	1591,shade%1:07:00::	5,4,3,2,1	-
1591-shade%1:09:01::	1591,shade%1:09:01::	5,4,3,2,1	-
1591-shade%1:10:00::	1591,shade%1:10:00::	5,4,3,2,1	-
1591-shade%1:23:00::	1591,shade%1:23:00::	5,4,3,2,1	-
1591-shade%1:26:00::	1591,shade%1:26:00::	5,4,3,2,1	-
1591-shade%1:26:01::	1591,shade%1:26:01::	5,4,3,2,1	-
1592-shade%1:06:00::	1592,shade%1:06:00::	5,4,3,2,1	-
1592-shade%1:06:01::	1592,shade%1:06:01::	5,4,3,2,1	-
1592-shade%1:07:00::	1592,shade%1:07:00::	5,4,3,2,1	-
1592-shade%1:09:01::	1592,shade%1:09:01::	5,4,3,2,1	-
1592-shade%1:10:00::	1592,shade%1:10:00::	5,4,3,2,1	-
1592-shade%1:23:00::	1592,shade%1:23:00::	5,4,3,2,1	-
1592-shade%1:26:00::	1592,shade%1:26:00::	5,4,3,2,1	-
1592-shade%1:26:01::	1592,shade%1:26:01::	5,4,3,2,1	-
1593-shade%1:06:00::	1593,shade%1:06:00::	5,4,3,2,1	-
1593-shade%1:06:01::	1593,shade%1:06:01::	5,4,3,2,1	-
1593-shade%1:07:00::	1593,shade%1:07:00::	5,4,3,2,1	-
1593-shade%1:09:01::	1593,shade%1:09:01::	5,4,3,2,1	-
1593-shade%1:10:00::	1593,shade%1:10:00::	5,4,3,2,1	-
1593-shade%1:23:00::	1593,shade%1:23:00::	5,4,3,2,1	-
1593-shade%1:26:00::	1593,shade%1:26:00::	5,4,3,2,1	-
1593-shade%1:26:01::	1593,shade%1:26:01::	5,4,3,2,1	-
1594-shade%1:06:00::	1594,shade%1:06:00::	5,4,3,2,1	-
1594-shade%1:06:01::	1594,shade%1:06:01::	5,4,3,2,1	-
1594-shade%1:07:00::	1594,shade%1:07:00::	5,4,3,2,1	-
1594-shade%1:09:01::	1594,shade%1:09:01::	5,4,3,2,1	-
1594-shade%1:10:00::	1594,shade%1:10:00::	5,4,3,2,1	-
1594-shade%1:23:00::	1594,shade%1:23:00::	5,4,3,2,1	-
1594-shade%1:26:00::	1594,shade%1:26:00::	5,4,3,2,1	-
1594-shade%1:26:01::	1594,shade%1:26:01::	5,4,3,2,1	-
1595-shade%1:06:00::	1595,shade%1:06:00::	5,4,3,2,1	-
1595-shade%1:06:01::	1595,shade%1:06:01::	5,4,3,2,1	-
1595-shade%1:07:00::	1595,shade%1:07:00::	5,4,3,2,1	-
1595-shade%1:09:01::	1595,shade%1:09:01::	5,4,3,2,1	-
1595-shade%1:10:00::	1595,shade%1:10:00::	5,4,3,2,1	-
1595-shade%1:23:00::	1595,shade%1:23:00::	5,4,3,2,1	-
1595-shade%1:26:00::	1595,shade%1:26:00::	5,4,3,2,1	-
1595-shade%1:26:01::	1595,shade%1:26:01::	5,4,3,2,1	-
1596-shade%1:06:00::	1596,shade%1:06:00::	5,4,3,2,1	-
1596-shade%1:06:01::	1596,shade%1:06:01::	5,4,3,2,1	-
1596-shade%1:07:00::	1596,shade%1:07:00::	5,4,3,2,1	-
1596-shade%1:09:01::	1596,shade%1:09:01::	5,4,3,2,1	-
1596-shade%1:10:00::	1596,shade%1:10:00::	5,4,3,2,1	-
1596-shade%1:23:00::	1596,shade%1:23:00::	5,4,3,2,1	-
1596-shade%1:26:00::	1596,shade%1:26:00::	5,4,3,2,1	-
1596-shade%1:26:01::	1596,shade%1:26:01::	5,4,3,2,1	-
1597-shade%1:06:00::	1597,shade%1:06:00::	5,4,3,2,1	-
1597-shade%1:06:01::	1597,shade%1:06:01::	5,4,3,2,1	-
1597-shade%1:07:00::	1597,shade%1:07:00::	5,4,3,2,1	-
1597-shade%1:09:01::	1597,shade%1:09:01::	5,4,3,2,1	-
1597-shade%1:10:00::	1597,shade%1:10:00::	5,4,3,2,1	-
1597-shade%1:23:00::	1597,shade%1:23:00::	5,4,3,2,1	-
1597-shade%1:26:00::	1597,shade%1:26:00::	5,4,3,2,1	-
1597-shade%1:26:01::	1597,shade%1:26:01::	5,4,3,2,1	-
1598-shade%1:06:00::	1598,shade%1:06:00::	5,4,3,2,1	-
1598-shade%1:06:01::	1598,shade%1:06:01::	5,4,3,2,1	-
1598-shade%1:07:00::	1598,shade%1:07:00::	5,4,3,2,1	-
1598-shade%1:09:01::	1598,shade%1:09:01::	5,4,3,2,1	-
1598-shade%1:10:00::	1598,shade%1:10:00::	5,4,3,2,1	-
1598-shade%1:23:00::	1598,shade%1:23:00::	5,4,3,2,1	-
1598-shade%1:26:00::	1598,shade%1:26:00::	5,4,3,2,1	-
1598-shade%1:26:01::	1598,shade%1:26:01::	5,4,3,2,1	-
1599-shade%1:06:00::	1599,shade%1:06:00::	5,4,3,2,1	-
1599-shade%1:06:01::	1599,shade%1:06:01::	5,4,3,2,1	-
1599-shade%1:07:00::	1599,shade%1:07:00::	5,4,3,2,1	-
1599-shade%1:09:01::	1599,shade%1:09:01::	5,4,3,2,1	-
1599-shade%1:10:00::	1599,shade%1:10:00::	5,4,3,2,1	-
1599-shade%1:23:00::	1599,shade%1:23:00::	5,4,3,2,1	-
1599-shade%1:26:00::	1599,shade%1:26:00::	5,4,3,2,1	-
1599-shade%1:26:01::	1599,shade%1:26:01::	5,4,3,2,1	-
1600-shade%1:06:00::	1600,shade%1:06:00::	5,4,3,2,1	-
1600-shade%1:06:01::	1600,shade%1:06:01::	5,4,3,2,1	-
1600-shade%1:07:00::	1600,shade%1:07:00::	5,4,3,2,1	-
1600-shade%1:09:01::	1600,shade%1:09:01::	5,4,3,2,1	-
1600-shade%1:10:00::	1600,shade%1:10:00::	5,4,3,2,1	-
1600-shade%1:23:00::	1600,shade%1:23:00::	5,4,3,2,1	-
1600-shade%1:26:00::	1600,shade%1:26:00::	5,4,3,2,1	-
1600-shade%1:26:01::	1600,shade%1:26:01::	5,4,3,2,1	-
