instanceID	label	comment	annotator
521-shed%2:29:00::	5	-	A
521-shed%2:29:00::	5	-	C
521-shed%2:29:00::	5	-	D
521-shed%2:29:00::	5	-	F
521-shed%2:29:00::	5	-	G
521-shed%2:29:00::	5	-	H
521-shed%2:29:00::	5	-	I
521-shed%2:29:00::	5	-	J
521-shed%2:35:00::	1	-	C
521-shed%2:35:00::	1	-	D
521-shed%2:35:00::	1	-	F
521-shed%2:35:00::	1	-	G
521-shed%2:35:00::	1	-	I
521-shed%2:35:00::	2	-	H
521-shed%2:35:00::	2	-	J
521-shed%2:35:00::	3	-	A
521-shed%2:35:01::	1	-	C
521-shed%2:35:01::	1	-	G
521-shed%2:35:01::	3	-	D
521-shed%2:35:01::	3	-	F
521-shed%2:35:01::	3	-	I
521-shed%2:35:01::	4	-	J
521-shed%2:35:01::	5	-	A
521-shed%2:35:01::	5	-	H
521-shed%2:35:02::	1	-	C
521-shed%2:35:02::	1	-	D
521-shed%2:35:02::	1	-	F
521-shed%2:35:02::	1	-	G
521-shed%2:35:02::	1	-	I
521-shed%2:35:02::	2	-	A
521-shed%2:35:02::	2	-	H
521-shed%2:35:02::	2	-	J
522-shed%2:29:00::	1	-	F
522-shed%2:29:00::	1	-	G
522-shed%2:29:00::	1	-	I
522-shed%2:29:00::	4	-	A
522-shed%2:29:00::	4	-	H
522-shed%2:29:00::	4	-	J
522-shed%2:29:00::	5	-	C
522-shed%2:29:00::	5	-	D
522-shed%2:35:00::	1	-	C
522-shed%2:35:00::	1	-	D
522-shed%2:35:00::	1	-	F
522-shed%2:35:00::	1	-	G
522-shed%2:35:00::	1	-	I
522-shed%2:35:00::	2	-	A
522-shed%2:35:00::	2	-	H
522-shed%2:35:00::	2	-	J
522-shed%2:35:01::	3	-	D
522-shed%2:35:01::	4	-	A
522-shed%2:35:01::	5	-	C
522-shed%2:35:01::	5	-	F
522-shed%2:35:01::	5	-	G
522-shed%2:35:01::	5	-	H
522-shed%2:35:01::	5	-	I
522-shed%2:35:01::	5	-	J
522-shed%2:35:02::	1	-	A
522-shed%2:35:02::	1	-	C
522-shed%2:35:02::	1	-	D
522-shed%2:35:02::	1	-	F
522-shed%2:35:02::	1	-	G
522-shed%2:35:02::	1	-	I
522-shed%2:35:02::	2	-	H
522-shed%2:35:02::	2	-	J
523-shed%2:29:00::	1	-	A
523-shed%2:29:00::	1	-	D
523-shed%2:29:00::	1	-	F
