instanceID	dataIDs	label_set	non_label
1071-skip%2:31:01::	1071,skip%2:31:01::	5,4,3,2,1	-
1071-skip%2:35:00::	1071,skip%2:35:00::	5,4,3,2,1	-
1071-skip%2:38:00::	1071,skip%2:38:00::	5,4,3,2,1	-
1071-skip%2:38:02::	1071,skip%2:38:02::	5,4,3,2,1	-
1071-skip%2:38:03::	1071,skip%2:38:03::	5,4,3,2,1	-
1071-skip%2:42:00::	1071,skip%2:42:00::	5,4,3,2,1	-
1072-skip%2:31:01::	1072,skip%2:31:01::	5,4,3,2,1	-
1072-skip%2:35:00::	1072,skip%2:35:00::	5,4,3,2,1	-
1072-skip%2:38:00::	1072,skip%2:38:00::	5,4,3,2,1	-
1072-skip%2:38:02::	1072,skip%2:38:02::	5,4,3,2,1	-
1072-skip%2:38:03::	1072,skip%2:38:03::	5,4,3,2,1	-
1072-skip%2:42:00::	1072,skip%2:42:00::	5,4,3,2,1	-
1073-skip%2:31:01::	1073,skip%2:31:01::	5,4,3,2,1	-
1073-skip%2:35:00::	1073,skip%2:35:00::	5,4,3,2,1	-
1073-skip%2:38:00::	1073,skip%2:38:00::	5,4,3,2,1	-
1073-skip%2:38:02::	1073,skip%2:38:02::	5,4,3,2,1	-
1073-skip%2:38:03::	1073,skip%2:38:03::	5,4,3,2,1	-
1073-skip%2:42:00::	1073,skip%2:42:00::	5,4,3,2,1	-
1074-skip%2:31:01::	1074,skip%2:31:01::	5,4,3,2,1	-
1074-skip%2:35:00::	1074,skip%2:35:00::	5,4,3,2,1	-
1074-skip%2:38:00::	1074,skip%2:38:00::	5,4,3,2,1	-
1074-skip%2:38:02::	1074,skip%2:38:02::	5,4,3,2,1	-
1074-skip%2:38:03::	1074,skip%2:38:03::	5,4,3,2,1	-
1074-skip%2:42:00::	1074,skip%2:42:00::	5,4,3,2,1	-
1075-skip%2:31:01::	1075,skip%2:31:01::	5,4,3,2,1	-
1075-skip%2:35:00::	1075,skip%2:35:00::	5,4,3,2,1	-
1075-skip%2:38:00::	1075,skip%2:38:00::	5,4,3,2,1	-
1075-skip%2:38:02::	1075,skip%2:38:02::	5,4,3,2,1	-
1075-skip%2:38:03::	1075,skip%2:38:03::	5,4,3,2,1	-
1075-skip%2:42:00::	1075,skip%2:42:00::	5,4,3,2,1	-
1076-skip%2:31:01::	1076,skip%2:31:01::	5,4,3,2,1	-
1076-skip%2:35:00::	1076,skip%2:35:00::	5,4,3,2,1	-
1076-skip%2:38:00::	1076,skip%2:38:00::	5,4,3,2,1	-
1076-skip%2:38:02::	1076,skip%2:38:02::	5,4,3,2,1	-
1076-skip%2:38:03::	1076,skip%2:38:03::	5,4,3,2,1	-
1076-skip%2:42:00::	1076,skip%2:42:00::	5,4,3,2,1	-
1077-skip%2:31:01::	1077,skip%2:31:01::	5,4,3,2,1	-
1077-skip%2:35:00::	1077,skip%2:35:00::	5,4,3,2,1	-
1077-skip%2:38:00::	1077,skip%2:38:00::	5,4,3,2,1	-
1077-skip%2:38:02::	1077,skip%2:38:02::	5,4,3,2,1	-
1077-skip%2:38:03::	1077,skip%2:38:03::	5,4,3,2,1	-
1077-skip%2:42:00::	1077,skip%2:42:00::	5,4,3,2,1	-
1078-skip%2:31:01::	1078,skip%2:31:01::	5,4,3,2,1	-
1078-skip%2:35:00::	1078,skip%2:35:00::	5,4,3,2,1	-
1078-skip%2:38:00::	1078,skip%2:38:00::	5,4,3,2,1	-
1078-skip%2:38:02::	1078,skip%2:38:02::	5,4,3,2,1	-
1078-skip%2:38:03::	1078,skip%2:38:03::	5,4,3,2,1	-
1078-skip%2:42:00::	1078,skip%2:42:00::	5,4,3,2,1	-
1079-skip%2:31:01::	1079,skip%2:31:01::	5,4,3,2,1	-
1079-skip%2:35:00::	1079,skip%2:35:00::	5,4,3,2,1	-
1079-skip%2:38:00::	1079,skip%2:38:00::	5,4,3,2,1	-
1079-skip%2:38:02::	1079,skip%2:38:02::	5,4,3,2,1	-
1079-skip%2:38:03::	1079,skip%2:38:03::	5,4,3,2,1	-
1079-skip%2:42:00::	1079,skip%2:42:00::	5,4,3,2,1	-
1080-skip%2:31:01::	1080,skip%2:31:01::	5,4,3,2,1	-
1080-skip%2:35:00::	1080,skip%2:35:00::	5,4,3,2,1	-
1080-skip%2:38:00::	1080,skip%2:38:00::	5,4,3,2,1	-
1080-skip%2:38:02::	1080,skip%2:38:02::	5,4,3,2,1	-
1080-skip%2:38:03::	1080,skip%2:38:03::	5,4,3,2,1	-
1080-skip%2:42:00::	1080,skip%2:42:00::	5,4,3,2,1	-
