instanceID	label	comment	annotator
1071-skip%2:31:01::	1	-	C
1071-skip%2:31:01::	1	-	F
1071-skip%2:31:01::	2	-	I
1071-skip%2:31:01::	3	-	J
1071-skip%2:31:01::	4	-	G
1071-skip%2:31:01::	4	-	H
1071-skip%2:31:01::	5	-	A
1071-skip%2:31:01::	5	-	D
1071-skip%2:35:00::	1	-	A
1071-skip%2:35:00::	1	-	C
1071-skip%2:35:00::	1	-	D
1071-skip%2:35:00::	1	-	F
1071-skip%2:35:00::	1	-	G
1071-skip%2:35:00::	1	-	H
1071-skip%2:35:00::	1	-	I
1071-skip%2:35:00::	2	-	J
1071-skip%2:38:00::	1	-	A
1071-skip%2:38:00::	1	-	C
1071-skip%2:38:00::	1	-	D
1071-skip%2:38:00::	1	-	F
1071-skip%2:38:00::	1	-	G
1071-skip%2:38:00::	1	-	H
1071-skip%2:38:00::	1	-	I
1071-skip%2:38:00::	2	-	J
1071-skip%2:38:02::	1	-	C
1071-skip%2:38:02::	1	-	D
1071-skip%2:38:02::	1	-	F
1071-skip%2:38:02::	1	-	I
1071-skip%2:38:02::	1	-	J
1071-skip%2:38:02::	2	-	A
1071-skip%2:38:02::	3	-	G
1071-skip%2:38:02::	4	-	H
1071-skip%2:38:03::	1	-	C
1071-skip%2:38:03::	1	-	D
1071-skip%2:38:03::	1	-	F
1071-skip%2:38:03::	1	-	G
1071-skip%2:38:03::	1	-	H
1071-skip%2:38:03::	1	-	I
1071-skip%2:38:03::	1	-	J
1071-skip%2:38:03::	2	-	A
1071-skip%2:42:00::	1	-	D
1071-skip%2:42:00::	5	-	A
1071-skip%2:42:00::	5	-	C
1071-skip%2:42:00::	5	-	F
1071-skip%2:42:00::	5	-	G
1071-skip%2:42:00::	5	-	H
1071-skip%2:42:00::	5	-	I
1071-skip%2:42:00::	5	-	J
1072-skip%2:31:01::	1	-	A
1072-skip%2:31:01::	1	-	C
1072-skip%2:31:01::	1	-	F
1072-skip%2:31:01::	1	-	I
1072-skip%2:31:01::	2	-	D
1072-skip%2:31:01::	2	-	H
1072-skip%2:31:01::	3	-	G
1072-skip%2:31:01::	3	-	J
1072-skip%2:35:00::	5	-	A
1072-skip%2:35:00::	5	-	C
1072-skip%2:35:00::	5	-	D
1072-skip%2:35:00::	5	-	F
1072-skip%2:35:00::	5	-	G
1072-skip%2:35:00::	5	-	H
1072-skip%2:35:00::	5	-	I
1072-skip%2:35:00::	5	-	J
1072-skip%2:38:00::	1	-	C
1072-skip%2:38:00::	3	-	I
1072-skip%2:38:00::	4	-	A
1072-skip%2:38:00::	4	-	D
1072-skip%2:38:00::	4	-	F
1072-skip%2:38:00::	4	-	G
1072-skip%2:38:00::	4	-	H
1072-skip%2:38:00::	4	-	J
1072-skip%2:38:02::	1	-	A
1072-skip%2:38:02::	1	-	C
1072-skip%2:38:02::	1	-	D
1072-skip%2:38:02::	1	-	F
1072-skip%2:38:02::	1	-	G
1072-skip%2:38:02::	1	-	H
1072-skip%2:38:02::	1	-	I
1072-skip%2:38:02::	2	-	J
1072-skip%2:38:03::	1	-	C
1072-skip%2:38:03::	2	-	G
1072-skip%2:38:03::	3	-	D
1072-skip%2:38:03::	3	-	H
1072-skip%2:38:03::	3	-	J
1072-skip%2:38:03::	4	-	F
1072-skip%2:38:03::	5	-	A
1072-skip%2:38:03::	5	-	I
1072-skip%2:42:00::	1	-	A
1072-skip%2:42:00::	1	-	C
1072-skip%2:42:00::	1	-	D
1072-skip%2:42:00::	1	-	F
1072-skip%2:42:00::	1	-	G
1072-skip%2:42:00::	1	-	H
1072-skip%2:42:00::	1	-	I
1072-skip%2:42:00::	1	-	J
1073-skip%2:31:01::	1	-	A
1073-skip%2:31:01::	1	-	C
1073-skip%2:31:01::	1	-	D
1073-skip%2:31:01::	1	-	F
1073-skip%2:31:01::	1	-	I
1073-skip%2:31:01::	2	-	H
1073-skip%2:31:01::	3	-	G
1073-skip%2:31:01::	3	-	J
1073-skip%2:35:00::	5	-	A
1073-skip%2:35:00::	5	-	C
1073-skip%2:35:00::	5	-	D
1073-skip%2:35:00::	5	-	F
1073-skip%2:35:00::	5	-	G
1073-skip%2:35:00::	5	-	H
1073-skip%2:35:00::	5	-	I
1073-skip%2:35:00::	5	-	J
1073-skip%2:38:00::	1	-	C
1073-skip%2:38:00::	3	-	D
1073-skip%2:38:00::	3	-	I
1073-skip%2:38:00::	3	-	J
1073-skip%2:38:00::	4	-	F
1073-skip%2:38:00::	4	-	G
1073-skip%2:38:00::	4	-	H
1073-skip%2:38:00::	5	-	A
1073-skip%2:38:02::	1	-	C
1073-skip%2:38:02::	1	-	D
1073-skip%2:38:02::	1	-	F
1073-skip%2:38:02::	1	-	G
1073-skip%2:38:02::	1	-	H
1073-skip%2:38:02::	1	-	I
1073-skip%2:38:02::	1	-	J
1073-skip%2:38:02::	2	-	A
1073-skip%2:38:03::	1	-	C
1073-skip%2:38:03::	1	-	F
1073-skip%2:38:03::	2	-	H
1073-skip%2:38:03::	3	-	G
1073-skip%2:38:03::	3	-	J
1073-skip%2:38:03::	5	-	A
1073-skip%2:38:03::	5	-	D
1073-skip%2:38:03::	5	-	I
1073-skip%2:42:00::	1	-	A
1073-skip%2:42:00::	1	-	C
1073-skip%2:42:00::	1	-	D
1073-skip%2:42:00::	1	-	F
1073-skip%2:42:00::	1	-	G
1073-skip%2:42:00::	1	-	H
1073-skip%2:42:00::	1	-	I
1073-skip%2:42:00::	1	-	J
1074-skip%2:31:01::	1	-	A
1074-skip%2:31:01::	1	-	C
1074-skip%2:31:01::	1	-	F
1074-skip%2:31:01::	1	-	H
1074-skip%2:31:01::	1	-	I
1074-skip%2:31:01::	2	-	G
1074-skip%2:31:01::	2	-	J
1074-skip%2:31:01::	4	-	D
1074-skip%2:35:00::	1	-	A
1074-skip%2:35:00::	1	-	C
1074-skip%2:35:00::	1	-	D
1074-skip%2:35:00::	1	-	G
1074-skip%2:35:00::	1	-	I
1074-skip%2:35:00::	2	-	H
1074-skip%2:35:00::	2	-	J
1074-skip%2:35:00::	5	-	F
1074-skip%2:38:00::	5	-	A
1074-skip%2:38:00::	5	-	C
1074-skip%2:38:00::	5	-	D
1074-skip%2:38:00::	5	-	F
1074-skip%2:38:00::	5	-	G
1074-skip%2:38:00::	5	-	H
1074-skip%2:38:00::	5	-	I
1074-skip%2:38:00::	5	-	J
1074-skip%2:38:02::	1	-	A
1074-skip%2:38:02::	1	-	C
1074-skip%2:38:02::	1	-	D
1074-skip%2:38:02::	1	-	F
1074-skip%2:38:02::	1	-	G
1074-skip%2:38:02::	1	-	H
1074-skip%2:38:02::	1	-	I
1074-skip%2:38:02::	1	-	J
1074-skip%2:38:03::	1	-	C
1074-skip%2:38:03::	1	-	F
1074-skip%2:38:03::	1	-	I
1074-skip%2:38:03::	2	-	G
1074-skip%2:38:03::	2	-	H
1074-skip%2:38:03::	2	-	J
1074-skip%2:38:03::	4	-	D
1074-skip%2:38:03::	5	-	A
1074-skip%2:42:00::	1	-	A
1074-skip%2:42:00::	1	-	C
1074-skip%2:42:00::	1	-	D
1074-skip%2:42:00::	1	-	F
1074-skip%2:42:00::	1	-	G
1074-skip%2:42:00::	1	-	H
1074-skip%2:42:00::	1	-	I
1074-skip%2:42:00::	1	-	J
1075-skip%2:31:01::	3	-	C
1075-skip%2:31:01::	3	-	I
1075-skip%2:31:01::	5	-	A
1075-skip%2:31:01::	5	-	D
1075-skip%2:31:01::	5	-	F
1075-skip%2:31:01::	5	-	G
1075-skip%2:31:01::	5	-	H
1075-skip%2:31:01::	5	-	J
1075-skip%2:35:00::	1	-	A
1075-skip%2:35:00::	1	-	C
1075-skip%2:35:00::	1	-	D
1075-skip%2:35:00::	1	-	F
1075-skip%2:35:00::	1	-	G
1075-skip%2:35:00::	1	-	H
1075-skip%2:35:00::	1	-	I
1075-skip%2:35:00::	1	-	J
1075-skip%2:38:00::	1	-	A
1075-skip%2:38:00::	1	-	C
1075-skip%2:38:00::	1	-	D
1075-skip%2:38:00::	1	-	F
1075-skip%2:38:00::	1	-	G
1075-skip%2:38:00::	1	-	H
1075-skip%2:38:00::	1	-	I
1075-skip%2:38:00::	1	-	J
1075-skip%2:38:02::	1	-	A
1075-skip%2:38:02::	1	-	C
1075-skip%2:38:02::	1	-	D
1075-skip%2:38:02::	1	-	F
1075-skip%2:38:02::	1	-	I
1075-skip%2:38:02::	1	-	J
1075-skip%2:38:02::	3	-	G
1075-skip%2:38:02::	4	-	H
1075-skip%2:38:03::	1	-	A
1075-skip%2:38:03::	1	-	C
1075-skip%2:38:03::	1	-	D
1075-skip%2:38:03::	1	-	F
1075-skip%2:38:03::	1	-	G
1075-skip%2:38:03::	1	-	H
1075-skip%2:38:03::	1	-	I
1075-skip%2:38:03::	1	-	J
1075-skip%2:42:00::	1	-	F
1075-skip%2:42:00::	3	-	J
1075-skip%2:42:00::	4	-	H
1075-skip%2:42:00::	5	-	A
1075-skip%2:42:00::	5	-	C
1075-skip%2:42:00::	5	-	D
1075-skip%2:42:00::	5	-	G
1075-skip%2:42:00::	5	-	I
1076-skip%2:31:01::	5	-	A
1076-skip%2:31:01::	5	-	C
1076-skip%2:31:01::	5	-	D
1076-skip%2:31:01::	5	-	F
1076-skip%2:31:01::	5	-	G
1076-skip%2:31:01::	5	-	H
1076-skip%2:31:01::	5	-	I
1076-skip%2:31:01::	5	-	J
1076-skip%2:35:00::	1	-	C
1076-skip%2:35:00::	1	-	F
1076-skip%2:35:00::	1	-	G
1076-skip%2:35:00::	1	-	I
1076-skip%2:35:00::	1	-	J
1076-skip%2:35:00::	2	-	A
1076-skip%2:35:00::	2	-	D
1076-skip%2:35:00::	2	-	H
1076-skip%2:38:00::	1	-	A
1076-skip%2:38:00::	1	-	C
1076-skip%2:38:00::	1	-	D
1076-skip%2:38:00::	1	-	F
1076-skip%2:38:00::	1	-	G
1076-skip%2:38:00::	1	-	I
1076-skip%2:38:00::	2	-	H
1076-skip%2:38:00::	2	-	J
1076-skip%2:38:02::	1	-	A
1076-skip%2:38:02::	1	-	C
1076-skip%2:38:02::	1	-	D
1076-skip%2:38:02::	1	-	F
1076-skip%2:38:02::	1	-	G
1076-skip%2:38:02::	1	-	I
1076-skip%2:38:02::	1	-	J
1076-skip%2:38:02::	2	-	H
1076-skip%2:38:03::	1	-	A
1076-skip%2:38:03::	1	-	C
1076-skip%2:38:03::	1	-	D
1076-skip%2:38:03::	1	-	F
1076-skip%2:38:03::	1	-	G
1076-skip%2:38:03::	1	-	H
1076-skip%2:38:03::	1	-	I
1076-skip%2:38:03::	1	-	J
1076-skip%2:42:00::	1	-	F
1076-skip%2:42:00::	1	-	I
1076-skip%2:42:00::	1	-	J
1076-skip%2:42:00::	3	-	A
1076-skip%2:42:00::	3	-	C
1076-skip%2:42:00::	4	-	D
1076-skip%2:42:00::	5	-	G
1076-skip%2:42:00::	5	-	H
1077-skip%2:31:01::	2	-	D
1077-skip%2:31:01::	2	-	J
1077-skip%2:31:01::	3	-	C
1077-skip%2:31:01::	4	-	G
1077-skip%2:31:01::	5	-	A
1077-skip%2:31:01::	5	-	F
1077-skip%2:31:01::	5	-	H
1077-skip%2:31:01::	5	-	I
1077-skip%2:35:00::	1	-	A
1077-skip%2:35:00::	1	-	C
1077-skip%2:35:00::	1	-	G
1077-skip%2:35:00::	2	-	H
1077-skip%2:35:00::	2	-	J
1077-skip%2:35:00::	3	-	D
1077-skip%2:35:00::	3	-	I
1077-skip%2:35:00::	5	-	F
1077-skip%2:38:00::	1	-	A
1077-skip%2:38:00::	1	-	C
1077-skip%2:38:00::	2	-	H
1077-skip%2:38:00::	3	-	G
1077-skip%2:38:00::	3	-	I
1077-skip%2:38:00::	4	-	D
1077-skip%2:38:00::	4	-	F
1077-skip%2:38:00::	5	-	J
1077-skip%2:38:02::	1	-	C
1077-skip%2:38:02::	1	-	D
1077-skip%2:38:02::	1	-	F
1077-skip%2:38:02::	1	-	G
1077-skip%2:38:02::	1	-	I
1077-skip%2:38:02::	1	-	J
1077-skip%2:38:02::	2	-	A
1077-skip%2:38:02::	4	-	H
1077-skip%2:38:03::	1	-	A
1077-skip%2:38:03::	1	-	F
1077-skip%2:38:03::	1	-	H
1077-skip%2:38:03::	1	-	I
1077-skip%2:38:03::	2	-	G
1077-skip%2:38:03::	2	-	J
1077-skip%2:38:03::	3	-	D
1077-skip%2:38:03::	5	-	C
1077-skip%2:42:00::	1	-	C
1077-skip%2:42:00::	1	-	D
1077-skip%2:42:00::	1	-	F
1077-skip%2:42:00::	1	-	I
1077-skip%2:42:00::	1	-	J
1077-skip%2:42:00::	2	-	A
1077-skip%2:42:00::	4	-	G
1077-skip%2:42:00::	4	-	H
1078-skip%2:31:01::	3	-	I
1078-skip%2:31:01::	4	-	G
1078-skip%2:31:01::	5	-	A
1078-skip%2:31:01::	5	-	C
1078-skip%2:31:01::	5	-	D
1078-skip%2:31:01::	5	-	F
1078-skip%2:31:01::	5	-	H
1078-skip%2:31:01::	5	-	J
1078-skip%2:35:00::	1	-	A
1078-skip%2:35:00::	1	-	C
1078-skip%2:35:00::	1	-	D
1078-skip%2:35:00::	1	-	F
1078-skip%2:35:00::	1	-	G
1078-skip%2:35:00::	1	-	I
1078-skip%2:35:00::	1	-	J
1078-skip%2:35:00::	2	-	H
1078-skip%2:38:00::	1	-	A
1078-skip%2:38:00::	1	-	C
1078-skip%2:38:00::	1	-	D
1078-skip%2:38:00::	1	-	F
1078-skip%2:38:00::	1	-	G
1078-skip%2:38:00::	1	-	I
1078-skip%2:38:00::	2	-	H
1078-skip%2:38:00::	2	-	J
1078-skip%2:38:02::	1	-	A
1078-skip%2:38:02::	1	-	C
1078-skip%2:38:02::	1	-	D
1078-skip%2:38:02::	1	-	F
1078-skip%2:38:02::	1	-	G
1078-skip%2:38:02::	1	-	I
1078-skip%2:38:02::	1	-	J
1078-skip%2:38:02::	4	-	H
1078-skip%2:38:03::	1	-	A
1078-skip%2:38:03::	1	-	C
1078-skip%2:38:03::	1	-	D
1078-skip%2:38:03::	1	-	F
1078-skip%2:38:03::	1	-	G
1078-skip%2:38:03::	1	-	H
1078-skip%2:38:03::	1	-	I
1078-skip%2:38:03::	1	-	J
1078-skip%2:42:00::	1	-	F
1078-skip%2:42:00::	3	-	J
1078-skip%2:42:00::	4	-	D
1078-skip%2:42:00::	5	-	A
1078-skip%2:42:00::	5	-	C
1078-skip%2:42:00::	5	-	G
1078-skip%2:42:00::	5	-	H
1078-skip%2:42:00::	5	-	I
1079-skip%2:31:01::	3	-	G
1079-skip%2:31:01::	4	-	A
1079-skip%2:31:01::	4	-	D
1079-skip%2:31:01::	5	-	C
1079-skip%2:31:01::	5	-	F
1079-skip%2:31:01::	5	-	H
1079-skip%2:31:01::	5	-	I
1079-skip%2:31:01::	5	-	J
1079-skip%2:35:00::	1	-	A
1079-skip%2:35:00::	1	-	C
1079-skip%2:35:00::	1	-	D
1079-skip%2:35:00::	1	-	F
1079-skip%2:35:00::	1	-	G
1079-skip%2:35:00::	1	-	I
1079-skip%2:35:00::	1	-	J
1079-skip%2:35:00::	2	-	H
1079-skip%2:38:00::	1	-	C
1079-skip%2:38:00::	1	-	D
1079-skip%2:38:00::	1	-	F
1079-skip%2:38:00::	1	-	I
1079-skip%2:38:00::	2	-	A
1079-skip%2:38:00::	2	-	H
1079-skip%2:38:00::	2	-	J
1079-skip%2:38:00::	3	-	G
1079-skip%2:38:02::	1	-	C
1079-skip%2:38:02::	1	-	D
1079-skip%2:38:02::	1	-	F
1079-skip%2:38:02::	1	-	G
