instanceID	dataIDs	label_set	non_label
1611-soft%3:00:00::	1611,soft%3:00:00::	5,4,3,2,1	-
1611-soft%3:00:01::	1611,soft%3:00:01::	5,4,3,2,1	-
1611-soft%3:00:02::	1611,soft%3:00:02::	5,4,3,2,1	-
1611-soft%3:00:03::	1611,soft%3:00:03::	5,4,3,2,1	-
1611-soft%3:00:04::	1611,soft%3:00:04::	5,4,3,2,1	-
1611-soft%3:00:05::	1611,soft%3:00:05::	5,4,3,2,1	-
1611-soft%3:00:06::	1611,soft%3:00:06::	5,4,3,2,1	-
1611-soft%3:00:07::	1611,soft%3:00:07::	5,4,3,2,1	-
1611-soft%5:00:00:clement:02	1611,soft%5:00:00:clement:02	5,4,3,2,1	-
1611-soft%5:00:00:conciliatory:00	1611,soft%5:00:00:conciliatory:00	5,4,3,2,1	-
1611-soft%5:00:00:dull:02	1611,soft%5:00:00:dull:02	5,4,3,2,1	-
1611-soft%5:00:00:easy:01	1611,soft%5:00:00:easy:01	5,4,3,2,1	-
1611-soft%5:00:00:falling:00	1611,soft%5:00:00:falling:00	5,4,3,2,1	-
1611-soft%5:00:00:light:08	1611,soft%5:00:00:light:08	5,4,3,2,1	-
1611-soft%5:00:00:mild:00	1611,soft%5:00:00:mild:00	5,4,3,2,1	-
1611-soft%5:00:00:permissive:01	1611,soft%5:00:00:permissive:01	5,4,3,2,1	-
1611-soft%5:00:00:qualitative:00	1611,soft%5:00:00:qualitative:00	5,4,3,2,1	-
1611-soft%5:00:00:tender:02	1611,soft%5:00:00:tender:02	5,4,3,2,1	-
1611-soft%5:00:00:unfit:01	1611,soft%5:00:00:unfit:01	5,4,3,2,1	-
1612-soft%3:00:00::	1612,soft%3:00:00::	5,4,3,2,1	-
1612-soft%3:00:01::	1612,soft%3:00:01::	5,4,3,2,1	-
1612-soft%3:00:02::	1612,soft%3:00:02::	5,4,3,2,1	-
1612-soft%3:00:03::	1612,soft%3:00:03::	5,4,3,2,1	-
1612-soft%3:00:04::	1612,soft%3:00:04::	5,4,3,2,1	-
1612-soft%3:00:05::	1612,soft%3:00:05::	5,4,3,2,1	-
1612-soft%3:00:06::	1612,soft%3:00:06::	5,4,3,2,1	-
1612-soft%3:00:07::	1612,soft%3:00:07::	5,4,3,2,1	-
1612-soft%5:00:00:clement:02	1612,soft%5:00:00:clement:02	5,4,3,2,1	-
1612-soft%5:00:00:conciliatory:00	1612,soft%5:00:00:conciliatory:00	5,4,3,2,1	-
1612-soft%5:00:00:dull:02	1612,soft%5:00:00:dull:02	5,4,3,2,1	-
1612-soft%5:00:00:easy:01	1612,soft%5:00:00:easy:01	5,4,3,2,1	-
1612-soft%5:00:00:falling:00	1612,soft%5:00:00:falling:00	5,4,3,2,1	-
1612-soft%5:00:00:light:08	1612,soft%5:00:00:light:08	5,4,3,2,1	-
1612-soft%5:00:00:mild:00	1612,soft%5:00:00:mild:00	5,4,3,2,1	-
1612-soft%5:00:00:permissive:01	1612,soft%5:00:00:permissive:01	5,4,3,2,1	-
1612-soft%5:00:00:qualitative:00	1612,soft%5:00:00:qualitative:00	5,4,3,2,1	-
1612-soft%5:00:00:tender:02	1612,soft%5:00:00:tender:02	5,4,3,2,1	-
1612-soft%5:00:00:unfit:01	1612,soft%5:00:00:unfit:01	5,4,3,2,1	-
1613-soft%3:00:00::	1613,soft%3:00:00::	5,4,3,2,1	-
1613-soft%3:00:01::	1613,soft%3:00:01::	5,4,3,2,1	-
1613-soft%3:00:02::	1613,soft%3:00:02::	5,4,3,2,1	-
1613-soft%3:00:03::	1613,soft%3:00:03::	5,4,3,2,1	-
1613-soft%3:00:04::	1613,soft%3:00:04::	5,4,3,2,1	-
1613-soft%3:00:05::	1613,soft%3:00:05::	5,4,3,2,1	-
1613-soft%3:00:06::	1613,soft%3:00:06::	5,4,3,2,1	-
1613-soft%3:00:07::	1613,soft%3:00:07::	5,4,3,2,1	-
1613-soft%5:00:00:clement:02	1613,soft%5:00:00:clement:02	5,4,3,2,1	-
1613-soft%5:00:00:conciliatory:00	1613,soft%5:00:00:conciliatory:00	5,4,3,2,1	-
1613-soft%5:00:00:dull:02	1613,soft%5:00:00:dull:02	5,4,3,2,1	-
1613-soft%5:00:00:easy:01	1613,soft%5:00:00:easy:01	5,4,3,2,1	-
1613-soft%5:00:00:falling:00	1613,soft%5:00:00:falling:00	5,4,3,2,1	-
1613-soft%5:00:00:light:08	1613,soft%5:00:00:light:08	5,4,3,2,1	-
1613-soft%5:00:00:mild:00	1613,soft%5:00:00:mild:00	5,4,3,2,1	-
1613-soft%5:00:00:permissive:01	1613,soft%5:00:00:permissive:01	5,4,3,2,1	-
1613-soft%5:00:00:qualitative:00	1613,soft%5:00:00:qualitative:00	5,4,3,2,1	-
1613-soft%5:00:00:tender:02	1613,soft%5:00:00:tender:02	5,4,3,2,1	-
1613-soft%5:00:00:unfit:01	1613,soft%5:00:00:unfit:01	5,4,3,2,1	-
1614-soft%3:00:00::	1614,soft%3:00:00::	5,4,3,2,1	-
1614-soft%3:00:01::	1614,soft%3:00:01::	5,4,3,2,1	-
1614-soft%3:00:02::	1614,soft%3:00:02::	5,4,3,2,1	-
1614-soft%3:00:03::	1614,soft%3:00:03::	5,4,3,2,1	-
1614-soft%3:00:04::	1614,soft%3:00:04::	5,4,3,2,1	-
1614-soft%3:00:05::	1614,soft%3:00:05::	5,4,3,2,1	-
1614-soft%3:00:06::	1614,soft%3:00:06::	5,4,3,2,1	-
1614-soft%3:00:07::	1614,soft%3:00:07::	5,4,3,2,1	-
1614-soft%5:00:00:clement:02	1614,soft%5:00:00:clement:02	5,4,3,2,1	-
1614-soft%5:00:00:conciliatory:00	1614,soft%5:00:00:conciliatory:00	5,4,3,2,1	-
1614-soft%5:00:00:dull:02	1614,soft%5:00:00:dull:02	5,4,3,2,1	-
1614-soft%5:00:00:easy:01	1614,soft%5:00:00:easy:01	5,4,3,2,1	-
1614-soft%5:00:00:falling:00	1614,soft%5:00:00:falling:00	5,4,3,2,1	-
1614-soft%5:00:00:light:08	1614,soft%5:00:00:light:08	5,4,3,2,1	-
1614-soft%5:00:00:mild:00	1614,soft%5:00:00:mild:00	5,4,3,2,1	-
1614-soft%5:00:00:permissive:01	1614,soft%5:00:00:permissive:01	5,4,3,2,1	-
1614-soft%5:00:00:qualitative:00	1614,soft%5:00:00:qualitative:00	5,4,3,2,1	-
1614-soft%5:00:00:tender:02	1614,soft%5:00:00:tender:02	5,4,3,2,1	-
1614-soft%5:00:00:unfit:01	1614,soft%5:00:00:unfit:01	5,4,3,2,1	-
1615-soft%3:00:00::	1615,soft%3:00:00::	5,4,3,2,1	-
1615-soft%3:00:01::	1615,soft%3:00:01::	5,4,3,2,1	-
1615-soft%3:00:02::	1615,soft%3:00:02::	5,4,3,2,1	-
1615-soft%3:00:03::	1615,soft%3:00:03::	5,4,3,2,1	-
1615-soft%3:00:04::	1615,soft%3:00:04::	5,4,3,2,1	-
1615-soft%3:00:05::	1615,soft%3:00:05::	5,4,3,2,1	-
1615-soft%3:00:06::	1615,soft%3:00:06::	5,4,3,2,1	-
1615-soft%3:00:07::	1615,soft%3:00:07::	5,4,3,2,1	-
1615-soft%5:00:00:clement:02	1615,soft%5:00:00:clement:02	5,4,3,2,1	-
1615-soft%5:00:00:conciliatory:00	1615,soft%5:00:00:conciliatory:00	5,4,3,2,1	-
1615-soft%5:00:00:dull:02	1615,soft%5:00:00:dull:02	5,4,3,2,1	-
1615-soft%5:00:00:easy:01	1615,soft%5:00:00:easy:01	5,4,3,2,1	-
1615-soft%5:00:00:falling:00	1615,soft%5:00:00:falling:00	5,4,3,2,1	-
1615-soft%5:00:00:light:08	1615,soft%5:00:00:light:08	5,4,3,2,1	-
1615-soft%5:00:00:mild:00	1615,soft%5:00:00:mild:00	5,4,3,2,1	-
1615-soft%5:00:00:permissive:01	1615,soft%5:00:00:permissive:01	5,4,3,2,1	-
1615-soft%5:00:00:qualitative:00	1615,soft%5:00:00:qualitative:00	5,4,3,2,1	-
