instanceID	dataIDs	label_set	non_label
1641-stiff%3:00:00::	1641,stiff%3:00:00::	5,4,3,2,1	-
1641-stiff%5:00:00:formal:01	1641,stiff%5:00:00:formal:01	5,4,3,2,1	-
1641-stiff%5:00:00:immobile:00	1641,stiff%5:00:00:immobile:00	5,4,3,2,1	-
1641-stiff%5:00:00:intoxicated:00	1641,stiff%5:00:00:intoxicated:00	5,4,3,2,1	-
1641-stiff%5:00:00:resolute:00	1641,stiff%5:00:00:resolute:00	5,4,3,2,1	-
1641-stiff%5:00:00:strong:00	1641,stiff%5:00:00:strong:00	5,4,3,2,1	-
1641-stiff%5:00:01:inflexible:01	1641,stiff%5:00:01:inflexible:01	5,4,3,2,1	-
1642-stiff%3:00:00::	1642,stiff%3:00:00::	5,4,3,2,1	-
1642-stiff%5:00:00:formal:01	1642,stiff%5:00:00:formal:01	5,4,3,2,1	-
1642-stiff%5:00:00:immobile:00	1642,stiff%5:00:00:immobile:00	5,4,3,2,1	-
1642-stiff%5:00:00:intoxicated:00	1642,stiff%5:00:00:intoxicated:00	5,4,3,2,1	-
1642-stiff%5:00:00:resolute:00	1642,stiff%5:00:00:resolute:00	5,4,3,2,1	-
1642-stiff%5:00:00:strong:00	1642,stiff%5:00:00:strong:00	5,4,3,2,1	-
1642-stiff%5:00:01:inflexible:01	1642,stiff%5:00:01:inflexible:01	5,4,3,2,1	-
1643-stiff%3:00:00::	1643,stiff%3:00:00::	5,4,3,2,1	-
1643-stiff%5:00:00:formal:01	1643,stiff%5:00:00:formal:01	5,4,3,2,1	-
1643-stiff%5:00:00:immobile:00	1643,stiff%5:00:00:immobile:00	5,4,3,2,1	-
1643-stiff%5:00:00:intoxicated:00	1643,stiff%5:00:00:intoxicated:00	5,4,3,2,1	-
1643-stiff%5:00:00:resolute:00	1643,stiff%5:00:00:resolute:00	5,4,3,2,1	-
1643-stiff%5:00:00:strong:00	1643,stiff%5:00:00:strong:00	5,4,3,2,1	-
1643-stiff%5:00:01:inflexible:01	1643,stiff%5:00:01:inflexible:01	5,4,3,2,1	-
1644-stiff%3:00:00::	1644,stiff%3:00:00::	5,4,3,2,1	-
1644-stiff%5:00:00:formal:01	1644,stiff%5:00:00:formal:01	5,4,3,2,1	-
1644-stiff%5:00:00:immobile:00	1644,stiff%5:00:00:immobile:00	5,4,3,2,1	-
1644-stiff%5:00:00:intoxicated:00	1644,stiff%5:00:00:intoxicated:00	5,4,3,2,1	-
1644-stiff%5:00:00:resolute:00	1644,stiff%5:00:00:resolute:00	5,4,3,2,1	-
1644-stiff%5:00:00:strong:00	1644,stiff%5:00:00:strong:00	5,4,3,2,1	-
1644-stiff%5:00:01:inflexible:01	1644,stiff%5:00:01:inflexible:01	5,4,3,2,1	-
1645-stiff%3:00:00::	1645,stiff%3:00:00::	5,4,3,2,1	-
1645-stiff%5:00:00:formal:01	1645,stiff%5:00:00:formal:01	5,4,3,2,1	-
1645-stiff%5:00:00:immobile:00	1645,stiff%5:00:00:immobile:00	5,4,3,2,1	-
1645-stiff%5:00:00:intoxicated:00	1645,stiff%5:00:00:intoxicated:00	5,4,3,2,1	-
1645-stiff%5:00:00:resolute:00	1645,stiff%5:00:00:resolute:00	5,4,3,2,1	-
1645-stiff%5:00:00:strong:00	1645,stiff%5:00:00:strong:00	5,4,3,2,1	-
1645-stiff%5:00:01:inflexible:01	1645,stiff%5:00:01:inflexible:01	5,4,3,2,1	-
1646-stiff%3:00:00::	1646,stiff%3:00:00::	5,4,3,2,1	-
1646-stiff%5:00:00:formal:01	1646,stiff%5:00:00:formal:01	5,4,3,2,1	-
