instanceID	label	comment	annotator
1641-stiff%3:00:00::	1	-	A
1641-stiff%3:00:00::	1	-	C
1641-stiff%3:00:00::	1	-	D
1641-stiff%3:00:00::	1	-	F
1641-stiff%3:00:00::	1	-	G
1641-stiff%3:00:00::	1	-	H
1641-stiff%3:00:00::	1	-	I
1641-stiff%3:00:00::	2	-	J
1641-stiff%5:00:00:formal:01	1	-	C
1641-stiff%5:00:00:formal:01	1	-	D
1641-stiff%5:00:00:formal:01	1	-	F
1641-stiff%5:00:00:formal:01	1	-	G
1641-stiff%5:00:00:formal:01	1	-	H
1641-stiff%5:00:00:formal:01	1	-	I
1641-stiff%5:00:00:formal:01	2	-	J
1641-stiff%5:00:00:formal:01	4	-	A
1641-stiff%5:00:00:immobile:00	1	-	C
1641-stiff%5:00:00:immobile:00	1	-	D
1641-stiff%5:00:00:immobile:00	4	-	A
1641-stiff%5:00:00:immobile:00	4	-	G
1641-stiff%5:00:00:immobile:00	5	-	F
1641-stiff%5:00:00:immobile:00	5	-	H
1641-stiff%5:00:00:immobile:00	5	-	I
1641-stiff%5:00:00:immobile:00	5	-	J
1641-stiff%5:00:00:intoxicated:00	1	-	A
1641-stiff%5:00:00:intoxicated:00	1	-	C
1641-stiff%5:00:00:intoxicated:00	1	-	D
1641-stiff%5:00:00:intoxicated:00	1	-	F
1641-stiff%5:00:00:intoxicated:00	1	-	G
1641-stiff%5:00:00:intoxicated:00	1	-	H
1641-stiff%5:00:00:intoxicated:00	1	-	I
1641-stiff%5:00:00:intoxicated:00	1	-	J
1641-stiff%5:00:00:resolute:00	1	-	C
1641-stiff%5:00:00:resolute:00	1	-	D
1641-stiff%5:00:00:resolute:00	1	-	F
1641-stiff%5:00:00:resolute:00	1	-	G
1641-stiff%5:00:00:resolute:00	1	-	I
1641-stiff%5:00:00:resolute:00	2	-	H
1641-stiff%5:00:00:resolute:00	3	-	A
1641-stiff%5:00:00:resolute:00	4	-	J
1641-stiff%5:00:00:strong:00	1	-	A
1641-stiff%5:00:00:strong:00	1	-	C
1641-stiff%5:00:00:strong:00	1	-	D
1641-stiff%5:00:00:strong:00	1	-	F
1641-stiff%5:00:00:strong:00	1	-	G
1641-stiff%5:00:00:strong:00	1	-	I
1641-stiff%5:00:00:strong:00	1	-	J
1641-stiff%5:00:00:strong:00	2	-	H
1641-stiff%5:00:01:inflexible:01	3	-	F
1641-stiff%5:00:01:inflexible:01	3	-	I
1641-stiff%5:00:01:inflexible:01	4	-	G
1641-stiff%5:00:01:inflexible:01	4	-	J
1641-stiff%5:00:01:inflexible:01	5	-	A
1641-stiff%5:00:01:inflexible:01	5	-	C
1641-stiff%5:00:01:inflexible:01	5	-	D
1641-stiff%5:00:01:inflexible:01	5	-	H
1642-stiff%3:00:00::	1	-	A
1642-stiff%3:00:00::	1	-	C
1642-stiff%3:00:00::	1	-	D
1642-stiff%3:00:00::	1	-	F
1642-stiff%3:00:00::	1	-	G
1642-stiff%3:00:00::	1	-	H
1642-stiff%3:00:00::	1	-	I
1642-stiff%3:00:00::	2	-	J
1642-stiff%5:00:00:formal:01	1	-	A
1642-stiff%5:00:00:formal:01	1	-	C
1642-stiff%5:00:00:formal:01	1	-	D
1642-stiff%5:00:00:formal:01	1	-	F
1642-stiff%5:00:00:formal:01	1	-	G
1642-stiff%5:00:00:formal:01	1	-	H
1642-stiff%5:00:00:formal:01	1	-	I
1642-stiff%5:00:00:formal:01	2	-	J
1642-stiff%5:00:00:immobile:00	1	-	D
1642-stiff%5:00:00:immobile:00	4	-	G
1642-stiff%5:00:00:immobile:00	4	-	H
1642-stiff%5:00:00:immobile:00	5	-	A
1642-stiff%5:00:00:immobile:00	5	-	C
1642-stiff%5:00:00:immobile:00	5	-	F
1642-stiff%5:00:00:immobile:00	5	-	I
1642-stiff%5:00:00:immobile:00	5	-	J
1642-stiff%5:00:00:intoxicated:00	1	-	A
1642-stiff%5:00:00:intoxicated:00	1	-	C
1642-stiff%5:00:00:intoxicated:00	1	-	D
1642-stiff%5:00:00:intoxicated:00	1	-	F
1642-stiff%5:00:00:intoxicated:00	1	-	G
1642-stiff%5:00:00:intoxicated:00	1	-	H
1642-stiff%5:00:00:intoxicated:00	1	-	I
1642-stiff%5:00:00:intoxicated:00	1	-	J
1642-stiff%5:00:00:resolute:00	1	-	C
1642-stiff%5:00:00:resolute:00	1	-	D
1642-stiff%5:00:00:resolute:00	1	-	F
1642-stiff%5:00:00:resolute:00	1	-	G
1642-stiff%5:00:00:resolute:00	1	-	I
1642-stiff%5:00:00:resolute:00	2	-	H
1642-stiff%5:00:00:resolute:00	4	-	A
