instanceID	label	comment	annotator
1101-suffer%2:29:00::	1	-	C
1101-suffer%2:29:00::	1	-	I
1101-suffer%2:29:00::	3	-	D
1101-suffer%2:29:00::	3	-	F
1101-suffer%2:29:00::	3	-	G
1101-suffer%2:29:00::	3	-	J
1101-suffer%2:29:00::	4	-	H
1101-suffer%2:29:00::	5	-	A
1101-suffer%2:29:01::	4	-	D
1101-suffer%2:29:01::	5	-	A
1101-suffer%2:29:01::	5	-	C
1101-suffer%2:29:01::	5	-	F
1101-suffer%2:29:01::	5	-	G
1101-suffer%2:29:01::	5	-	H
1101-suffer%2:29:01::	5	-	I
1101-suffer%2:29:01::	5	-	J
1101-suffer%2:29:03::	1	-	C
1101-suffer%2:29:03::	1	-	D
1101-suffer%2:29:03::	1	-	F
1101-suffer%2:29:03::	1	-	I
1101-suffer%2:29:03::	3	-	G
1101-suffer%2:29:03::	3	-	J
1101-suffer%2:29:03::	4	-	H
1101-suffer%2:29:03::	5	-	A
1101-suffer%2:30:00::	1	-	C
1101-suffer%2:30:00::	1	-	D
1101-suffer%2:30:00::	1	-	F
1101-suffer%2:30:00::	1	-	G
1101-suffer%2:30:00::	1	-	I
1101-suffer%2:30:00::	2	-	H
1101-suffer%2:30:00::	2	-	J
1101-suffer%2:30:00::	4	-	A
1101-suffer%2:30:02::	1	-	C
1101-suffer%2:30:02::	1	-	D
1101-suffer%2:30:02::	1	-	F
1101-suffer%2:30:02::	1	-	G
1101-suffer%2:30:02::	1	-	I
1101-suffer%2:30:02::	2	-	H
1101-suffer%2:30:02::	2	-	J
1101-suffer%2:30:02::	3	-	A
1101-suffer%2:31:00::	1	-	C
1101-suffer%2:31:00::	1	-	D
1101-suffer%2:31:00::	1	-	F
1101-suffer%2:31:00::	2	-	J
1101-suffer%2:31:00::	3	-	H
1101-suffer%2:31:00::	3	-	I
1101-suffer%2:31:00::	4	-	A
1101-suffer%2:31:00::	5	-	G
1101-suffer%2:37:00::	1	-	C
1101-suffer%2:37:00::	1	-	F
1101-suffer%2:37:00::	1	-	I
1101-suffer%2:37:00::	1	-	J
1101-suffer%2:37:00::	3	-	H
1101-suffer%2:37:00::	4	-	D
1101-suffer%2:37:00::	4	-	G
1101-suffer%2:37:00::	5	-	A
1101-suffer%2:39:00::	1	-	C
1101-suffer%2:39:00::	1	-	I
1101-suffer%2:39:00::	3	-	D
1101-suffer%2:39:00::	3	-	F
1101-suffer%2:39:00::	3	-	G
1101-suffer%2:39:00::	3	-	H
1101-suffer%2:39:00::	4	-	J
1101-suffer%2:39:00::	5	-	A
1101-suffer%2:39:01::	1	-	C
1101-suffer%2:39:01::	4	-	D
1101-suffer%2:39:01::	4	-	F
1101-suffer%2:39:01::	4	-	G
1101-suffer%2:39:01::	4	-	H
1101-suffer%2:39:01::	5	-	A
1101-suffer%2:39:01::	5	-	I
1101-suffer%2:39:01::	5	-	J
1101-suffer%2:39:02::	1	-	D
1101-suffer%2:39:02::	1	-	F
1101-suffer%2:39:02::	3	-	G
1101-suffer%2:39:02::	3	-	I
1101-suffer%2:39:02::	4	-	H
1101-suffer%2:39:02::	5	-	A
1101-suffer%2:39:02::	5	-	C
1101-suffer%2:39:02::	5	-	J
1101-suffer%2:42:04::	1	-	A
1101-suffer%2:42:04::	1	-	C
1101-suffer%2:42:04::	1	-	D
1101-suffer%2:42:04::	1	-	F
1101-suffer%2:42:04::	1	-	G
1101-suffer%2:42:04::	1	-	I
1101-suffer%2:42:04::	1	-	J
1101-suffer%2:42:04::	3	-	H
1102-suffer%2:29:00::	1	-	A
1102-suffer%2:29:00::	1	-	C
1102-suffer%2:29:00::	1	-	D
1102-suffer%2:29:00::	1	-	F
1102-suffer%2:29:00::	1	-	I
1102-suffer%2:29:00::	2	-	G
1102-suffer%2:29:00::	2	-	H
1102-suffer%2:29:00::	2	-	J
1102-suffer%2:29:01::	1	-	A
1102-suffer%2:29:01::	1	-	F
1102-suffer%2:29:01::	3	-	C
1102-suffer%2:29:01::	4	-	G
1102-suffer%2:29:01::	5	-	D
1102-suffer%2:29:01::	5	-	H
1102-suffer%2:29:01::	5	-	I
1102-suffer%2:29:01::	5	-	J
1102-suffer%2:29:03::	1	-	A
1102-suffer%2:29:03::	1	-	C
1102-suffer%2:29:03::	1	-	D
1102-suffer%2:29:03::	1	-	F
1102-suffer%2:29:03::	1	-	G
1102-suffer%2:29:03::	1	-	I
1102-suffer%2:29:03::	2	-	J
1102-suffer%2:29:03::	3	-	H
1102-suffer%2:30:00::	1	-	A
1102-suffer%2:30:00::	1	-	C
1102-suffer%2:30:00::	1	-	D
1102-suffer%2:30:00::	1	-	F
1102-suffer%2:30:00::	1	-	I
1102-suffer%2:30:00::	3	-	G
1102-suffer%2:30:00::	4	-	H
1102-suffer%2:30:00::	5	-	J
1102-suffer%2:30:02::	1	-	D
1102-suffer%2:30:02::	1	-	I
1102-suffer%2:30:02::	3	-	C
1102-suffer%2:30:02::	3	-	F
1102-suffer%2:30:02::	3	-	G
1102-suffer%2:30:02::	4	-	J
1102-suffer%2:30:02::	5	-	A
1102-suffer%2:30:02::	5	-	H
1102-suffer%2:31:00::	1	-	C
1102-suffer%2:31:00::	1	-	D
1102-suffer%2:31:00::	2	-	H
1102-suffer%2:31:00::	3	-	G
1102-suffer%2:31:00::	3	-	J
1102-suffer%2:31:00::	4	-	A
1102-suffer%2:31:00::	4	-	I
1102-suffer%2:31:00::	5	-	F
1102-suffer%2:37:00::	1	-	C
1102-suffer%2:37:00::	1	-	F
1102-suffer%2:37:00::	1	-	I
1102-suffer%2:37:00::	1	-	J
1102-suffer%2:37:00::	2	-	H
1102-suffer%2:37:00::	3	-	A
1102-suffer%2:37:00::	3	-	D
1102-suffer%2:37:00::	3	-	G
1102-suffer%2:39:00::	1	-	A
1102-suffer%2:39:00::	1	-	C
1102-suffer%2:39:00::	1	-	D
1102-suffer%2:39:00::	1	-	F
1102-suffer%2:39:00::	1	-	G
1102-suffer%2:39:00::	1	-	I
1102-suffer%2:39:00::	1	-	J
1102-suffer%2:39:00::	2	-	H
1102-suffer%2:39:01::	1	-	C
1102-suffer%2:39:01::	3	-	G
1102-suffer%2:39:01::	3	-	I
1102-suffer%2:39:01::	4	-	D
1102-suffer%2:39:01::	4	-	J
1102-suffer%2:39:01::	5	-	A
1102-suffer%2:39:01::	5	-	F
1102-suffer%2:39:01::	5	-	H
1102-suffer%2:39:02::	1	-	D
1102-suffer%2:39:02::	1	-	I
1102-suffer%2:39:02::	3	-	G
1102-suffer%2:39:02::	4	-	A
1102-suffer%2:39:02::	4	-	H
1102-suffer%2:39:02::	4	-	J
1102-suffer%2:39:02::	5	-	C
1102-suffer%2:39:02::	5	-	F
1102-suffer%2:42:04::	1	-	A
1102-suffer%2:42:04::	1	-	C
1102-suffer%2:42:04::	1	-	D
1102-suffer%2:42:04::	1	-	F
1102-suffer%2:42:04::	1	-	G
1102-suffer%2:42:04::	1	-	H
1102-suffer%2:42:04::	1	-	I
1102-suffer%2:42:04::	1	-	J
1103-suffer%2:29:00::	1	-	C
1103-suffer%2:29:00::	1	-	F
1103-suffer%2:29:00::	1	-	I
1103-suffer%2:29:00::	2	-	H
1103-suffer%2:29:00::	3	-	J
1103-suffer%2:29:00::	4	-	D
1103-suffer%2:29:00::	4	-	G
1103-suffer%2:29:00::	5	-	A
1103-suffer%2:29:01::	1	-	C
1103-suffer%2:29:01::	1	-	I
1103-suffer%2:29:01::	3	-	G
1103-suffer%2:29:01::	4	-	D
1103-suffer%2:29:01::	5	-	A
1103-suffer%2:29:01::	5	-	F
1103-suffer%2:29:01::	5	-	H
1103-suffer%2:29:01::	5	-	J
1103-suffer%2:29:03::	1	-	F
1103-suffer%2:29:03::	1	-	I
1103-suffer%2:29:03::	3	-	D
1103-suffer%2:29:03::	3	-	H
1103-suffer%2:29:03::	3	-	J
1103-suffer%2:29:03::	5	-	A
1103-suffer%2:29:03::	5	-	C
1103-suffer%2:29:03::	5	-	G
1103-suffer%2:30:00::	1	-	C
1103-suffer%2:30:00::	1	-	D
1103-suffer%2:30:00::	1	-	F
1103-suffer%2:30:00::	1	-	G
1103-suffer%2:30:00::	1	-	I
1103-suffer%2:30:00::	2	-	A
1103-suffer%2:30:00::	2	-	H
1103-suffer%2:30:00::	2	-	J
1103-suffer%2:30:02::	1	-	C
1103-suffer%2:30:02::	1	-	D
1103-suffer%2:30:02::	1	-	G
1103-suffer%2:30:02::	1	-	I
1103-suffer%2:30:02::	2	-	A
1103-suffer%2:30:02::	2	-	H
1103-suffer%2:30:02::	2	-	J
1103-suffer%2:30:02::	3	-	F
1103-suffer%2:31:00::	1	-	C
1103-suffer%2:31:00::	1	-	D
1103-suffer%2:31:00::	2	-	H
1103-suffer%2:31:00::	3	-	G
1103-suffer%2:31:00::	3	-	J
1103-suffer%2:31:00::	4	-	A
1103-suffer%2:31:00::	4	-	F
1103-suffer%2:31:00::	4	-	I
1103-suffer%2:37:00::	1	-	C
1103-suffer%2:37:00::	1	-	F
1103-suffer%2:37:00::	1	-	I
1103-suffer%2:37:00::	1	-	J
1103-suffer%2:37:00::	3	-	D
1103-suffer%2:37:00::	3	-	G
1103-suffer%2:37:00::	4	-	A
1103-suffer%2:37:00::	4	-	H
1103-suffer%2:39:00::	1	-	C
1103-suffer%2:39:00::	1	-	F
1103-suffer%2:39:00::	1	-	I
1103-suffer%2:39:00::	3	-	G
1103-suffer%2:39:00::	3	-	H
1103-suffer%2:39:00::	3	-	J
1103-suffer%2:39:00::	4	-	D
1103-suffer%2:39:00::	5	-	A
1103-suffer%2:39:01::	1	-	C
1103-suffer%2:39:01::	2	-	D
1103-suffer%2:39:01::	2	-	G
1103-suffer%2:39:01::	3	-	J
1103-suffer%2:39:01::	5	-	A
1103-suffer%2:39:01::	5	-	F
1103-suffer%2:39:01::	5	-	H
1103-suffer%2:39:01::	5	-	I
1103-suffer%2:39:02::	1	-	C
1103-suffer%2:39:02::	1	-	I
1103-suffer%2:39:02::	2	-	D
1103-suffer%2:39:02::	2	-	G
1103-suffer%2:39:02::	3	-	J
1103-suffer%2:39:02::	4	-	A
1103-suffer%2:39:02::	4	-	H
1103-suffer%2:39:02::	5	-	F
1103-suffer%2:42:04::	1	-	A
1103-suffer%2:42:04::	1	-	C
1103-suffer%2:42:04::	1	-	D
1103-suffer%2:42:04::	1	-	F
1103-suffer%2:42:04::	1	-	I
1103-suffer%2:42:04::	1	-	J
1103-suffer%2:42:04::	2	-	G
1103-suffer%2:42:04::	2	-	H
1104-suffer%2:29:00::	1	-	C
1104-suffer%2:29:00::	1	-	I
1104-suffer%2:29:00::	3	-	D
1104-suffer%2:29:00::	3	-	F
1104-suffer%2:29:00::	3	-	G
1104-suffer%2:29:00::	4	-	J
1104-suffer%2:29:00::	5	-	A
1104-suffer%2:29:00::	5	-	H
1104-suffer%2:29:01::	1	-	F
1104-suffer%2:29:01::	1	-	I
1104-suffer%2:29:01::	3	-	J
1104-suffer%2:29:01::	4	-	D
1104-suffer%2:29:01::	4	-	H
1104-suffer%2:29:01::	5	-	A
1104-suffer%2:29:01::	5	-	C
1104-suffer%2:29:01::	5	-	G
1104-suffer%2:29:03::	1	-	C
1104-suffer%2:29:03::	1	-	D
1104-suffer%2:29:03::	1	-	F
1104-suffer%2:29:03::	1	-	I
1104-suffer%2:29:03::	2	-	J
1104-suffer%2:29:03::	4	-	A
1104-suffer%2:29:03::	4	-	G
1104-suffer%2:29:03::	5	-	H
1104-suffer%2:30:00::	1	-	C
1104-suffer%2:30:00::	1	-	D
1104-suffer%2:30:00::	1	-	F
1104-suffer%2:30:00::	1	-	I
1104-suffer%2:30:00::	2	-	G
1104-suffer%2:30:00::	3	-	J
1104-suffer%2:30:00::	4	-	A
1104-suffer%2:30:00::	4	-	H
1104-suffer%2:30:02::	1	-	C
1104-suffer%2:30:02::	1	-	D
1104-suffer%2:30:02::	1	-	I
1104-suffer%2:30:02::	2	-	G
1104-suffer%2:30:02::	2	-	J
1104-suffer%2:30:02::	3	-	F
1104-suffer%2:30:02::	4	-	H
1104-suffer%2:30:02::	5	-	A
1104-suffer%2:31:00::	1	-	C
1104-suffer%2:31:00::	1	-	I
1104-suffer%2:31:00::	2	-	D
1104-suffer%2:31:00::	4	-	G
1104-suffer%2:31:00::	4	-	H
1104-suffer%2:31:00::	5	-	A
1104-suffer%2:31:00::	5	-	F
1104-suffer%2:31:00::	5	-	J
1104-suffer%2:37:00::	1	-	C
1104-suffer%2:37:00::	1	-	F
1104-suffer%2:37:00::	1	-	I
1104-suffer%2:37:00::	2	-	D
1104-suffer%2:37:00::	2	-	J
1104-suffer%2:37:00::	3	-	G
1104-suffer%2:37:00::	4	-	A
1104-suffer%2:37:00::	4	-	H
1104-suffer%2:39:00::	1	-	C
1104-suffer%2:39:00::	1	-	D
1104-suffer%2:39:00::	1	-	F
1104-suffer%2:39:00::	1	-	I
1104-suffer%2:39:00::	2	-	J
1104-suffer%2:39:00::	3	-	G
1104-suffer%2:39:00::	3	-	H
1104-suffer%2:39:00::	4	-	A
1104-suffer%2:39:01::	2	-	D
1104-suffer%2:39:01::	4	-	H
1104-suffer%2:39:01::	4	-	J
1104-suffer%2:39:01::	5	-	A
1104-suffer%2:39:01::	5	-	C
1104-suffer%2:39:01::	5	-	F
1104-suffer%2:39:01::	5	-	G
1104-suffer%2:39:01::	5	-	I
1104-suffer%2:39:02::	1	-	C
1104-suffer%2:39:02::	1	-	I
1104-suffer%2:39:02::	3	-	D
1104-suffer%2:39:02::	3	-	G
