lemma	krip	sp
order.v	0.013854606859682206	0.09321400160998922
range.n	-0.10722333379288584	0.24310866562167746
fire.v	-0.12920573375394984	0.07515520900385553
stiff.a	-0.2200451893069253	-0.08997728237556989
account.n	-0.27780190417758344	-0.12190785619743078
ring.n	-0.24719126135497893	-0.022840819446766827
bright.a	-0.08730831677560347	-0.0011060533974232656
investigator.n	-0.45288781889306917	-0.46056592797689117
rich.a	-0.2810873404030221	-0.038423390715868665
soft.a	-0.4263399328155799	-0.01754820456189602
fix.v	-0.4502817410061486	-0.1573130118814873
rough.a	-0.2755769215969226	-0.00017796339729938724
new.a	-0.28276448505503304	-0.1500538105177262
lead.n	-0.4022018609978504	0.1556928121572716
skip.v	-0.10164491188531	0.014808762649476875
shed.v	-0.12980601065565156	-0.025003410966530797
coach.n	-0.09572220152728605	-0.054693549576297726
severely.r	0.05171462437668606	0.08206059751320427
dismiss.v	-0.14293875846462778	-0.11484661227678415
call.v	-0.38381291820321284	0.07117457979815829
suffer.v	-0.20758519837424472	-0.1539428552613693
shade.n	-0.22807253240867853	-0.027184801796309832
scrap.n	0.028326958592582496	0.08889706033136874
function.n	-0.08131879921931806	0.09088838216000772
hold.v	-0.4667921840408733	-0.1009589774823847
neat.a	0.08630005909572924	0.08044551690730538
