instanceID	dataIDs	label_set	non_label
399-coach%1:06:00::	399,coach%1:06:00::	5,4,3,2,1	-
399-coach%1:06:01::	399,coach%1:06:01::	5,4,3,2,1	-
399-coach%1:06:02::	399,coach%1:06:02::	5,4,3,2,1	-
399-coach%1:18:00::	399,coach%1:18:00::	5,4,3,2,1	-
399-coach%1:18:01::	399,coach%1:18:01::	5,4,3,2,1	-
400-coach%1:06:00::	400,coach%1:06:00::	5,4,3,2,1	-
400-coach%1:06:01::	400,coach%1:06:01::	5,4,3,2,1	-
400-coach%1:06:02::	400,coach%1:06:02::	5,4,3,2,1	-
400-coach%1:18:00::	400,coach%1:18:00::	5,4,3,2,1	-
400-coach%1:18:01::	400,coach%1:18:01::	5,4,3,2,1	-
81-fix%2:29:00::	81,fix%2:29:00::	5,4,3,2,1	-
81-fix%2:30:00::	81,fix%2:30:00::	5,4,3,2,1	-
81-fix%2:30:01::	81,fix%2:30:01::	5,4,3,2,1	-
81-fix%2:30:02::	81,fix%2:30:02::	5,4,3,2,1	-
81-fix%2:30:03::	81,fix%2:30:03::	5,4,3,2,1	-
81-fix%2:32:03::	81,fix%2:32:03::	5,4,3,2,1	-
81-fix%2:33:00::	81,fix%2:33:00::	5,4,3,2,1	-
81-fix%2:35:00::	81,fix%2:35:00::	5,4,3,2,1	-
81-fix%2:35:01::	81,fix%2:35:01::	5,4,3,2,1	-
81-fix%2:36:00::	81,fix%2:36:00::	5,4,3,2,1	-
81-fix%2:36:01::	81,fix%2:36:01::	5,4,3,2,1	-
81-fix%2:41:04::	81,fix%2:41:04::	5,4,3,2,1	-
82-fix%2:29:00::	82,fix%2:29:00::	5,4,3,2,1	-
82-fix%2:30:00::	82,fix%2:30:00::	5,4,3,2,1	-
82-fix%2:30:01::	82,fix%2:30:01::	5,4,3,2,1	-
82-fix%2:30:02::	82,fix%2:30:02::	5,4,3,2,1	-
82-fix%2:30:03::	82,fix%2:30:03::	5,4,3,2,1	-
82-fix%2:32:03::	82,fix%2:32:03::	5,4,3,2,1	-
82-fix%2:33:00::	82,fix%2:33:00::	5,4,3,2,1	-
82-fix%2:35:00::	82,fix%2:35:00::	5,4,3,2,1	-
82-fix%2:35:01::	82,fix%2:35:01::	5,4,3,2,1	-
82-fix%2:36:00::	82,fix%2:36:00::	5,4,3,2,1	-
82-fix%2:36:01::	82,fix%2:36:01::	5,4,3,2,1	-
82-fix%2:41:04::	82,fix%2:41:04::	5,4,3,2,1	-
101-neat%5:00:00:adroit:00	101,neat%5:00:00:adroit:00	5,4,3,2,1	-
101-neat%5:00:00:elegant:00	101,neat%5:00:00:elegant:00	5,4,3,2,1	-
101-neat%5:00:00:good:01	101,neat%5:00:00:good:01	5,4,3,2,1	-
101-neat%5:00:00:tidy:00	101,neat%5:00:00:tidy:00	5,4,3,2,1	-
101-neat%5:00:00:undiluted:00	101,neat%5:00:00:undiluted:00	5,4,3,2,1	-
101-neat%5:00:03:tidy:00	101,neat%5:00:03:tidy:00	5,4,3,2,1	-
102-neat%5:00:00:adroit:00	102,neat%5:00:00:adroit:00	5,4,3,2,1	-
102-neat%5:00:00:elegant:00	102,neat%5:00:00:elegant:00	5,4,3,2,1	-
102-neat%5:00:00:good:01	102,neat%5:00:00:good:01	5,4,3,2,1	-
102-neat%5:00:00:tidy:00	102,neat%5:00:00:tidy:00	5,4,3,2,1	-
102-neat%5:00:00:undiluted:00	102,neat%5:00:00:undiluted:00	5,4,3,2,1	-
102-neat%5:00:03:tidy:00	102,neat%5:00:03:tidy:00	5,4,3,2,1	-
111-rich%3:00:00::	111,rich%3:00:00::	5,4,3,2,1	-
111-rich%3:00:02::	111,rich%3:00:02::	5,4,3,2,1	-
111-rich%3:00:03::	111,rich%3:00:03::	5,4,3,2,1	-
111-rich%3:00:04::	111,rich%3:00:04::	5,4,3,2,1	-
111-rich%5:00:00:abundant:00	111,rich%5:00:00:abundant:00	5,4,3,2,1	-
111-rich%5:00:00:colorful:00	111,rich%5:00:00:colorful:00	5,4,3,2,1	-
111-rich%5:00:00:fruitful:00	111,rich%5:00:00:fruitful:00	5,4,3,2,1	-
111-rich%5:00:00:full:01	111,rich%5:00:00:full:01	5,4,3,2,1	-
111-rich%5:00:00:tasty:00	111,rich%5:00:00:tasty:00	5,4,3,2,1	-
111-rich%5:00:00:unwholesome:00	111,rich%5:00:00:unwholesome:00	5,4,3,2,1	-
111-rich%5:00:00:valuable:00	111,rich%5:00:00:valuable:00	5,4,3,2,1	-
111-rich%5:00:02:productive:00	111,rich%5:00:02:productive:00	5,4,3,2,1	-
112-rich%3:00:00::	112,rich%3:00:00::	5,4,3,2,1	-
112-rich%3:00:02::	112,rich%3:00:02::	5,4,3,2,1	-
112-rich%3:00:03::	112,rich%3:00:03::	5,4,3,2,1	-
112-rich%3:00:04::	112,rich%3:00:04::	5,4,3,2,1	-
112-rich%5:00:00:abundant:00	112,rich%5:00:00:abundant:00	5,4,3,2,1	-
112-rich%5:00:00:colorful:00	112,rich%5:00:00:colorful:00	5,4,3,2,1	-
112-rich%5:00:00:fruitful:00	112,rich%5:00:00:fruitful:00	5,4,3,2,1	-
112-rich%5:00:00:full:01	112,rich%5:00:00:full:01	5,4,3,2,1	-
112-rich%5:00:00:tasty:00	112,rich%5:00:00:tasty:00	5,4,3,2,1	-
112-rich%5:00:00:unwholesome:00	112,rich%5:00:00:unwholesome:00	5,4,3,2,1	-
112-rich%5:00:00:valuable:00	112,rich%5:00:00:valuable:00	5,4,3,2,1	-
112-rich%5:00:02:productive:00	112,rich%5:00:02:productive:00	5,4,3,2,1	-
